index,bitmask,num_features,mean_accuracy,mean_time
1,000000001,1,0.7878048848,0.08813527925
2,000000010,1,0.8757621963,0.0863469597
3,000000011,2,0.893902434,0.1188580212
4,000000100,1,0.9094512276,0.06868225115
5,000000101,2,0.9044207372,0.07468588371
6,000000110,2,0.9178353697,0.1008892676
7,000000111,3,0.9213414732,0.1769612008
8,000001000,1,0.9012195114,0.0953759877
9,000001001,2,0.9167682994,0.1331997535
10,000001010,2,0.9445121922,0.1083079919
11,000001011,3,0.9513719436,0.1420441959
12,000001100,2,0.9342987817,0.1145905149
13,000001101,3,0.9356707335,0.3014179626
14,000001110,3,0.9452743828,0.2012516796
15,000001111,4,0.9467987716,0.2596095148
16,000010000,1,0.8800304849,0.0962131978
17,000010001,2,0.8894816972,0.1499703776
18,000010010,2,0.9048780557,0.1242320742
19,000010011,3,0.9097560961,0.1301706852
20,000010100,2,0.916006105,0.1150037684
21,000010101,3,0.9280487876,0.1438165735
22,000010110,3,0.9240853731,0.1162337693
23,000010111,4,0.9347560983,0.1537364139
24,000011000,2,0.9400914628,0.1224767463
25,000011001,3,0.9463414568,0.1495797473
26,000011010,3,0.9474085309,0.166096261
27,000011011,4,0.9495426714,0.1951567573
28,000011100,3,0.9434451163,0.1445199884
29,000011101,4,0.951067064,0.1539091161
30,000011110,4,0.9535060879,0.1916021421
31,000011111,5,0.9507621899,0.2732690205
32,000100000,1,0.8641768359,0.1044695501
33,000100001,2,0.8849085364,0.1405141028
34,000100010,2,0.9111280553,0.1001502015
35,000100011,3,0.9163109809,0.1255413797
36,000100100,2,0.9050304871,0.1029281626
37,000100101,3,0.9213414732,0.1178390123
38,000100110,3,0.9329268336,0.1262098874
39,000100111,4,0.9327743929,0.170628381
40,000101000,2,0.9376524407,0.09235404083
41,000101001,3,0.9443597533,0.2578364955
42,000101010,3,0.955487797,0.1481546445
43,000101011,4,0.9513719436,0.1703410912
44,000101100,3,0.9384146333,0.1604029066
45,000101101,4,0.9461890161,0.1590515091
46,000101110,4,0.9539634064,0.1775657085
47,000101111,5,0.9513719473,0.1973781134
48,000110000,2,0.9140243977,0.09490588191
49,000110001,3,0.9184451289,0.1473816759
50,000110010,3,0.9269817118,0.1555463769
51,000110011,4,0.926524397,0.1556108566
52,000110100,3,0.9237804934,0.1129184102
53,000110101,4,0.9317073226,0.1503448677
