generation,index,bitmask,num_features,accuracy,time,rank,crowding_distance
0,299,100101011,5,0.9684451278,0.1646855306,0,0.2910070497
0,416,110100000,3,0.9510670714,0.1087195657,0,0.4879790401
0,328,101001000,3,0.9661585353,0.1314932012,0,0.2100406074
0,170,010101010,4,0.9583841376,0.1237906108,0,0.05936364108
0,170,010101010,4,0.9583841376,0.1237906108,0,0.1785253634
0,104,001101000,3,0.9568597451,0.1185564424,0,0.2191862969
0,4,000000100,1,0.9094512276,0.06868225115,0,inf
0,40,000101000,2,0.9376524407,0.09235404083,0,0.9478233982
0,266,100001010,3,0.9663109817,0.1359270001,0,0.2548076926
0,286,100011110,5,0.9696646333,0.1719646058,0,0.399657249
0,4,000000100,1,0.9094512276,0.06868225115,0,0.6196670139
0,463,111001111,7,0.9701219536,0.2215583678,0,inf
0,130,010000010,2,0.9394817092,0.1096591135,1,0.3050265961
0,320,101000000,2,0.9503048677,0.1123269997,1,0.3158308646
0,106,001101010,4,0.9589938987,0.1349909608,1,0.1924303023
0,450,111000010,4,0.9554877952,0.1262044164,1,0.1385746264
0,450,111000010,4,0.9554877952,0.1262044164,1,0.09118021242
0,129,010000001,2,0.9335365873,0.1010586498,1,0.05230218232
0,129,010000001,2,0.9335365873,0.1010586498,1,0.1277703578
0,272,100010000,2,0.9314024411,0.09646097757,1,0.558643003
0,329,101001001,4,0.9663109742,0.1626024148,1,0.1722539836
0,330,101001010,4,0.9649390206,0.1500430945,1,0.1285592285
0,268,100001100,3,0.9647865798,0.1379161642,1,0.1012500899
0,268,100001100,3,0.9647865798,0.1379161642,1,0.05401254996
0,364,101101100,5,0.9696646333,0.1734690042,1,0.6767662437
0,5,000000101,2,0.9044207372,0.07468588371,1,inf
0,349,101011101,6,0.9696646389,0.3093579304,1,inf
0,72,001001000,2,0.9495426752,0.1139507112,2,0.385490921
0,352,101100000,3,0.9518292565,0.1353251534,2,0.1662859246
0,265,100001001,3,0.9512195047,0.1273183418,2,0.07790487235
0,265,100001001,3,0.9512195047,0.1273183418,2,0.1371266605
0,288,100100000,2,0.9224085417,0.09756062739,2,0.6548376153
0,258,100000010,2,0.9272865914,0.1128509992,2,0.4369430695
0,426,110101010,5,0.965548778,0.1652380908,2,0.1659185865
0,482,111100010,5,0.9591463339,0.139335844,2,0.02579978373
0,281,100011001,4,0.9638719484,0.1484918948,2,0.254429651
0,280,100011000,3,0.9574695043,0.1384578615,2,0.08838105221
0,482,111100010,5,0.9591463339,0.139335844,2,0
0,280,100011000,3,0.9574695043,0.1384578615,2,0
0,482,111100010,5,0.9591463339,0.139335844,2,0.1322663976
0,482,111100010,5,0.9591463339,0.139335844,2,0
0,280,100011000,3,0.9574695043,0.1384578615,2,0.02579978373
0,458,111001010,5,0.9644817039,0.1614640043,2,0.1672416112
0,347,101011011,6,0.9690548796,0.1985359336,2,inf
0,492,111101100,6,0.9681402501,0.1861764477,2,0.08018902982
0,333,101001101,5,0.9678353649,0.1775467619,2,0.01338332476
0,492,111101100,6,0.9681402501,0.1861764477,2,0.1199705449
0,395,110001011,5,0.9670731667,0.1769618806,2,0.1342235534
0,333,101001101,5,0.9678353649,0.1775467619,2,0.08018902982
0,2,000000010,1,0.8757621963,0.0863469597,2,0.1336946184
0,2,000000010,1,0.8757621963,0.0863469597,2,inf
0,16,000010000,1,0.8800304849,0.0962131978,2,0.5999534248
