generation,num_fronts,pareto_size,best_accuracy,min_time,mean_accuracy,mean_time,hypervolume,mutation_rate,diversity
0,57,5,0.8912627473,0.03598636651,0.8419412597,0.2678033687,0.2995860043,0.06666666667,0.9577777778
1,50,7,0.8912627473,0.01048197823,0.855779836,0.236551059,0.5149383794,0.06666666667,0.9266666667
2,41,12,0.8912627473,0.01048197823,0.8548026528,0.2005985781,0.5375138471,0.06666666667,0.8644444444
3,39,16,0.8912627473,0.01048197823,0.8559509659,0.1779228346,0.5369872425,0.06666666667,0.8
4,38,27,0.8912627473,0.01048197823,0.8541071446,0.154666494,0.4663891823,0.06666666667,0.7088888889
5,36,40,0.8912627473,0.01048197823,0.8492800469,0.1292508749,0.4650083607,0.06666666667,0.5866666667
6,36,55,0.8912627473,0.01004734793,0.854638607,0.11443317,0.5019600237,0.06666666667,0.4666666667
7,30,85,0.8912627473,0.01004734793,0.860898882,0.1033529439,0.5027092006,0.06666666667,0.3377777778
8,30,125,0.8912627473,0.01004734793,0.8629730034,0.08647341249,0.5027092006,0.1,0.2466666667
9,33,163,0.8912627473,0.01004734793,0.8632033041,0.07461687579,0.5027092006,0.15,0.1777777778
10,36,184,0.8912627473,0.01004734793,0.8632645994,0.07568957384,0.5027092006,0.225,0.18
11,38,190,0.8912627473,0.01004734793,0.8634867508,0.07362137537,0.5027089572,0.3375,0.1755555556
12,38,193,0.8912627473,0.01004734793,0.8628720256,0.07436776804,0.5027122551,0.5,0.1688888889
13,40,193,0.8912627473,0.01004734793,0.8628720256,0.07436776804,0.5027122551,0.5,0.1688888889
14,43,193,0.8912627473,0.01004734793,0.8628723799,0.07434937381,0.5027122551,0.5,0.1688888889
15,45,193,0.8912627473,0.01004734793,0.8634750585,0.07522785884,0.5027122551,0.5,0.1711111111
16,40,195,0.8912627473,0.01004734793,0.8628514758,0.07440219433,0.5027122551,0.5,0.1688888889
17,46,196,0.8912627473,0.01004734793,0.8631951549,0.0746414998,0.5027122551,0.5,0.1666666667
18,43,196,0.8912627473,0.01004734793,0.8631951549,0.0746414998,0.5027122551,0.5,0.1666666667
19,43,197,0.8912627473,0.01004734793,0.8628897411,0.07446187061,0.5027122551,0.5,0.1622222222
20,44,197,0.8912627473,0.01004734793,0.8629099367,0.0753582313,0.5027122551,0.5,0.16
21,48,197,0.8912627473,0.01004734793,0.8629099367,0.0753582313,0.5027122551,0.5,0.16
22,44,199,0.8912627473,0.01004734793,0.8629134797,0.07522482148,0.5027122551,0.5,0.1622222222
23,38,199,0.8912627473,0.01004734793,0.8629159599,0.07521599157,0.5027200156,0.5,0.1622222222
24,43,199,0.8912627473,0.01004734793,0.8629042677,0.07505958861,0.5027200156,0.5,0.1622222222
25,48,199,0.8912627473,0.01004734793,0.8629028505,0.07502788265,0.5027200156,0.5,0.1622222222
26,40,200,0.8912627473,0.01004734793,0.8629113539,0.07488086969,0.5027200156,0.5,0.16
27,43,200,0.8912627473,0.01004734793,0.8631955092,0.07493977132,0.5027200156,0.5,0.1577777778
28,45,200,0.8912627473,0.01004734793,0.8632295228,0.07523731532,0.5027200156,0.5,0.1533333333
29,46,200,0.8912627473,0.01004734793,0.8632312944,0.07515217322,0.5027200156,0.5,0.1533333333
30,50,200,0.8912627473,0.01004734793,0.863259639,0.07598826912,0.5027200156,0.5,0.1533333333
31,39,200,0.8912627473,0.01004734793,0.8632086186,0.07467660722,0.5027200156,0.5,0.1577777778
32,41,200,0.8912627473,0.01004734793,0.8632086186,0.07467660722,0.5027200156,0.5,0.1577777778
33,40,200,0.8912627473,0.01004734793,0.8632057842,0.07463313969,0.5027200156,0.5,0.1577777778
34,41,200,0.8912627473,0.01004734793,0.8632500727,0.07502696886,0.5027200156,0.5,0.1555555556
35,43,201,0.8912627473,0.01004734793,0.8632560959,0.07485730125,0.5027200156,0.5,0.1511111111
36,38,201,0.8912627473,0.01004734793,0.8632249168,0.07416184265,0.5027200156,0.5,0.1511111111
37,42,201,0.8912627473,0.01004734793,0.8632298771,0.07418732601,0.5027200156,0.5,0.1511111111
38,42,201,0.8912627473,0.01004734793,0.8632359004,0.07412999626,0.5027200156,0.5,0.1488888889
39,44,201,0.8912627473,0.01004734793,0.8632369633,0.0736298625,0.5027200156,0.5,0.1444444444
40,38,201,0.8912627473,0.01004734793,0.8632369633,0.0736298625,0.5027200156,0.5,0.1444444444
41,47,201,0.8912627473,0.01004734793,0.8632369633,0.0736298625,0.5027200156,0.5,0.1444444444
42,40,201,0.8912627473,0.01004734793,0.8631997609,0.07298939404,0.5027200156,0.5,0.14
43,40,201,0.8912627473,0.01004734793,0.8635416685,0.07349646651,0.5027200156,0.5,0.1355555556
44,41,201,0.8912627473,0.01004734793,0.8635416685,0.07349646651,0.5027200156,0.5,0.1355555556
45,44,202,0.8912627473,0.01004734793,0.8638499168,0.07283258298,0.4687529392,0.5,0.1311111111
46,45,202,0.8912627473,0.01004734793,0.8638761356,0.07320443286,0.4687529392,0.5,0.1311111111
47,40,202,0.8912627473,0.01004734793,0.8628284457,0.07291443451,0.4687529392,0.5,0.1355555556
48,38,202,0.8912627473,0.01004734793,0.8638601917,0.07356882491,0.4687529392,0.5,0.1355555556
49,38,202,0.8912627473,0.01004734793,0.8639321163,0.07458463274,0.4687529392,0.5,0.1311111111
50,44,202,0.8912627473,0.01004734793,0.8639321163,0.07458463274,0.4687529392,0.5,0.1311111111
51,41,202,0.8912627473,0.01004734793,0.8639321163,0.07458463274,0.4687529392,0.5,0.1311111111
52,42,202,0.8912627473,0.01004734793,0.8639321163,0.07458463274,0.4687529392,0.5,0.1311111111
53,42,202,0.8912627473,0.01004734793,0.8639321163,0.07458463274,0.4687529392,0.5,0.1311111111
54,39,202,0.8912627473,0.01004734793,0.863978885,0.07516818192,0.4687529392,0.5,0.1333333333
55,44,202,0.8912627473,0.01004734793,0.863319517,0.07614542099,0.4687529392,0.5,0.1333333333
56,42,203,0.8912627473,0.01004734793,0.8633694745,0.0765106701,0.4687529392,0.5,0.1333333333
57,43,203,0.8912627473,0.01004734793,0.8633694745,0.0765106701,0.4687529392,0.5,0.1333333333
58,42,203,0.8912627473,0.01004734793,0.8633716003,0.07647790397,0.4687529392,0.5,0.1355555556
59,42,203,0.8912627473,0.01004734793,0.8634676179,0.07770265554,0.4687529392,0.5,0.1355555556
60,42,204,0.8912627473,0.01004734793,0.8635204098,0.07796292363,0.4687529392,0.5,0.1355555556
61,44,204,0.8912627473,0.01004734793,0.8635204098,0.07796292363,0.4687529392,0.5,0.1355555556
62,40,205,0.8912627473,0.01004734793,0.8632351915,0.07795999133,0.4687529392,0.5,0.1355555556
63,45,205,0.8912627473,0.01004734793,0.8632614103,0.07811160867,0.4687529392,0.5,0.1355555556
64,42,205,0.8912627473,0.01004734793,0.8632483009,0.07798751675,0.4687529392,0.5,0.1355555556
65,43,205,0.8912627473,0.01004734793,0.8632483009,0.07798751675,0.4687529392,0.5,0.1355555556
66,42,205,0.8912627473,0.01004734793,0.8632490096,0.07803237747,0.4687529392,0.5,0.1355555556
67,42,205,0.8912627473,0.01004734793,0.8632490096,0.07803237747,0.4687529392,0.5,0.1355555556
68,43,206,0.8912627473,0.01004734793,0.8632309398,0.07767280258,0.4687529392,0.5,0.1355555556
69,42,206,0.8912627473,0.01004734793,0.8632309398,0.07767280258,0.4687529392,0.5,0.1355555556
70,43,206,0.8912627473,0.01004734793,0.8632252709,0.07758604521,0.4687529392,0.5,0.1355555556
71,42,206,0.8912627473,0.01004734793,0.8632252709,0.07758604521,0.4687529392,0.5,0.1355555556
72,39,207,0.8912627473,0.01004734793,0.8632192477,0.07745088966,0.4687529392,0.5,0.1355555556
73,38,207,0.8912627473,0.01004734793,0.8632192477,0.07745088966,0.4687529392,0.5,0.1355555556
74,45,208,0.8912627473,0.01004734793,0.8632008236,0.07723379285,0.4687529392,0.5,0.1355555556
75,37,208,0.8912627473,0.01004734793,0.8632008236,0.07723379285,0.4687529392,0.5,0.1355555556
76,45,208,0.8912627473,0.01004734793,0.8632008236,0.07723379285,0.4687529392,0.5,0.1355555556
77,41,208,0.8912627473,0.01004734793,0.8632008236,0.07723379285,0.4687529392,0.5,0.1355555556
78,44,208,0.8912627473,0.01004734793,0.8632008236,0.07723379285,0.4687529392,0.5,0.1355555556
79,43,208,0.8912627473,0.01004734793,0.863214996,0.07736380523,0.4687529392,0.5,0.1355555556
80,41,208,0.8912627473,0.01004734793,0.863214996,0.07736380523,0.4687529392,0.5,0.1355555556
81,43,208,0.8912627473,0.01004734793,0.863214996,0.07736380523,0.4687529392,0.5,0.1355555556
82,41,208,0.8912627473,0.01004734793,0.8632082641,0.07722737533,0.4687529392,0.5,0.1355555556
83,41,209,0.8912627473,0.01004734793,0.8631738962,0.07639806254,0.4687529392,0.5,0.1355555556
84,40,209,0.8912627473,0.01004734793,0.8632064926,0.07671484595,0.4687529392,0.5,0.1355555556
85,40,210,0.8912627473,0.01004734793,0.863247238,0.07729087622,0.4687529392,0.5,0.1355555556
86,42,210,0.8912627473,0.01004734793,0.863247238,0.07729087622,0.4687529392,0.5,0.1355555556
87,46,210,0.8912627473,0.01004734793,0.8632529069,0.07738704372,0.4687529392,0.5,0.1355555556
88,43,210,0.8912627473,0.01004734793,0.8632529069,0.07738704372,0.4687529392,0.5,0.1355555556
89,39,210,0.8912627473,0.01004734793,0.8632529069,0.07738704372,0.4687529392,0.5,0.1355555556
90,45,210,0.8912627473,0.01004734793,0.863262119,0.07756518133,0.4687529392,0.5,0.1355555556
91,40,210,0.8912627473,0.01004734793,0.863262119,0.07756518133,0.4687529392,0.5,0.1355555556
92,38,212,0.8912627473,0.01004734793,0.8629641456,0.07748800279,0.4687529392,0.5,0.1355555556
93,42,212,0.8912627473,0.01004734793,0.8629503276,0.07740637803,0.4687529392,0.5,0.1355555556
94,41,213,0.8912627473,0.01004734793,0.8629627284,0.0775447911,0.4687529392,0.5,0.1355555556
95,44,213,0.8912627473,0.01004734793,0.8629978049,0.07831844968,0.4687529392,0.5,0.1377777778
96,44,214,0.8912627473,0.01004734793,0.8629602482,0.07781587213,0.4687529392,0.5,0.1377777778
97,41,214,0.8912627473,0.01004734793,0.8629839869,0.07846353719,0.4687529392,0.5,0.1377777778
98,41,214,0.8912627473,0.01004734793,0.8629839869,0.07846353719,0.4687529392,0.5,0.1377777778
99,38,214,0.8912627473,0.01004734793,0.8629839869,0.07846353719,0.4687529392,0.5,0.1377777778
