generation,index,bitmask,num_features,accuracy,time,rank,crowding_distance
0,7287,001110001110111,9,0.8912627473,0.3353925804,0,inf
0,22609,101100001010001,6,0.882971935,0.2295831013,0,1.207212165
0,1120,000010001100000,3,0.8698979616,0.03598636651,0,inf
0,2119,000100001000111,5,0.8745216839,0.2085551035,0,0.6468754982
0,19571,100110001110011,8,0.8706951551,0.2079514118,0,0.7927878354
0,6763,001101001101011,8,0.8867984638,0.3644722365,1,inf
0,1135,000010001101111,7,0.8789859675,0.2435574732,1,0.889884323
0,339,000000101010011,5,0.8753188774,0.2357584536,1,0.5500496267
0,580,000001001000100,3,0.8662308678,0.07076541125,1,0.2078808376
0,18284,100011101101100,8,0.8673469406,0.1396252369,1,0.0543648955
0,16456,100000001001000,3,0.8632015344,0.04539821332,1,inf
0,19553,100110001100001,6,0.8678252585,0.2063303469,1,0.2500401245
0,21600,101010001100000,5,0.8665497489,0.139083812,1,0.2631088163
0,19168,100101011100000,6,0.8676658198,0.1413389002,1,0.2293287641
0,580,000001001000100,3,0.8662308678,0.07076541125,1,0.2276282513
0,21356,101001101101100,8,0.8686224502,0.2081848015,1,0.4097972591
0,15967,011111001011111,11,0.879145408,0.3682043194,2,0.3901746732
0,22118,101011001100110,8,0.8818558641,0.3804113022,2,inf
0,21319,101001101000111,8,0.8773915805,0.3253891072,2,0.3707668909
0,23406,101101101101110,10,0.8770727031,0.2791850092,2,0.3134637484
0,7277,001110001101101,8,0.8700574003,0.2520035193,2,0.4124956596
0,24430,101111101101110,11,0.8748405613,0.2636507452,2,0.4360381582
0,16736,100000101100000,4,0.8620854635,0.04566175432,2,inf
0,18008,100011001011000,6,0.8647959232,0.1403507369,2,0.2904288103
0,202,000000011001010,4,0.865433678,0.1924150493,2,0.221994679
0,2136,000100001011000,4,0.8627232201,0.07822453132,2,0.41996201
0,18008,100011001011000,6,0.8647959232,0.1403507369,2,0.187790198
0,22880,101100101100000,6,0.8660714328,0.1930666124,2,0.1201293042
0,595,000001001010011,5,0.8683035746,0.2362513174,2,0.1995486796
0,75,000000001001011,4,0.8667091876,0.2110315366,2,0.1781268979
0,6764,001101001101100,7,0.8678252585,0.2229989893,2,0.1559844066
0,4591,001000111101111,9,0.8799425997,0.3874233584,3,inf
0,21843,101010101010011,8,0.8772321418,0.3344940688,3,0.1770691116
0,5203,001010001010011,6,0.8754783161,0.2995955949,3,0.1242157604
0,6767,001101001101111,9,0.8770727031,0.3340926776,3,0.04909867682
0,22011,101010111111011,11,0.8756377548,0.3216370204,3,0.112676501
0,4694,001001001010110,6,0.8719706647,0.2722124178,3,0.01992662308
0,19927,100110111010111,10,0.8740433678,0.2832123109,3,0.1053660707
0,3675,000111001011011,8,0.8697385229,0.2708265674,3,0.03220682879
0,23389,101101101011101,10,0.8691007681,0.268188627,3,0.02178385518
0,4694,001001001010110,6,0.8719706647,0.2722124178,3,0.04703991302
0,2927,000101101101111,9,0.8684630133,0.2664957452,3,0.06342072352
0,16672,100000100100000,3,0.7417091858,0.05526429857,3,0.846269633
0,1632,000011001100000,4,0.8601722009,0.06398154737,3,0.1317590267
0,17740,100010101001100,6,0.8539540898,0.05755897146,3,0.8670607205
0,20,000000000010100,2,0.7391581684,0.04705256596,3,inf
0,19296,100101101100000,6,0.8619260266,0.08313235512,3,0.1878595241
0,64,000000001000000,1,0.8627232201,0.1400898285,3,0.08370411285
0,500,000000111110100,6,0.8620854653,0.1232977938,3,0.1730019976
0,5476,001010101100100,6,0.8647959232,0.1452352267,3,0.247489185
0,21884,101010101111100,9,0.8659119923,0.2166185086,3,0.2729030911
0,8048,001111101110000,8,0.8675063811,0.2504567723,3,0.1094045215
0,20047,100111001001111,9,0.8668686263,0.2331123487,3,0.1107409222
0,5719,001011001010111,8,0.8791454062,0.4933990357,4,inf
0,14826,011100111101010,9,0.8762755077,0.3811262627,4,0.4066831195
0,12159,010111101111111,12,0.8754783161,0.331187332,4,0.2048483741
0,28519,110111101100111,11,0.873405613,0.3026481709,4,0.109149513
0,2911,000101101011111,9,0.8729272969,0.2925976892,4,0.04047288882
0,17350,100001111000110,7,0.8689413294,0.2763441694,4,0.04105048945
0,11130,010101101111010,9,0.8692602068,0.2841922669,4,0.05406120132
0,5443,001010101000011,6,0.8716517873,0.2908895216,4,0.04676025474
0,2376,000100101001000,4,0.8596938848,0.08124163491,4,0.1915556818
0,3348,000110100010100,5,0.7437818907,0.06606780353,4,inf
0,3912,000111101001000,6,0.853316335,0.06842206744,4,0.8918099548
0,19060,100101001110100,7,0.8619260266,0.1230997207,4,0.2029460984
0,882,000001101110010,6,0.8647959232,0.1612715092,4,0.1700264745
0,22084,101011001000100,6,0.863839291,0.1548801425,4,0.1105274016
0,2922,000101101101010,7,0.865433678,0.2225044197,4,0.1835629079
0,2538,000100111101010,7,0.8671875037,0.27319346,4,0.1163434625
0,16495,100000001101111,7,0.8668686263,0.2331703235,4,0.1315740957
0,6363,001100011011011,8,0.8783482127,0.5505208997,5,0.1721719064
0,6363,001100011011011,8,0.8783482127,0.5505208997,5,inf
0,6890,001101011101010,8,0.8759566322,0.475136912,5,0.3446005462
0,23375,101101101001111,10,0.8746811207,0.3492195942,5,0.1861919656
0,4814,001001011001110,7,0.8753188755,0.3939351509,5,0.2693066782
0,20986,101000111111010,9,0.8732461743,0.3107451112,5,0.1290709149
0,24425,101111101101001,10,0.8687818907,0.2816591472,5,0.07449092364
0,4834,001001011100010,6,0.8708545938,0.2993092388,5,0.05833386178
0,16875,100000111101011,8,0.8689413294,0.2965491824,5,0.0504809119
0,18024,100011001101000,6,0.8558673523,0.08325061749,5,0.9346834896
0,2884,000101101000100,5,0.8592155688,0.1090426252,5,0.1132105509
0,18732,100100100101100,6,0.7295918427,0.06758350943,5,inf
0,16932,100001000100100,4,0.7324617412,0.06915518077,5,0.8813159194
0,16864,100000111100000,5,0.8600127604,0.1244661629,5,0.08195498824
0,20836,101000101100100,6,0.8612882718,0.141892725,5,0.09808144695
0,21328,101001101010000,6,0.8643176071,0.1833476494,5,0.1506543548
0,1866,000011101001010,6,0.8630420975,0.1619986212,5,0.106203535
0,21073,101001001010001,6,0.8647959232,0.2290614489,5,0.1550673276
0,16511,100000001111111,8,0.8663903102,0.2688566111,5,0.07851323962
0,4840,001001011101000,6,0.8659119941,0.2530592843,5,0.09312043067
0,30558,111011101011110,11,0.8745216839,0.3516314533,6,inf
0,4709,001001001100101,6,0.8722895421,0.3339266712,6,0.161343339
0,21734,101010011100110,8,0.8719706628,0.3109969958,6,0.1630918441
0,16606,100000011011110,7,0.8684630133,0.2952828505,6,0.1657204558
0,19564,100110001101100,7,0.8542729672,0.08950502041,6,0.9507412767
0,121,000000001111001,5,0.8565051071,0.114096703,6,0.1697621521
0,1052,000010000011100,4,0.7294324059,0.06897843035,6,inf
0,2596,000101000100100,4,0.7310267948,0.08320877887,6,0.08470716137
0,16404,100000000010100,3,0.731664544,0.08857266663,6,0.8717261022
0,17120,100001011100000,5,0.8598533217,0.1266175404,6,0.1711510053
0,23112,101101001001000,6,0.8600127604,0.1556396815,6,0.1578255908
0,17618,100010011010010,6,0.8635204136,0.2067765407,6,0.04850645067
0,18037,100011001110101,8,0.8633609749,0.2027868342,6,0.1510441944
0,1878,000011101010110,7,0.8636798505,0.2158761176,6,0.05040977478
0,22368,101011101100000,7,0.8643176071,0.219471978,6,0.1355382725
0,19025,100101001010001,6,0.8619260266,0.1671895185,6,0.1898791497
0,18418,100011111110010,9,0.864477044,0.2526333821,6,0.1481816083
0,22342,101011101000110,8,0.866071431,0.2756480887,6,0.1486015956
0,18382,100011111001110,9,0.8659119941,0.2582498817,6,0.09241288895
0,1270,000010011110110,7,0.8729272969,0.3557087961,7,0.02970189599
0,30839,111100001110111,10,0.8743622433,0.4022827134,7,inf
0,5698,001011001000010,5,0.8740433678,0.3607445159,7,0.05316297855
0,16102,011111011100110,10,0.8742028065,0.3705533389,7,0.1271891745
0,30550,111011101010110,10,0.8722895421,0.3547460088,7,0.1092619348
0,21466,101001111011010,9,0.8705357164,0.3246931951,7,0.1360675529
0,6211,001100001000011,5,0.8697385229,0.3151793764,7,0.06166132664
0,13164,011001101101100,8,0.8668686263,0.3024742142,7,0.1597767529
0,14948,011101001100100,7,0.8683035746,0.3056850089,7,0.01183853453
0,21059,101001001000011,6,0.8684630133,0.3087834539,7,0.0381116374
0,12881,011001001010001,6,0.8681441359,0.3055546149,7,0.01919160694
0,632,000001001111000,5,0.8512436301,0.09643360262,7,1.003019821
0,19548,100110001011100,7,0.8531568982,0.1179151309,7,0.1290518132
0,3132,000110000111100,6,0.7236926146,0.07017051696,7,inf
0,7244,001110001001100,6,0.8561862335,0.1333417052,7,0.04256457731
0,1520,000010111110000,6,0.8595344443,0.1351545451,7,0.136783409
0,232,000000011101000,4,0.8555484787,0.1298043593,7,0.06655570023
0,1403,000010101111011,8,0.8630420957,0.2418345027,7,0.08838614201
0,3442,000110101110010,7,0.8606505152,0.1775122969,7,0.1889466931
