generation,num_fronts,pareto_size,best_accuracy,min_time,mean_accuracy,mean_time,hypervolume,mutation_rate,diversity
0,52,21,0.9486562517,0.01083103532,0.8086056925,0.03120205667,0.3560014966,0.0625,0.966796875
1,42,27,0.9563333355,0.0105058302,0.8193734843,0.03199133033,0.3898557082,0.0625,0.91796875
2,42,22,0.9563333355,0.008264982811,0.8154693196,0.03528970411,0.4670514753,0.0625,0.876953125
3,38,26,0.9563333355,0.008264982811,0.815118215,0.04160275773,0.4685455892,0.0625,0.845703125
4,37,33,0.9563333355,0.008264982811,0.8113869424,0.04955689454,0.4696504744,0.0625,0.775390625
5,36,43,0.9563333355,0.008264982811,0.8153558145,0.06282883577,0.4733684071,0.0625,0.703125
6,40,48,0.9563333355,0.008264982811,0.810324544,0.06184483271,0.4703433694,0.0625,0.658203125
7,36,60,0.9563333355,0.008264982811,0.8005532326,0.06333368043,0.4706369665,0.0625,0.60546875
8,36,89,0.9563333355,0.008264982811,0.806225138,0.06545529688,0.3932616008,0.0625,0.51171875
9,33,97,0.9563333355,0.008264982811,0.8152837621,0.07166700926,0.3927225509,0.0625,0.431640625
10,36,126,0.9563333355,0.008264982811,0.8227021583,0.08133480894,0.3934462895,0.0625,0.408203125
11,31,163,0.9563333355,0.008264982811,0.8464407142,0.09599356303,0.3934375599,0.0625,0.314453125
12,29,229,0.9563333355,0.008264982811,0.8727462973,0.1012582939,0.393508579,0.09375,0.220703125
13,32,276,0.9563333355,0.008264982811,0.8852993166,0.1133574954,0.393508579,0.140625,0.15625
14,32,306,0.9563333355,0.008264982811,0.9044854024,0.1169718593,0.393508579,0.2109375,0.125
15,33,320,0.9563333355,0.008264982811,0.906516388,0.1190478154,0.3935119105,0.31640625,0.12890625
16,39,327,0.9563333355,0.008264982811,0.9064088948,0.1178313212,0.393512111,0.474609375,0.130859375
17,37,327,0.9563333355,0.008264982811,0.9064088948,0.1178313212,0.3935165623,0.5,0.130859375
18,36,327,0.9563333355,0.008264982811,0.9064088948,0.1178313212,0.3935165623,0.5,0.130859375
19,37,328,0.9563333355,0.008264982811,0.9063086853,0.1178989923,0.3935165623,0.5,0.1328125
20,39,328,0.9563333355,0.008264982811,0.9057872619,0.1173972013,0.3935165623,0.5,0.1328125
21,38,329,0.9563333355,0.008264982811,0.903927124,0.117351855,0.3935165623,0.5,0.134765625
22,38,329,0.9563333355,0.008264982811,0.903927124,0.117351855,0.3935248574,0.5,0.134765625
23,44,329,0.9563333355,0.008264982811,0.9034047851,0.116848806,0.3935248574,0.5,0.134765625
24,41,329,0.9563333355,0.008264982811,0.9034145202,0.116880326,0.3935248574,0.5,0.134765625
25,34,329,0.9563333355,0.008264982811,0.9029502461,0.116379035,0.3935248574,0.5,0.134765625
26,35,331,0.9563333355,0.008264982811,0.9020572305,0.1152481512,0.3935248574,0.5,0.13671875
27,40,331,0.9563333355,0.008264982811,0.9020572305,0.1152481512,0.3935258044,0.5,0.13671875
28,36,332,0.9563333355,0.008264982811,0.900579661,0.1152338516,0.3935258044,0.5,0.138671875
29,37,334,0.9563333355,0.008264982811,0.8998587951,0.1152266025,0.393548129,0.5,0.140625
30,34,334,0.9563333355,0.008264982811,0.8998587951,0.1152266025,0.3935503761,0.5,0.140625
31,33,334,0.9563333355,0.008264982811,0.8998587951,0.1152266025,0.3935503761,0.5,0.140625
32,37,334,0.9563333355,0.008264982811,0.8980071716,0.1146433378,0.3935505035,0.5,0.14453125
33,41,334,0.9563333355,0.008264982811,0.8975238952,0.114637551,0.3935505035,0.5,0.14453125
34,34,335,0.9563333355,0.008264982811,0.8969512938,0.1145485417,0.3935505035,0.5,0.146484375
35,41,335,0.9563333355,0.008264982811,0.8969512938,0.1145485417,0.3935505035,0.5,0.146484375
36,37,335,0.9563333355,0.008264982811,0.8969512938,0.1145485417,0.3935505035,0.5,0.146484375
37,35,336,0.9563333355,0.007073035813,0.8953548481,0.1145337812,0.3935505035,0.5,0.1484375
