generation,num_fronts,pareto_size,best_accuracy,min_time,mean_accuracy,mean_time,hypervolume,mutation_rate,diversity
0,1,1,0.9695121981,0.05144251033,0.9530101953,0.1873830199,0.9334180193,0.1111111111,0.7777777778
1,1,1,0.9693597592,0.07468588371,0.9541440781,0.1958163301,0.9334180193,0.1099887767,0.8086419753
2,1,1,0.9701219536,0.06868225115,0.9499313037,0.1794470275,0.9334180193,0.1088664422,0.8148148148
3,1,1,0.9701219536,0.05144251033,0.9526921438,0.1901876727,0.9334180193,0.1077441077,0.8086419753
4,1,1,0.9701219536,0.05144251033,0.9512053932,0.1855749081,0.9334180193,0.1066217733,0.8641975309
5,1,1,0.9692073204,0.05144251033,0.9492293317,0.1893847416,0.9334180193,0.1054994388,0.8395061728
6,1,1,0.9696646333,0.08404751134,0.9518509065,0.1917858917,0.9334180193,0.1043771044,0.8703703704
7,1,1,0.9696646333,0.08404751134,0.9491502882,0.1879540946,0.9334180193,0.1032547699,0.8827160494
8,1,1,0.9696646389,0.05144251033,0.9518142085,0.1961077472,0.9334180193,0.1021324355,0.8333333333
9,1,1,0.9696646389,0.06868225115,0.9488501161,0.185362042,0.9334180193,0.101010101,0.8580246914
10,1,1,0.9696646333,0.05144251033,0.9534788036,0.2015545282,0.9334180193,0.09988776655,0.8518518519
11,1,1,0.9701219536,0.05144251033,0.9498390873,0.1902421846,0.9334180193,0.0987654321,0.9012345679
12,1,1,0.9696646389,0.07468588371,0.953117468,0.1971503994,0.9334180193,0.09764309764,0.8271604938
13,1,1,0.9681402501,0.05144251033,0.9511536389,0.1943874649,0.9334180193,0.09652076319,0.8703703704
14,1,1,0.9696646389,0.08813527925,0.9517680996,0.2020949893,0.9334180193,0.09539842873,0.8333333333
15,1,1,0.9695122056,0.05144251033,0.9511009444,0.1869505705,0.9334180193,0.09427609428,0.8888888889
16,1,1,0.9696646333,0.07468588371,0.9532247397,0.1939290236,0.9334180193,0.09315375982,0.8888888889
17,1,1,0.9696646389,0.0863469597,0.9500592778,0.1912450595,0.9334180193,0.09203142536,0.8518518519
18,1,1,0.9701219536,0.06868225115,0.951530973,0.1995921635,0.9334180193,0.09090909091,0.8271604938
19,1,1,0.9692073204,0.05144251033,0.9513757108,0.1930059708,0.9334180193,0.08978675645,0.8518518519
20,1,1,0.9692073204,0.09235404083,0.9538711942,0.1958057661,0.9334180193,0.088664422,0.8456790123
21,1,1,0.9696646333,0.05144251033,0.9497336973,0.1924207122,0.9334180193,0.08754208754,0.8209876543
22,1,1,0.9695122056,0.07468588371,0.9523119873,0.1947979716,0.9334180193,0.08641975309,0.8456790123
23,1,1,0.9701219536,0.05144251033,0.9518894864,0.191617443,0.9334180193,0.08529741863,0.9074074074
24,1,1,0.9696646389,0.06868225115,0.952658268,0.201947574,0.9334180193,0.08417508418,0.8950617284
25,1,1,0.9696646333,0.05144251033,0.9496913533,0.193226272,0.9334180193,0.08305274972,0.8827160494
26,1,1,0.9692073204,0.05144251033,0.9501176183,0.1956847322,0.9334180193,0.08193041526,0.8580246914
