index,bitmask,num_features,accuracy,time,rank,crowding_distance
136,010001000,2,0.9556402415,0.08872172865,0,0
136,010001000,2,0.9556402415,0.08872172865,0,0
152,010011000,3,0.9513719399,0.2329935927,91,0
152,010011000,3,0.9513719399,0.2329935927,88,0
394,110001010,4,0.9682926834,0.1485241046,48,0
266,100001010,3,0.9663109817,0.1359270001,24,0
326,101000110,4,0.9586890172,0.1529696728,108,0
200,011001000,3,0.955487797,0.1316828153,62,0
8,000001000,1,0.9012195114,0.0953759877,153,0
152,010011000,3,0.9513719399,0.2329935927,86,0
140,010001100,3,0.9544207212,0.1939722262,74,0
64,001000000,1,0.9262195174,0.09079117677,107,0
152,010011000,3,0.9513719399,0.2329935927,90,0
408,110011000,4,0.958231695,0.2197342259,112,0
136,010001000,2,0.9556402415,0.08872172865,0,0
456,111001000,4,0.9663109723,0.1493365318,70,0
265,100001001,3,0.9512195047,0.1273183418,92,0
132,010000100,2,0.9396341462,0.1636577162,100,0
16,000010000,1,0.8800304849,0.0962131978,157,0
173,010101101,5,0.9568597469,0.2084413404,138,0
170,010101010,4,0.9583841376,0.1237906108,110,0
188,010111100,5,0.9551829174,0.2635214692,139,0
153,010011001,4,0.955487797,0.2314127795,123,0
217,011011001,5,0.9579268228,0.2819200605,135,0
61,000111101,5,0.9515243843,0.1722416603,144,0
128,010000000,1,0.9323170781,0.08404751134,72,0
70,001000110,3,0.9445121922,0.1709114732,121,0
424,110101000,4,0.9621951189,0.151591171,94,0
136,010001000,2,0.9556402415,0.08872172865,0,0
136,010001000,2,0.9556402415,0.08872172865,0,0
392,110001000,3,0.9653963372,0.1357308119,29,0
12,000001100,2,0.9342987817,0.1145905149,117,0
136,010001000,2,0.9556402415,0.08872172865,0,0
168,010101000,3,0.9556402303,0.1283902619,54,0
171,010101011,5,0.961890243,0.1561283367,130,0
408,110011000,4,0.958231695,0.2197342259,113,0
392,110001000,3,0.9653963372,0.1357308119,25,0
136,010001000,2,0.9556402415,0.08872172865,0,0
192,011000000,2,0.9504573103,0.1211086311,34,0
140,010001100,3,0.9544207212,0.1939722262,76,0
396,110001100,4,0.9617377967,0.18006679,102,0
424,110101000,4,0.9621951189,0.151591171,97,0
296,100101000,3,0.9603658449,0.1424966599,38,0
136,010001000,2,0.9556402415,0.08872172865,0,0
200,011001000,3,0.955487797,0.1316828153,63,0
388,110000100,3,0.9559451118,0.1492509923,51,0
137,010001001,3,0.9589938968,0.1376599907,42,0
397,110001101,5,0.9626524374,0.1984722707,129,0
294,100100110,4,0.9550304823,0.1726385914,126,0
200,011001000,3,0.955487797,0.1316828153,66,0
258,100000010,2,0.9272865914,0.1128509992,133,0
332,101001100,4,0.9624999929,0.1707430179,83,0
8,000001000,1,0.9012195114,0.0953759877,149,0
136,010001000,2,0.9556402415,0.08872172865,0,0
392,110001000,3,0.9653963372,0.1357308119,28,0
66,001000010,2,0.9518292602,0.09929567995,32,0
392,110001000,3,0.9653963372,0.1357308119,27,0
136,010001000,2,0.9556402415,0.08872172865,0,0
404,110010100,4,0.9553353563,0.1947822548,125,0
137,010001001,3,0.9589938968,0.1376599907,41,0
4,000000100,1,0.9094512276,0.06868225115,140,0
138,010001010,3,0.9580792598,0.1175190397,47,0
481,111100001,5,0.9490853604,0.1667485817,147,0
10,000001010,2,0.9445121922,0.1083079919,58,0
8,000001000,1,0.9012195114,0.0953759877,152,0
268,100001100,3,0.9647865798,0.1379161642,31,0
33,000100001,2,0.8849085364,0.1405141028,159,0
264,100001000,2,0.9495426789,0.1157485445,36,0
136,010001000,2,0.9556402415,0.08872172865,0,0
8,000001000,1,0.9012195114,0.0953759877,154,0
216,011011000,4,0.9560975544,0.2577285054,119,0
140,010001100,3,0.9544207212,0.1939722262,78,0
129,010000001,2,0.9335365873,0.1010586498,120,0
448,111000000,3,0.9498475511,0.1094583822,105,0
8,000001000,1,0.9012195114,0.0953759877,156,0
144,010010000,2,0.9355182927,0.1628878268,114,0
198,011000110,4,0.9498475567,0.191795771,131,0
168,010101000,3,0.9556402303,0.1283902619,52,0
424,110101000,4,0.9621951189,0.151591171,95,0
266,100001010,3,0.9663109817,0.1359270001,23,0
4,000000100,1,0.9094512276,0.06868225115,142,0
344,101011000,4,0.964634141,0.194875374,80,0
168,010101000,3,0.9556402303,0.1283902619,56,0
180,010110100,4,0.9402438998,0.2270922111,145,0
40,000101000,2,0.9376524407,0.09235404083,106,0
10,000001010,2,0.9445121922,0.1083079919,59,0
136,010001000,2,0.9556402415,0.08872172865,0,0
296,100101000,3,0.9603658449,0.1424966599,37,0
1,000000001,1,0.7878048848,0.08813527925,161,0
144,010010000,2,0.9355182927,0.1628878268,115,0
138,010001010,3,0.9580792598,0.1175190397,43,0
44,000101100,3,0.9384146333,0.1604029066,132,0
152,010011000,3,0.9513719399,0.2329935927,89,0
104,001101000,3,0.9568597451,0.1185564424,50,0
329,101001001,4,0.9663109742,0.1626024148,68,0
170,010101010,4,0.9583841376,0.1237906108,111,0
329,101001001,4,0.9663109742,0.1626024148,67,0
200,011001000,3,0.955487797,0.1316828153,61,0
128,010000000,1,0.9323170781,0.08404751134,71,0
136,010001000,2,0.9556402415,0.08872172865,0,0
424,110101000,4,0.9621951189,0.151591171,93,0
268,100001100,3,0.9647865798,0.1379161642,30,0
90,001011010,4,0.9618902393,0.2218290572,98,0
2,000000010,1,0.8757621963,0.0863469597,158,0
196,011000100,3,0.9515243825,0.1577226631,82,0
458,111001010,5,0.9644817039,0.1614640043,128,0
168,010101000,3,0.9556402303,0.1283902619,53,0
4,000000100,1,0.9094512276,0.06868225115,143,0
424,110101000,4,0.9621951189,0.151591171,96,0
147,010010011,4,0.9367378037,0.1958240762,148,0
136,010001000,2,0.9556402415,0.08872172865,0,0
202,011001010,4,0.9612804782,0.149196442,104,0
140,010001100,3,0.9544207212,0.1939722262,77,0
456,111001000,4,0.9663109723,0.1493365318,69,0
136,010001000,2,0.9556402415,0.08872172865,0,0
131,010000011,3,0.9347560965,0.1501262328,137,0
13,000001101,3,0.9356707335,0.3014179626,136,0
12,000001100,2,0.9342987817,0.1145905149,116,0
220,011011100,5,0.9589938931,0.2710625273,134,0
136,010001000,2,0.9556402415,0.08872172865,0,0
168,010101000,3,0.9556402303,0.1283902619,55,0
396,110001100,4,0.9617377967,0.18006679,101,0
192,011000000,2,0.9504573103,0.1211086311,35,0
138,010001010,3,0.9580792598,0.1175190397,46,0
8,000001000,1,0.9012195114,0.0953759877,155,0
200,011001000,3,0.955487797,0.1316828153,65,0
140,010001100,3,0.9544207212,0.1939722262,75,0
33,000100001,2,0.8849085364,0.1405141028,160,0
4,000000100,1,0.9094512276,0.06868225115,141,0
392,110001000,3,0.9653963372,0.1357308119,26,0
67,001000011,3,0.9541158434,0.1536063617,79,0
152,010011000,3,0.9513719399,0.2329935927,87,0
152,010011000,3,0.9513719399,0.2329935927,85,0
152,010011000,3,0.9513719399,0.2329935927,84,0
130,010000010,2,0.9394817092,0.1096591135,103,0
200,011001000,3,0.955487797,0.1316828153,64,0
136,010001000,2,0.9556402415,0.08872172865,0,0
172,010101100,4,0.9548780415,0.1772159359,127,0
136,010001000,2,0.9556402415,0.08872172865,0,0
136,010001000,2,0.9556402415,0.08872172865,0,0
12,000001100,2,0.9342987817,0.1145905149,118,0
153,010011001,4,0.955487797,0.2314127795,122,0
137,010001001,3,0.9589938968,0.1376599907,39,0
26,000011010,3,0.9474085309,0.166096261,109,0
88,001011000,3,0.9570121896,0.1966020344,49,0
132,010000100,2,0.9396341462,0.1636577162,99,0
136,010001000,2,0.9556402415,0.08872172865,0,0
169,010101001,4,0.9554877914,0.1521936124,124,0
137,010001001,3,0.9589938968,0.1376599907,40,0
138,010001010,3,0.9580792598,0.1175190397,44,0
136,010001000,2,0.9556402415,0.08872172865,0,0
8,000001000,1,0.9012195114,0.0953759877,150,0
136,010001000,2,0.9556402415,0.08872172865,0,0
8,000001000,1,0.9012195114,0.0953759877,151,0
138,010001010,3,0.9580792598,0.1175190397,45,0
10,000001010,2,0.9445121922,0.1083079919,57,0
324,101000100,3,0.9624999966,0.1362094213,33,0
9,000001001,2,0.9167682994,0.1331997535,146,0
136,010001000,2,0.9556402415,0.08872172865,0,0
140,010001100,3,0.9544207212,0.1939722262,73,0
284,100011100,4,0.9644817002,0.1660791668,81,0
10,000001010,2,0.9445121922,0.1083079919,60,0
