generation,num_fronts,pareto_size,best_accuracy,min_time,mean_accuracy,mean_time,hypervolume,mutation_rate,diversity
0,1,1,0.9451041669,0.01099840848,0.811626414,0.04626493998,0.8779739588,0.0625,0.994140625
1,1,1,0.9518802017,0.01119006018,0.8086320086,0.04622242874,0.8893802017,0.06186868687,0.98828125
2,1,1,0.9529947862,0.01218268275,0.8224154254,0.04762962153,0.8910937518,0.06123737374,0.98828125
3,1,1,0.9563333355,0.01133008499,0.8000016072,0.04903722514,0.8910937518,0.06060606061,0.990234375
4,1,1,0.950880209,0.01073655798,0.7990924583,0.0498011559,0.8910937518,0.05997474747,0.978515625
5,1,1,0.9476197902,0.01149815973,0.793734548,0.05041067697,0.8910937518,0.05934343434,0.9921875
6,1,1,0.9529947862,0.01059463073,0.7999164835,0.04803942269,0.8910937518,0.05871212121,0.994140625
7,1,1,0.9477552157,0.010777074,0.7879248454,0.0482033356,0.8910937518,0.05808080808,0.9921875
8,1,1,0.9563333355,0.01099848302,0.7924786176,0.04736942367,0.8910937518,0.05744949495,0.990234375
9,1,1,0.9524531197,0.01010747405,0.788861664,0.04615412033,0.8910937518,0.05681818182,0.994140625
10,1,1,0.9489270803,0.01023508993,0.7839946594,0.04312899853,0.8910937518,0.05618686869,0.994140625
11,1,1,0.9563333355,0.01064420355,0.786457255,0.04789355379,0.8910937518,0.05555555556,0.9921875
12,1,1,0.9489270803,0.01123844337,0.7824001975,0.04340634181,0.8910937518,0.05492424242,1
13,1,1,0.9498020802,0.01152514297,0.7886992188,0.04891452152,0.8910937518,0.05429292929,0.990234375
14,1,1,0.9524531197,0.01098009598,0.775101247,0.04321511811,0.8910937518,0.05366161616,0.990234375
15,1,1,0.9471458327,0.01114623522,0.7845744935,0.04419246901,0.8910937518,0.05303030303,0.998046875
16,1,1,0.9460729156,0.01108802226,0.7785468344,0.0471843893,0.8910937518,0.0523989899,0.9921875
17,1,1,0.9498020802,0.01113039214,0.7753187968,0.04478266461,0.8910937518,0.05176767677,0.998046875
18,1,1,0.9524531197,0.01106218642,0.7833609619,0.04534200076,0.8910937518,0.05113636364,0.99609375
19,1,1,0.9495885391,0.01095070282,0.775565918,0.04532426361,0.8910937518,0.05050505051,0.998046875
20,1,1,0.9477552157,0.01088881935,0.7785775756,0.04692721438,0.8910937518,0.04987373737,0.9921875
21,1,1,0.9524531197,0.0105058302,0.7766243896,0.04761606868,0.8910937518,0.04924242424,0.994140625
22,1,1,0.9563333355,0.01101187276,0.7764298707,0.05061015041,0.8910937518,0.04861111111,0.994140625
23,1,1,0.9471458327,0.01085720089,0.7846380309,0.0469261925,0.8910937518,0.04797979798,0.9921875
24,1,1,0.9460729156,0.01106024598,0.7723503518,0.04296394386,0.8910937518,0.04734848485,0.998046875
25,1,1,0.9473437518,0.01125036992,0.7767302044,0.04757699014,0.8910937518,0.04671717172,0.99609375
26,1,1,0.9449322857,0.01108882239,0.7719654641,0.04331110432,0.8910937518,0.04608585859,0.99609375
27,1,1,0.9529270865,0.01103606698,0.7774781495,0.04454150013,0.8910937518,0.04545454545,0.990234375
28,1,1,0.9518802017,0.01017577199,0.7709329224,0.04386910202,0.8910937518,0.04482323232,0.998046875
29,1,1,0.9465833344,0.01084241614,0.7754700419,0.04485232039,0.8910937518,0.04419191919,0.994140625
30,1,1,0.9563333355,0.0117458055,0.7618138632,0.04290801037,0.8910937518,0.04356060606,0.994140625
31,1,1,0.9529947862,0.01146321537,0.7814596051,0.04594382663,0.8910937518,0.04292929293,0.998046875
32,1,1,0.9480052162,0.01113767791,0.7660602315,0.04274309289,0.8910937518,0.0422979798,0.990234375
33,1,1,0.9491250049,0.0111723202,0.777425181,0.04431406184,0.8910937518,0.04166666667,0.99609375
34,1,1,0.9433489572,0.009856017394,0.7642103983,0.03918719439,0.8910937518,0.04103535354,0.994140625
35,1,1,0.9491250049,0.01133939737,0.7820262247,0.04859654067,0.8910937518,0.0404040404,1
36,1,1,0.9391562529,0.009856017394,0.7685258586,0.0427350218,0.8910937518,0.03977272727,0.994140625
37,1,1,0.9473437518,0.0109830921,0.7845404358,0.04511149897,0.8910937518,0.03914141414,0.998046875
38,1,1,0.9476197902,0.01095162882,0.7666329346,0.04327859695,0.8910937518,0.03851010101,0.998046875
39,1,1,0.9518802017,0.01101887107,0.7830106504,0.0486088369,0.8910937518,0.03787878788,1
40,1,1,0.9563333355,0.01089964903,0.7709080813,0.04370510579,0.8910937518,0.03724747475,1
41,1,1,0.9491250049,0.01114319754,0.7802212217,0.04939891036,0.8910937518,0.03661616162,0.99609375
42,1,1,0.950880209,0.01188783682,0.7676559347,0.04146963295,0.8910937518,0.03598484848,0.990234375
43,1,1,0.9518802017,0.01102759468,0.7749530333,0.04667991171,0.8910937518,0.03535353535,0.9921875
44,1,1,0.9473437518,0.01034872045,0.7660406698,0.04507743117,0.8910937518,0.03472222222,0.990234375
45,1,1,0.9476197902,0.01118744788,0.7867123107,0.04531403033,0.8910937518,0.03409090909,0.9921875
46,1,1,0.9471458327,0.01070332818,0.7655322063,0.04201168761,0.8910937518,0.03345959596,0.98828125
47,1,1,0.9455312528,0.01049958068,0.7818856912,0.04339478774,0.8910937518,0.03282828283,0.98828125
48,1,1,0.9471458327,0.009953923756,0.7669096373,0.04481219827,0.8910937518,0.0321969697,0.9921875
49,1,1,0.9473437518,0.009856017394,0.7820680236,0.0452334845,0.8910937518,0.03156565657,0.9921875
50,1,1,0.948859375,0.01103606698,0.7731183165,0.04608058899,0.8910937518,0.03093434343,0.99609375
51,1,1,0.9518802017,0.01089635913,0.7810829877,0.04364129387,0.8910937518,0.0303030303,0.998046875
52,1,1,0.9473437518,0.009529132949,0.7725099078,0.04553535758,0.8910937518,0.02967171717,0.998046875
53,1,1,0.9518802017,0.01113039214,0.7834556681,0.04674062024,0.8910937518,0.02904040404,0.994140625
54,1,1,0.9425208364,0.01084241614,0.7860060631,0.04049258289,0.8910937518,0.02840909091,0.998046875
55,1,1,0.9460364562,0.01099534539,0.7839887286,0.04501632263,0.8910937518,0.02777777778,0.99609375
