index,bitmask,num_features,accuracy,time,rank,crowding_distance
4603,0001000111111011,9,0.9297552109,0.08111986984,159,0
12790,0011000111110110,9,0.8968125079,0.03112118057,383,0
4087,0000111111110111,11,0.9396822881,0.08083853731,187,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
16895,0100000111111111,10,0.9371406231,0.3123795064,147,0
45469,1011000110011101,9,0.847791668,0.02888970944,477,0
4583,0001000111100111,8,0.8813229203,0.0141666579,419,0
1527,0000010111110111,9,0.9323437512,0.01511739375,122,0
1535,0000010111111111,10,0.9524531197,0.326096992,44,0
3579,0000110111111011,10,0.9403854162,0.01485816477,101,0
16895,0100000111111111,10,0.9371406231,0.3123795064,145,0
16687,0100000100101111,7,0.8351354208,0.01842555581,478,0
379,0000000101111011,7,0.9079114571,0.03118277976,250,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
5599,0001010111011111,10,0.933937503,0.04306204035,182,0
21503,0101001111111111,12,0.942437496,0.3364304956,231,0
8699,0010000111111011,9,0.9326927084,0.05041552827,118,0
18911,0100100111011111,10,0.9290208295,0.0413788486,233,0
13278,0011001111011110,10,0.9141510427,0.01745640996,336,0
18940,0100100111111100,9,0.891505206,0.03961660585,404,0
375,0000000101110111,7,0.8854843788,0.03627524653,378,0
9215,0010001111111111,11,0.9460729156,0.3421186162,104,0
1023,0000001111111111,10,0.9518802017,0.3133281441,55,0
191,0000000010111111,7,0.8795937467,0.08580835426,402,0
495,0000000111101111,8,0.9245677106,0.02946845349,154,0
34301,1000010111111101,10,0.9243333358,0.01572677837,273,0
11255,0010101111110111,11,0.9343020786,0.03131126921,240,0
375,0000000101110111,7,0.8854843788,0.03627524653,379,0
34303,1000010111111111,11,0.9491250049,0.3468233291,85,0
2429,0000100101111101,8,0.8848541621,0.02016039644,405,0
507,0000000111111011,8,0.9388958346,0.02330194088,63,0
2547,0000100111110011,8,0.9124843795,0.03234649135,264,0
503,0000000111110111,8,0.9223281238,0.02762472827,169,0
2527,0000100111011111,9,0.927822914,0.03012447641,181,0
38907,1001011111111011,12,0.940562496,0.08989913948,239,0
4467,0001000101110011,7,0.8451041654,0.0189674258,467,0
383,0000000101111111,8,0.9250624999,0.02753853344,133,0
8703,0010000111111111,10,0.9418958314,0.3347403528,94,0
33471,1000001010111111,9,0.901046874,0.01563578547,363,0
255,0000000011111111,8,0.9200520795,0.2547347629,193,0
16758,0100000101110110,7,0.8424010407,0.01545673932,475,0
35327,1000100111111111,11,0.9454635456,0.3525257446,117,0
17397,0100001111110101,9,0.8838593755,0.029509202,428,0
13045,0011001011110101,9,0.8400989622,0.08469528719,483,0
255,0000000011111111,8,0.9200520795,0.2547347629,194,0
4603,0001000111111011,9,0.9297552109,0.08111986984,160,0
17279,0100001101111111,10,0.9240468778,0.03158722469,276,0
35575,1000101011110111,10,0.9106718786,0.03261661821,355,0
5103,0001001111101111,10,0.9256145768,0.03812585503,258,0
33279,1000000111111111,10,0.9435885437,0.3734880146,74,0
34300,1000010111111100,9,0.9020885453,0.0421215246,362,0
1014,0000001111110110,8,0.9138281159,0.0299965553,256,0
34227,1000010110110011,8,0.8947343752,0.05315655351,364,0
1019,0000001111111011,9,0.9442291632,0.07881078823,66,0
33279,1000000111111111,10,0.9435885437,0.3734880146,75,0
17855,0100010110111111,10,0.9300052058,0.01617248775,230,0
2495,0000100110111111,9,0.9244531281,0.03283696587,219,0
8701,0010000111111101,9,0.9117604215,0.03276622435,307,0
767,0000001011111111,9,0.9281614553,0.3271489786,172,0
5613,0001010111101101,9,0.8953854144,0.07825956028,387,0
41359,1010000110001111,8,0.8673802055,0.0132072579,447,0
46909,1011011100111101,11,0.8727968782,0.08281276957,463,0
4530,0001000110110010,6,0.8062343784,0.03241073398,489,0
35327,1000100111111111,11,0.9454635456,0.3525257446,116,0
25081,0110000111111001,9,0.8936250005,0.02286731801,398,0
17877,0100010111010101,8,0.8507343754,0.0395899188,471,0
4607,0001000111111111,10,0.9392552078,0.2794617377,111,0
1911,0000011101110111,9,0.910531247,0.03064181039,317,0
239,0000000011101111,7,0.8829947896,0.03000183403,386,0
973,0000001111001101,7,0.8623229116,0.03593815502,444,0
16895,0100000111111111,10,0.9371406231,0.3123795064,144,0
956,0000001110111100,7,0.8618906327,0.0150654173,446,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
35839,1000101111111111,12,0.9480260424,0.3374061016,162,0
1503,0000010111011111,9,0.9402083289,0.03177207819,72,0
1023,0000001111111111,10,0.9518802017,0.3133281441,53,0
33275,1000000111111011,9,0.9352499992,0.1124559692,97,0
1023,0000001111111111,10,0.9518802017,0.3133281441,59,0
4089,0000111111111001,10,0.9224114642,0.03142226068,288,0
8698,0010000111111010,8,0.911953127,0.02052726212,271,0
8639,0010000110111111,9,0.918989582,0.02967896918,261,0
2173,0000100001111101,7,0.8060520869,0.0321227645,491,0
4477,0001000101111101,8,0.8756510317,0.02880111674,433,0
2559,0000100111111111,10,0.9434166681,0.3139924975,80,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
49658,1100000111111010,9,0.9086718727,0.02945568395,329,0
447,0000000110111111,8,0.9257499967,0.02820354453,124,0
1023,0000001111111111,10,0.9518802017,0.3133281441,51,0
991,0000001111011111,9,0.9411354102,0.07758118678,68,0
35836,1000101111111100,10,0.9092656281,0.03170350729,356,0
1981,0000011110111101,9,0.9109947924,0.02970631851,314,0
1535,0000010111111111,10,0.9524531197,0.326096992,43,0
16831,0100000110111111,9,0.9204010461,0.03035149531,251,0
16895,0100000111111111,10,0.9371406231,0.3123795064,141,0
21454,0101001111001110,9,0.8873072919,0.03133164579,420,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
33019,1000000011111011,8,0.8992395885,0.04628395278,349,0
4598,0001000111110110,8,0.8888072949,0.01651631191,388,0
8511,0010000100111111,8,0.8832239583,0.07603350724,413,0
895,0000001101111111,9,0.9334687423,0.04877520326,106,0
2495,0000100110111111,9,0.9244531281,0.03283696587,217,0
1999,0000011111001111,9,0.9309218787,0.01552002723,137,0
34815,1000011111111111,12,0.9529947862,0.2818981102,99,0
6647,0001100111110111,10,0.926505208,0.03121952253,252,0
255,0000000011111111,8,0.9200520795,0.2547347629,203,0
2559,0000100111111111,10,0.9434166681,0.3139924975,77,0
8671,0010000111011111,9,0.9262031224,0.04718119465,205,0
3062,0000101111110110,9,0.9172812551,0.03816282249,281,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
33465,1000001010111001,7,0.8124374934,0.0301091664,490,0
25599,0110001111111111,12,0.942718748,0.2812820105,228,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
11422,0010110010011110,8,0.8512343783,0.01324295215,468,0
3391,0000110100111111,9,0.9070520811,0.07999931113,341,0
16881,0100000111110001,7,0.8447395843,0.01554155629,470,0
2559,0000100111111111,10,0.9434166681,0.3139924975,82,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
319,0000000100111111,7,0.8859843779,0.01338392997,375,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
5631,0001010111111111,11,0.9439270794,0.2842715196,130,0
33277,1000000111111101,9,0.91580729,0.03697959473,289,0
1015,0000001111110111,9,0.9314479195,0.07937028259,127,0
1527,0000010111110111,9,0.9323437512,0.01511739375,123,0
60,0000000000111100,4,0.5875104181,0.01147701006,511,0
509,0000000111111101,8,0.9177552033,0.08515176387,224,0
31325,0111101001011101,10,0.8231145795,0.03070678952,492,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
8703,0010000111111111,10,0.9418958314,0.3347403528,93,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
17759,0100010101011111,9,0.907552084,0.03163515887,339,0
38271,1001010101111111,11,0.924109377,0.08080058568,308,0
1535,0000010111111111,10,0.9524531197,0.326096992,48,0
255,0000000011111111,8,0.9200520795,0.2547347629,191,0
33565,1000001100011101,7,0.8140468765,0.01438469443,488,0
255,0000000011111111,8,0.9200520795,0.2547347629,195,0
5885,0001011011111101,10,0.8900989573,0.02378603077,429,0
759,0000001011110111,8,0.8965468761,0.02888044709,360,0
17871,0100010111001111,9,0.9125520829,0.08320519445,303,0
509,0000000111111101,8,0.9177552033,0.08515176387,225,0
4567,0001000111010111,8,0.8896302097,0.01607136641,385,0
4479,0001000101111111,9,0.9153020885,0.07954724273,290,0
26073,0110010111011001,9,0.8728593793,0.02858149254,450,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
