generation,num_fronts,pareto_size,best_accuracy,min_time,mean_accuracy,mean_time,hypervolume,mutation_rate,diversity
0,1,1,4,1,1.7421875,6.83203125,3.975,0.0625,0.9921875
1,1,1,4,2,1.603515625,7.185546875,3.975,0.06186868687,0.98828125
2,1,1,4,1,1.775390625,7.048828125,3.975,0.06123737374,0.9921875
3,1,1,4,1,1.638671875,7.330078125,3.975,0.06060606061,0.998046875
4,1,1,4,1,1.615234375,7.376953125,3.975,0.05997474747,0.994140625
5,1,1,4,2,1.693359375,7.451171875,3.975,0.05934343434,0.994140625
6,1,1,4,2,1.61328125,7.5078125,3.975,0.05871212121,0.9921875
7,1,1,4,2,1.607421875,7.548828125,3.975,0.05808080808,0.9921875
8,1,1,4,1,1.595703125,7.470703125,3.975,0.05744949495,0.994140625
9,1,1,4,2,1.494140625,7.701171875,3.975,0.05681818182,0.994140625
10,1,1,4,2,1.525390625,7.646484375,3.975,0.05618686869,0.99609375
11,1,1,4,2,1.43359375,7.78515625,3.975,0.05555555556,1
12,1,1,4,3,1.576171875,7.564453125,3.975,0.05492424242,0.994140625
13,1,1,4,1,1.591796875,7.861328125,3.975,0.05429292929,0.998046875
14,1,1,4,1,1.59765625,7.69921875,3.975,0.05366161616,0.99609375
15,1,1,4,2,1.544921875,7.787109375,3.975,0.05303030303,0.99609375
16,1,1,4,2,1.5,7.75390625,3.975,0.0523989899,0.990234375
17,1,1,4,2,1.466796875,7.740234375,3.975,0.05176767677,0.99609375
18,1,1,4,2,1.3984375,7.69140625,3.975,0.05113636364,1
19,1,1,4,3,1.48828125,7.8046875,3.975,0.05050505051,0.998046875
20,1,1,4,3,1.466796875,7.806640625,3.975,0.04987373737,0.99609375
21,1,1,4,1,1.486328125,7.705078125,3.975,0.04924242424,0.998046875
22,1,1,4,3,1.46875,7.67578125,3.975,0.04861111111,1
23,1,1,4,2,1.486328125,7.767578125,3.975,0.04797979798,0.9921875
24,1,1,4,1,1.54296875,7.7265625,3.975,0.04734848485,0.994140625
25,1,1,4,3,1.6015625,7.8984375,3.975,0.04671717172,0.99609375
26,1,1,4,2,1.5546875,7.83203125,3.975,0.04608585859,0.998046875
27,1,1,4,2,1.509765625,7.873046875,3.975,0.04545454545,1
28,1,1,4,2,1.4765625,7.6953125,3.975,0.04482323232,0.99609375
29,1,1,4,2,1.5078125,7.83984375,3.975,0.04419191919,0.99609375
30,1,1,4,2,1.482421875,7.822265625,3.975,0.04356060606,0.994140625
31,1,1,4,3,1.552734375,7.818359375,3.975,0.04292929293,0.990234375
32,1,1,4,2,1.453125,7.83203125,3.975,0.0422979798,0.994140625
33,1,1,4,2,1.544921875,7.869140625,3.975,0.04166666667,0.9921875
34,1,1,4,2,1.50390625,7.8046875,3.975,0.04103535354,0.994140625
35,1,1,4,1,1.5703125,7.91015625,3.975,0.0404040404,0.986328125
36,1,1,4,2,1.51171875,7.8515625,3.975,0.03977272727,0.9921875
37,1,1,4,2,1.53515625,7.80078125,3.975,0.03914141414,0.99609375
38,1,1,4,2,1.63671875,7.8515625,3.975,0.03851010101,0.99609375
39,1,1,4,3,1.54296875,7.81640625,3.975,0.03787878788,0.99609375
40,1,1,4,2,1.603515625,7.802734375,3.975,0.03724747475,0.9921875
41,1,1,4,2,1.45703125,7.9140625,3.975,0.03661616162,0.994140625
42,1,1,4,3,1.54296875,7.79296875,3.975,0.03598484848,0.994140625
43,1,1,4,2,1.455078125,7.833984375,3.975,0.03535353535,0.99609375
44,1,1,4,2,1.55859375,7.6796875,3.975,0.03472222222,0.998046875
45,1,1,4,2,1.576171875,7.822265625,3.975,0.03409090909,0.99609375
46,1,1,4,2,1.56640625,7.828125,3.975,0.03345959596,0.98828125
47,1,1,4,1,1.578125,7.78125,3.975,0.03282828283,0.9921875
48,1,1,4,2,1.515625,7.72265625,3.975,0.0321969697,0.9921875
49,1,1,4,2,1.556640625,7.830078125,3.975,0.03156565657,0.998046875
50,1,1,4,1,1.501953125,7.880859375,3.975,0.03093434343,0.99609375
51,1,1,4,2,1.58984375,7.60546875,3.975,0.0303030303,1
52,1,1,4,1,1.501953125,7.951171875,3.975,0.02967171717,0.994140625
53,1,1,4,3,1.546875,7.55859375,3.975,0.02904040404,0.990234375
54,1,1,4,2,1.494140625,7.923828125,3.975,0.02840909091,0.99609375
55,1,1,4,2,1.484375,7.72265625,3.975,0.02777777778,0.99609375
56,1,1,4,2,1.564453125,7.732421875,3.975,0.02714646465,0.994140625
57,1,1,4,2,1.5546875,7.58203125,3.975,0.02651515152,0.998046875
58,1,1,4,2,1.494140625,7.685546875,3.975,0.02588383838,1
59,1,1,4,3,1.517578125,7.666015625,3.975,0.02525252525,1
60,1,1,4,2,1.5625,7.62109375,3.975,0.02462121212,0.99609375
61,1,1,4,2,1.46484375,7.578125,3.975,0.02398989899,0.99609375
62,1,1,4,2,1.45703125,7.73828125,3.975,0.02335858586,0.99609375
63,1,1,4,2,1.57421875,7.49609375,3.975,0.02272727273,1
64,1,1,4,2,1.53125,7.5859375,3.975,0.0220959596,0.994140625
65,1,1,4,2,1.494140625,7.494140625,3.975,0.02146464646,1
66,1,1,4,2,1.578125,7.55859375,3.975,0.02083333333,0.998046875
67,1,1,4,2,1.603515625,7.337890625,3.975,0.0202020202,0.994140625
68,1,1,4,2,1.486328125,7.458984375,3.975,0.01957070707,0.98828125
69,1,1,4,1,1.572265625,7.380859375,3.975,0.01893939394,0.990234375
70,1,1,4,2,1.623046875,7.314453125,3.975,0.01830808081,0.994140625
71,1,1,4,2,1.5546875,7.26953125,3.975,0.01767676768,1
72,1,1,4,2,1.521484375,7.330078125,3.975,0.01704545455,0.99609375
73,1,1,4,2,1.658203125,7.033203125,3.975,0.01641414141,0.998046875
