index,bitmask,num_features,accuracy,time,rank,crowding_distance
42000,1010010000010000,4,4,4,0,0
45058,1011000000000010,4,4,4,0,0
13444,0011010010000100,5,3,5,257,0
62976,1111011000000000,6,2,6,288,0
39936,1001110000000000,4,4,4,0,0
29745,0111010000110001,7,1,7,409,0
10252,0010100000001100,4,4,4,0,0
39047,1001100010000111,7,1,7,413,0
39232,1001100101000000,5,3,5,145,0
40962,1010000000000010,3,3,3,124,0
36224,1000110110000000,5,3,5,146,0
36933,1001000001000101,5,3,5,151,0
8216,0010000000011000,3,3,3,121,0
53970,1101001011010010,8,0,8,493,0
1060,0000010000100100,3,3,3,118,0
12289,0011000000000001,3,3,3,117,0
4880,0001001100010000,4,4,4,0,0
13835,0011011000001011,7,1,7,443,0
47632,1011101000010000,6,2,6,320,0
30800,0111100001010000,6,2,6,322,0
6165,0001100000010101,5,3,5,162,0
25636,0110010000100100,5,3,5,164,0
15506,0011110010010010,7,1,7,455,0
47744,1011101010000000,6,2,6,339,0
47106,1011100000000010,5,3,5,171,0
43620,1010101001100100,7,1,7,447,0
32649,0111111110001001,10,2,10,386,0
45394,1011000101010010,7,1,7,435,0
43657,1010101010001001,7,1,7,434,0
5585,0001010111010001,7,1,7,429,0
2048,0000100000000000,1,1,1,388,0
45700,1011001010000100,6,2,6,362,0
7808,0001111010000000,5,3,5,199,0
61634,1111000011000010,7,1,7,404,0
55360,1101100001000000,5,3,5,262,0
45508,1011000111000100,7,1,7,401,0
63494,1111100000000110,7,1,7,398,0
15432,0011110001001000,6,2,6,280,0
14657,0011100101000001,6,2,6,383,0
6466,0001100101000010,5,3,5,214,0
7071,0001101110011111,10,2,10,384,0
26816,0110100011000000,5,3,5,222,0
14850,0011101000000010,5,3,5,231,0
50316,1100010010001100,6,2,6,366,0
14757,0011100110100101,8,0,8,498,0
45057,1011000000000001,4,4,4,0,0
41056,1010000001100000,4,4,4,0,0
45184,1011000010000000,4,4,4,0,0
45196,1011000010001100,6,2,6,343,0
14348,0011100000001100,5,3,5,244,0
63521,1111100000100001,7,1,7,453,0
15652,0011110100100100,7,1,7,454,0
47150,1011100000101110,8,0,8,504,0
14336,0011100000000000,3,3,3,99,0
14432,0011100001100000,5,3,5,246,0
39176,1001100100001000,5,3,5,251,0
45354,1011000100101010,7,1,7,465,0
7184,0001110000010000,4,4,4,0,0
45248,1011000011000000,5,3,5,253,0
30737,0111100000010001,6,2,6,317,0
37140,1001000100010100,5,3,5,256,0
4136,0001000000101000,3,3,3,94,0
45094,1011000000100110,6,2,6,308,0
63488,1111100000000000,5,3,5,259,0
30752,0111100000100000,5,3,5,261,0
40960,1010000000000000,2,2,2,263,0
35338,1000101000001010,5,3,5,132,0
32,0000000000100000,1,1,1,389,0
38936,1001100000011000,5,3,5,250,0
45312,1011000100000000,4,4,4,0,0
36386,1000111000100010,6,2,6,293,0
14856,0011101000001000,5,3,5,216,0
2305,0000100100000001,3,3,3,86,0
48194,1011110001000010,7,1,7,470,0
14504,0011100010101000,6,2,6,284,0
14436,0011100001100100,6,2,6,283,0
1036,0000010000001100,3,3,3,83,0
43088,1010100001010000,5,3,5,173,0
13120,0011001101000000,5,3,5,204,0
8581,0010000110000101,5,3,5,140,0
57416,1110000001001000,5,3,5,154,0
47118,1011100000001110,7,1,7,399,0
46385,1011010100110001,8,0,8,499,0
39049,1001100010001001,6,2,6,301,0
48256,1011110010000000,6,2,6,303,0
259,0000000100000011,3,3,3,85,0
45063,1011000000000111,6,2,6,311,0
40968,1010000000001000,3,3,3,87,0
40970,1010000000001010,4,4,4,0,0
48136,1011110000001000,6,2,6,316,0
32897,1000000010000001,3,3,3,90,0
44566,1010111000010110,8,0,8,505,0
43172,1010100010100100,6,2,6,321,0
47313,1011100011010001,8,0,8,508,0
12038,0010111100000110,7,1,7,426,0
39428,1001101000000100,5,3,5,239,0
14728,0011100110001000,6,2,6,359,0
45632,1011001001000000,5,3,5,234,0
39008,1001100001100000,5,3,5,230,0
34980,1000100010100100,5,3,5,229,0
44566,1010111000010110,8,0,8,502,0
6659,0001101000000011,5,3,5,226,0
46592,1011011000000000,5,3,5,225,0
37185,1001000101000001,5,3,5,219,0
38928,1001100000010000,4,4,4,0,0
47104,1011100000000000,4,4,4,0,0
39040,1001100010000000,4,4,4,0,0
45200,1011000010010000,5,3,5,218,0
47108,1011100000000100,5,3,5,217,0
38544,1001011010010000,6,2,6,360,0
12300,0011000000001100,4,4,4,0,0
59671,1110100100010111,9,1,9,472,0
14344,0011100000001000,4,4,4,0,0
48128,1011110000000000,5,3,5,198,0
64561,1111110000110001,9,1,9,481,0
45696,1011001010000000,5,3,5,183,0
47140,1011100000100100,6,2,6,349,0
12840,0011001000101000,5,3,5,180,0
12433,0011000010010001,5,3,5,178,0
47104,1011100000000000,4,4,4,0,0
4672,0001001001000000,3,3,3,120,0
59651,1110100100000011,7,1,7,450,0
63492,1111100000000100,6,2,6,331,0
47488,1011100110000000,6,2,6,327,0
48200,1011110001001000,7,1,7,394,0
61568,1111000010000000,5,3,5,150,0
4096,0001000000000000,1,1,1,390,0
18688,0100100100000000,3,3,3,127,0
47704,1011101001011000,8,0,8,509,0
10240,0010100000000000,2,2,2,264,0
43008,1010100000000000,3,3,3,80,0
57344,1110000000000000,3,3,3,79,0
38912,1001100000000000,3,3,3,129,0
43586,1010101001000010,6,2,6,289,0
34848,1000100000100000,3,3,3,128,0
14984,0011101010001000,6,2,6,290,0
35588,1000101100000100,5,3,5,136,0
64001,1111101000000001,7,1,7,407,0
52928,1100111011000000,7,1,7,417,0
45060,1011000000000100,4,4,4,0,0
31848,0111110001101000,8,0,8,492,0
6440,0001100100101000,5,3,5,141,0
45314,1011000100000010,5,3,5,142,0
48129,1011110000000001,6,2,6,307,0
41993,1010010000001001,5,3,5,144,0
40540,1001111001011100,9,1,9,485,0
63497,1111100000001001,7,1,7,430,0
57812,1110000111010100,8,0,8,489,0
40981,1010000000010101,5,3,5,148,0
47360,1011100100000000,5,3,5,149,0
6208,0001100001000000,3,3,3,125,0
32257,0111111000000001,7,1,7,441,0
44058,1010110000011010,7,1,7,444,0
46480,1011010110010000,7,1,7,460,0
6789,0001101010000101,6,2,6,319,0
14603,0011100100001011,7,1,7,467,0
10308,0010100001000100,4,4,4,0,0
39178,1001100100001010,6,2,6,324,0
41478,1010001000000110,5,3,5,158,0
37907,1001010000010011,6,2,6,325,0
36356,1000111000000100,5,3,5,160,0
38912,1001100000000000,3,3,3,123,0
61640,1111000011001000,7,1,7,463,0
12612,0011000101000100,5,3,5,163,0
38916,1001100000000100,4,4,4,0,0
13480,0011010010101000,6,2,6,333,0
55308,1101100000001100,6,2,6,337,0
46096,1011010000010000,5,3,5,167,0
61568,1111000010000000,5,3,5,168,0
38994,1001100001010010,6,2,6,340,0
47112,1011100000001000,5,3,5,170,0
46213,1011010010000101,7,1,7,451,0
45072,1011000000010000,4,4,4,0,0
2048,0000100000000000,1,1,1,392,0
15112,0011101100001000,6,2,6,341,0
55760,1101100111010000,8,0,8,501,0
61569,1111000010000001,6,2,6,345,0
14410,0011100001001010,6,2,6,346,0
10308,0010100001000100,4,4,4,0,0
55307,1101100000001011,7,1,7,440,0
43010,1010100000000010,4,4,4,0,0
30720,0111100000000000,4,4,4,0,0
17943,0100011000010111,7,1,7,438,0
12928,0011001010000000,4,4,4,0,0
28698,0111000000011010,6,2,6,351,0
51332,1100100010000100,5,3,5,185,0
15554,0011110011000010,7,1,7,433,0
47106,1011100000000010,5,3,5,187,0
45440,1011000110000000,5,3,5,188,0
39153,1001100011110001,8,0,8,488,0
35840,1000110000000000,3,3,3,114,0
63506,1111100000010010,7,1,7,419,0
41489,1010001000010001,5,3,5,192,0
64052,1111101000110100,9,1,9,479,0
47361,1011100100000001,6,2,6,363,0
33680,1000001110010000,5,3,5,195,0
2112,0000100001000000,2,2,2,271,0
16416,0100000000100000,2,2,2,270,0
7168,0001110000000000,3,3,3,113,0
36256,1000110110100000,6,2,6,370,0
58984,1110011001101000,8,0,8,503,0
43272,1010100100001000,5,3,5,201,0
48914,1011111100010010,9,1,9,476,0
8448,0010000100000000,2,2,2,269,0
14496,0011100010100000,5,3,5,203,0
49356,1100000011001100,6,2,6,373,0
39985,1001110000110001,7,1,7,400,0
14352,0011100000010000,4,4,4,0,0
2636,0000101001001100,5,3,5,208,0
45112,1011000000111000,6,2,6,374,0
4608,0001001000000000,2,2,2,268,0
34945,1000100010000001,4,4,4,0,0
28740,0111000001000100,5,3,5,212,0
27683,0110110000100011,7,1,7,423,0
59173,1110011100100101,9,1,9,482,0
2416,0000100101110000,5,3,5,215,0
6144,0001100000000000,2,2,2,267,0
20486,0101000000000110,4,4,4,0,0
47104,1011100000000000,4,4,4,0,0
47104,1011100000000000,4,4,4,0,0
59396,1110100000000100,5,3,5,220,0
55300,1101100000000100,5,3,5,221,0
36005,1000110010100101,7,1,7,397,0
53972,1101001011010100,8,0,8,507,0
62530,1111010001000010,7,1,7,406,0
25600,0110010000000000,3,3,3,102,0
47104,1011100000000000,4,4,4,0,0
34440,1000011010001000,5,3,5,227,0
38912,1001100000000000,3,3,3,100,0
2194,0000100010010010,4,4,4,0,0
14336,0011100000000000,3,3,3,98,0
15408,0011110000110000,6,2,6,369,0
63488,1111100000000000,5,3,5,232,0
39112,1001100011001000,6,2,6,368,0
40994,1010000000100010,4,4,4,0,0
47521,1011100110100001,8,0,8,497,0
63797,1111100100110101,10,2,10,385,0
10432,0010100011000000,4,4,4,0,0
47139,1011100000100011,7,1,7,424,0
11,0000000000001011,3,3,3,95,0
10650,0010100110011010,7,1,7,425,0
39168,1001100100000000,4,4,4,0,0
55604,1101100100110100,8,0,8,490,0
