generation,index,bitmask,num_features,accuracy,time,rank,crowding_distance
0,40500,1001111000110100,8,0,8,428,0
0,15456,0011110001100000,6,2,6,166,0
0,10330,0010100001011010,6,2,6,163,0
0,18483,0100100000110011,6,2,6,242,0
0,55301,1101100000000101,6,2,6,240,0
0,28687,0111000000001111,7,1,7,289,0
0,26628,0110100000000100,4,4,4,0,0
0,12291,0011000000000011,4,4,4,0,0
0,64192,1111101011000000,8,0,8,505,0
0,27776,0110110010000000,5,3,5,76,0
0,44087,1010110000110111,9,1,9,394,0
0,8240,0010000000110000,3,3,3,50,0
0,5732,0001011001100100,6,2,6,234,0
0,47181,1011100001001101,8,0,8,502,0
0,31332,0111101001100100,8,0,8,498,0
0,11334,0010110001000110,6,2,6,232,0
0,3721,0000111010001001,6,2,6,230,0
0,45133,1011000001001101,7,1,7,360,0
0,31758,0111110000001110,8,0,8,494,0
0,54092,1101001101001100,8,0,8,493,0
0,522,0000001000001010,3,3,3,48,0
0,29228,0111001000101100,7,1,7,288,0
0,65297,1111111100010001,10,2,10,281,0
0,60801,1110110110000001,8,0,8,485,0
0,14628,0011100100100100,6,2,6,226,0
0,11777,0010111000000001,5,3,5,113,0
0,3432,0000110101101000,6,2,6,225,0
0,46480,1011010110010000,7,1,7,292,0
0,55400,1101100001101000,7,1,7,306,0
0,47106,1011100000000010,5,3,5,102,0
0,34985,1000100010101001,6,2,6,221,0
0,37389,1001001000001101,6,2,6,218,0
0,14225,0011011110010001,8,0,8,479,0
0,39184,1001100100010000,5,3,5,94,0
0,33216,1000000111000000,4,4,4,0,0
0,47873,1011101100000001,7,1,7,315,0
0,24587,0110000000001011,5,3,5,88,0
0,45450,1011000110001010,7,1,7,317,0
0,37832,1001001111001000,7,1,7,325,0
0,48131,1011110000000011,7,1,7,326,0
0,46150,1011010001000110,7,1,7,328,0
0,168,0000000010101000,3,3,3,41,0
0,1134,0000010001101110,6,2,6,216,0
0,24166,0101111001100110,9,1,9,403,0
0,45312,1011000100000000,4,4,4,0,0
0,46257,1011010010110001,8,0,8,469,0
0,28064,0110110110100000,7,1,7,283,0
0,56489,1101110010101001,9,1,9,392,0
0,10401,0010100010100001,5,3,5,79,0
0,45751,1011001010110111,10,2,10,269,0
0,45192,1011000010001000,5,3,5,78,0
0,6471,0001100101000111,7,1,7,350,0
0,32356,0111111001100100,9,1,9,381,0
0,39873,1001101111000001,8,0,8,455,0
0,33889,1000010001100001,5,3,5,72,0
0,8417,0010000011100001,5,3,5,70,0
0,48263,1011110010000111,9,1,9,379,0
0,36416,1000111001000000,5,3,5,66,0
0,49189,1100000000100101,5,3,5,127,0
0,15107,0011101100000011,7,1,7,368,0
0,47674,1011101000111010,9,1,9,378,0
0,60558,1110110010001110,9,1,9,375,0
0,27265,0110101010000001,6,2,6,203,0
0,48882,1011111011110010,11,3,11,142,0
0,53010,1100111100010010,8,0,8,446,0
0,62784,1111010101000000,7,1,7,362,0
0,31476,0111101011110100,10,2,10,256,0
0,59654,1110100100000110,7,1,7,342,0
0,45705,1011001010001001,7,1,7,301,0
0,31042,0111100101000010,7,1,7,300,0
0,55681,1101100110000001,7,1,7,296,0
0,43058,1010100000110010,6,2,6,197,0
0,61953,1111001000000001,6,2,6,194,0
0,43143,1010100010000111,7,1,7,339,0
0,48707,1011111001000011,9,1,9,426,0
0,43017,1010100000001001,5,3,5,63,0
0,3194,0000110001111010,7,1,7,354,0
0,43807,1010101100011111,10,2,10,272,0
0,45856,1011001100100000,6,2,6,190,0
0,1217,0000010011000001,4,4,4,0,0
0,47168,1011100001000000,5,3,5,80,0
0,15906,0011111000100010,7,1,7,290,0
0,47476,1011100101110100,9,1,9,420,0
0,2819,0000101100000011,5,3,5,83,0
0,60240,1110101101010000,8,0,8,429,0
0,34880,1000100001000000,3,3,3,45,0
0,8987,0010001100011011,7,1,7,302,0
0,23810,0101110100000010,6,2,6,187,0
0,61750,1111000100110110,9,1,9,412,0
0,45365,1011000100110101,8,0,8,435,0
0,47954,1011101101010010,9,1,9,407,0
0,58052,1110001011000100,7,1,7,320,0
0,16647,0100000100000111,5,3,5,92,0
0,12875,0011001001001011,7,1,7,334,0
0,8228,0010000000100100,3,3,3,43,0
0,4163,0001000001000011,4,4,4,0,0
0,62346,1111001110001010,9,1,9,399,0
0,11785,0010111000001001,6,2,6,182,0
0,39340,1001100110101100,8,0,8,437,0
0,23969,0101110110100001,8,0,8,441,0
0,6473,0001100101001001,6,2,6,180,0
0,43558,1010101000100110,7,1,7,349,0
0,63503,1111100000001111,9,1,9,390,0
0,24590,0110000000001110,5,3,5,103,0
0,10741,0010100111110101,9,1,9,387,0
0,62014,1111001000111110,10,2,10,258,0
0,31930,0111110010111010,10,2,10,260,0
0,65285,1111111100000101,10,2,10,263,0
0,47657,1011101000101001,8,0,8,427,0
0,63220,1111011011110100,11,3,11,133,0
0,4628,0001001000010100,4,4,4,0,0
0,2888,0000101101001000,5,3,5,111,0
0,21818,0101010100111010,8,0,8,447,0
0,40767,1001111100111111,12,4,12,37,0
0,47305,1011100011001001,8,0,8,448,0
0,19136,0100101011000000,5,3,5,115,0
0,27657,0110110000001001,6,2,6,171,0
0,8774,0010001001000110,5,3,5,117,0
0,52006,1100101100100110,8,0,8,450,0
0,65318,1111111100100110,11,3,11,131,0
0,13312,0011010000000000,3,3,3,47,0
0,22867,0101100101010011,8,0,8,452,0
0,44682,1010111010001010,8,0,8,453,0
0,14368,0011100000100000,4,4,4,0,0
0,45568,1011001000000000,4,4,4,0,0
0,10773,0010101000010101,6,2,6,148,0
0,18594,0100100010100010,5,3,5,58,0
0,60692,1110110100010100,8,0,8,456,0
0,10433,0010100011000001,5,3,5,59,0
0,32650,0111111110001010,10,2,10,266,0
0,47173,1011100001000101,7,1,7,361,0
0,45883,1011001100111011,10,2,10,267,0
0,51060,1100011101110100,9,1,9,384,0
0,39436,1001101000001100,6,2,6,157,0
0,21007,0101001000001111,7,1,7,358,0
0,44689,1010111010010001,8,0,8,457,0
0,35584,1000101100000000,4,4,4,0,0
0,2568,0000101000001000,3,3,3,53,0
0,24645,0110000001000101,5,3,5,75,0
0,32769,1000000000000001,2,2,2,145,0
0,33700,1000001110100100,6,2,6,156,0
0,25252,0110001010100100,6,2,6,155,0
0,13925,0011011001100101,8,0,8,458,0
0,49948,1100001100011100,7,1,7,353,0
0,39578,1001101010011010,8,0,8,460,0
0,61452,1111000000001100,6,2,6,152,0
0,27149,0110101000001101,7,1,7,347,0
0,64580,1111110001000100,8,0,8,464,0
0,13636,0011010101000100,6,2,6,249,0
0,2064,0000100000010000,2,2,2,147,0
0,51459,1100100100000011,6,2,6,150,0
0,9248,0010010000100000,3,3,3,56,0
0,33809,1000010000010001,4,4,4,0,0
0,54799,1101011000001111,9,1,9,398,0
0,1043,0000010000010011,4,4,4,0,0
0,55825,1101101000010001,7,1,7,341,0
0,48914,1011111100010010,9,1,9,400,0
0,42915,1010011110100011,9,1,9,402,0
0,21620,0101010001110100,7,1,7,333,0
0,38034,1001010010010010,6,2,6,159,0
0,27016,0110100110001000,6,2,6,160,0
0,49561,1100000110011001,7,1,7,332,0
0,47620,1011101000000100,6,2,6,162,0
0,10576,0010100101010000,5,3,5,126,0
0,35892,1000110000110100,6,2,6,164,0
0,6467,0001100101000011,6,2,6,165,0
0,43181,1010100010101101,8,0,8,471,0
0,26452,0110011101010100,8,0,8,473,0
0,5209,0001010001011001,6,2,6,168,0
0,45208,1011000010011000,6,2,6,169,0
0,45614,1011001000101110,8,0,8,475,0
0,43716,1010101011000100,7,1,7,324,0
0,16331,0011111111001011,11,3,11,132,0
0,39244,1001100101001100,7,1,7,323,0
0,35553,1000101011100001,7,1,7,322,0
0,36866,1001000000000010,3,3,3,44,0
0,47819,1011101011001011,10,2,10,276,0
0,31315,0111101001010011,9,1,9,406,0
0,8528,0010000101010000,4,4,4,0,0
0,41456,1010000111110000,7,1,7,312,0
0,2134,0000100001010110,5,3,5,100,0
0,32563,0111111100110011,11,3,11,134,0
0,10117,0010011110000101,7,1,7,309,0
0,40456,1001111000001000,6,2,6,183,0
0,43276,1010100100001100,6,2,6,184,0
0,27121,0110100111110001,9,1,9,409,0
0,31182,0111100111001110,10,2,10,279,0
0,34888,1000100001001000,4,4,4,0,0
0,43136,1010100010000000,4,4,4,0,0
0,47462,1011100101100110,9,1,9,413,0
0,3092,0000110000010100,4,4,4,0,0
0,40113,1001110010110001,8,0,8,481,0
0,16520,0100000010001000,3,3,3,52,0
0,40401,1001110111010001,9,1,9,417,0
0,10768,0010101000010000,4,4,4,0,0
0,43650,1010101010000010,6,2,6,195,0
0,21070,0101001001001110,7,1,7,299,0
0,52804,1100111001000100,7,1,7,298,0
0,35694,1000101101101110,9,1,9,421,0
0,9379,0010010010100011,6,2,6,199,0
0,37453,1001001001001101,7,1,7,294,0
0,34994,1000100010110010,6,2,6,201,0
0,37329,1001000111010001,7,1,7,293,0
0,46684,1011011001011100,9,1,9,423,0
0,38925,1001100000001101,6,2,6,204,0
0,20593,0101000001110001,6,2,6,205,0
0,63585,1111100001100001,8,0,8,486,0
0,11668,0010110110010100,7,1,7,287,0
0,65002,1111110111101010,12,4,12,36,0
0,24604,0110000000011100,5,3,5,77,0
0,43080,1010100001001000,5,3,5,84,0
0,7692,0001111000001100,6,2,6,211,0
0,64001,1111101000000001,7,1,7,286,0
0,24970,0110000110001010,6,2,6,213,0
0,6540,0001100110001100,6,2,6,214,0
0,11688,0010110110101000,7,1,7,285,0
0,46770,1011011010110010,9,1,9,386,0
0,4193,0001000001100001,4,4,4,0,0
0,63488,1111100000000000,5,3,5,101,0
0,21014,0101001000010110,6,2,6,219,0
0,37414,1001001000100110,6,2,6,220,0
0,59788,1110100110001100,8,0,8,488,0
0,60418,1110110000000010,6,2,6,222,0
0,45826,1011001100000010,6,2,6,223,0
0,46352,1011010100010000,6,2,6,224,0
0,34829,1000100000001101,5,3,5,112,0
0,8608,0010000110100000,4,4,4,0,0
0,6724,0001101001000100,5,3,5,120,0
0,37000,1001000010001000,4,4,4,0,0
0,6285,0001100010001101,6,2,6,229,0
0,12816,0011001000010000,4,4,4,0,0
0,40781,1001111101001101,10,2,10,251,0
0,4207,0001000001101111,7,1,7,305,0
0,31787,0111110000101011,9,1,9,408,0
0,26801,0110100010110001,7,1,7,318,0
0,61544,1111000001101000,7,1,7,337,0
0,42628,1010011010000100,6,2,6,236,0
0,50378,1100010011001010,7,1,7,338,0
0,13901,0011011001001101,8,0,8,495,0
0,56436,1101110001110100,9,1,9,391,0
0,27907,0110110100000011,7,1,7,367,0
0,43661,1010101010001101,8,0,8,501,0
0,64494,1111101111101110,13,3,13,143,0
0,43817,1010101100101001,8,0,8,503,0
0,47298,1011100011000010,7,1,7,359,0
0,14467,0011100010000011,6,2,6,245,0
0,22752,0101100011100000,6,2,6,246,0
0,35027,1000100011010011,7,1,7,356,0
0,38193,1001010100110001,7,1,7,345,0
0,43559,1010101000100111,8,0,8,504,0
0,59392,1110100000000000,4,4,4,0,0
0,62285,1111001101001101,10,2,10,262,0
0,57891,1110001000100011,7,1,7,291,0
0,42127,1010010010001111,8,0,8,507,0
0,38323,1001010110110011,9,1,9,396,0
0,28812,0111000010001100,6,2,6,149,0
0,61449,1111000000001001,6,2,6,248,0
0,29353,0111001010101001,8,0,8,509,0
0,39252,1001100101010100,7,1,7,355,0
0,45106,1011000000110010,6,2,6,247,0
0,30785,0111100001000001,6,2,6,244,0
0,10946,0010101011000010,6,2,6,243,0
0,43060,1010100000110100,6,2,6,241,0
0,45972,1011001110010100,8,0,8,500,0
0,18432,0100100000000000,2,2,2,146,0
0,31957,0111110011010101,10,2,10,265,0
0,47558,1011100111000110,9,1,9,382,0
0,31553,0111101101000001,8,0,8,497,0
0,20296,0100111101001000,7,1,7,352,0
0,11288,0010110000011000,5,3,5,71,0
0,4096,0001000000000000,1,1,1,282,0
0,27776,0110110010000000,5,3,5,74,0
0,8064,0001111110000000,6,2,6,237,0
0,51337,1100100010001001,6,2,6,235,0
0,14622,0011100100011110,8,0,8,491,0
0,47937,1011101101000001,8,0,8,490,0
0,47104,1011100000000000,4,4,4,0,0
0,5504,0001010110000000,4,4,4,0,0
0,28172,0110111000001100,7,1,7,313,0
0,61504,1111000001000000,5,3,5,114,0
