run_index,config_index,repeat_index,seed,exit_code,swarm,swarm_effective,iters,w_start,w_end,c1,c2,vmax,mut_start,mut_end,fitness,accuracy,n_features,time,out_prefix,best_csv
0,0,0,42,0,,162,50,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0000,output/pso_grid/best_run_0000.csv
1,0,1,43,0,,162,50,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0001,output/pso_grid/best_run_0001.csv
2,0,2,44,0,,162,50,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0002,output/pso_grid/best_run_0002.csv
3,0,3,45,0,,162,50,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0003,output/pso_grid/best_run_0003.csv
4,0,4,46,0,,162,50,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0004,output/pso_grid/best_run_0004.csv
5,1,0,42,0,,162,50,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0005,output/pso_grid/best_run_0005.csv
6,1,1,43,0,,162,50,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0006,output/pso_grid/best_run_0006.csv
7,1,2,44,0,,162,50,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0007,output/pso_grid/best_run_0007.csv
8,1,3,45,0,,162,50,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0008,output/pso_grid/best_run_0008.csv
9,1,4,46,0,,162,50,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0009,output/pso_grid/best_run_0009.csv
10,2,0,42,0,,162,50,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0010,output/pso_grid/best_run_0010.csv
11,2,1,43,0,,162,50,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0011,output/pso_grid/best_run_0011.csv
12,2,2,44,0,,162,50,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0012,output/pso_grid/best_run_0012.csv
13,2,3,45,0,,162,50,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0013,output/pso_grid/best_run_0013.csv
14,2,4,46,0,,162,50,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0014,output/pso_grid/best_run_0014.csv
15,3,0,42,0,,162,50,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0015,output/pso_grid/best_run_0015.csv
16,3,1,43,0,,162,50,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0016,output/pso_grid/best_run_0016.csv
17,3,2,44,0,,162,50,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0017,output/pso_grid/best_run_0017.csv
18,3,3,45,0,,162,50,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0018,output/pso_grid/best_run_0018.csv
19,3,4,46,0,,162,50,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0019,output/pso_grid/best_run_0019.csv
20,4,0,42,0,,162,100,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0020,output/pso_grid/best_run_0020.csv
21,4,1,43,0,,162,100,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0021,output/pso_grid/best_run_0021.csv
22,4,2,44,0,,162,100,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0022,output/pso_grid/best_run_0022.csv
23,4,3,45,0,,162,100,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0023,output/pso_grid/best_run_0023.csv
24,4,4,46,0,,162,100,0.7,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0024,output/pso_grid/best_run_0024.csv
25,5,0,42,0,,162,100,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0025,output/pso_grid/best_run_0025.csv
26,5,1,43,0,,162,100,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0026,output/pso_grid/best_run_0026.csv
27,5,2,44,0,,162,100,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0027,output/pso_grid/best_run_0027.csv
28,5,3,45,0,,162,100,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0028,output/pso_grid/best_run_0028.csv
29,5,4,46,0,,162,100,0.7,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0029,output/pso_grid/best_run_0029.csv
30,6,0,42,0,,162,100,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0030,output/pso_grid/best_run_0030.csv
31,6,1,43,0,,162,100,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0031,output/pso_grid/best_run_0031.csv
32,6,2,44,0,,162,100,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0032,output/pso_grid/best_run_0032.csv
33,6,3,45,0,,162,100,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0033,output/pso_grid/best_run_0033.csv
34,6,4,46,0,,162,100,0.9,0.3,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0034,output/pso_grid/best_run_0034.csv
35,7,0,42,0,,162,100,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0035,output/pso_grid/best_run_0035.csv
36,7,1,43,0,,162,100,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0036,output/pso_grid/best_run_0036.csv
37,7,2,44,0,,162,100,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0037,output/pso_grid/best_run_0037.csv
38,7,3,45,0,,162,100,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0038,output/pso_grid/best_run_0038.csv
39,7,4,46,0,,162,100,0.9,0.4,,,,,,0.933418,0.95564,2,0.0887217,output/pso_grid/run_0039,output/pso_grid/best_run_0039.csv
