index,bitmask,num_features,mean_accuracy,mean_time
1,000000000000001,1,0.64652423,0.2393065486
2,000000000000010,1,0.6117665824,0.2448664177
3,000000000000011,2,0.6879783142,0.200700412
4,000000000000100,1,0.5471938718,0.02443436225
5,000000000000101,2,0.6827168334,0.09254396555
6,000000000000110,2,0.6411033105,0.08977362944
7,000000000000111,3,0.6742665786,0.3298702626
8,000000000001000,1,0.5323660662,0.02490369469
9,000000000001001,2,0.6817602068,0.08630546741
10,000000000001010,2,0.6092155669,0.06904599897
11,000000000001011,3,0.6709183641,0.4220393253
12,000000000001100,2,0.5339604504,0.03298879068
13,000000000001101,3,0.6658163201,0.1338291301
14,000000000001110,3,0.6187818889,0.1620001518
15,000000000001111,4,0.6757015269,0.2776327403
16,000000000010000,1,0.7338966914,0.04907344177
17,000000000010001,2,0.7657844331,0.1248878716
18,000000000010010,2,0.720982153,0.1343643945
19,000000000010011,3,0.7458545938,0.4802503306
20,000000000010100,2,0.7391581684,0.04705256596
21,000000000010101,3,0.7641900461,0.1837890665
22,000000000010110,3,0.7166773081,0.2054124004
23,000000000010111,4,0.7536670901,0.2550554532
24,000000000011000,2,0.7391581684,0.01902857257
25,000000000011001,3,0.7629145347,0.1678648901
26,000000000011010,3,0.7055165935,0.289995634
27,000000000011011,4,0.7495216802,0.3137687389
28,000000000011100,3,0.7353316341,0.05925317138
29,000000000011101,4,0.759566322,0.168568501
30,000000000011110,4,0.7101403177,0.1840434424
31,000000000011111,5,0.7530293334,0.2695653089
32,000000000100000,1,0.7326211818,0.01004734793
33,000000000100001,2,0.770089278,0.07740269764
34,000000000100010,2,0.7330994941,0.1556431677
35,000000000100011,3,0.7523915824,0.2886922127
36,000000000100100,2,0.7291135248,0.04610606737
37,000000000100101,3,0.7680165749,0.1113354003
38,000000000100110,3,0.7122130133,0.1214220311
39,000000000100111,4,0.7594068851,0.2199939035
40,000000000101000,2,0.7281568963,0.01131022008
41,000000000101001,3,0.7713647895,0.1403366094
42,000000000101010,3,0.7126913369,0.1420658438
43,000000000101011,4,0.7573341802,0.3409907911
44,000000000101100,3,0.7350127604,0.01740814708
45,000000000101101,4,0.7590880077,0.1354028306
46,000000000101110,4,0.7169961799,0.149963347
47,000000000101111,5,0.7594068833,0.2071092529
48,000000000110000,2,0.7248086836,0.04418359755
49,000000000110001,3,0.7672193833,0.1551130436
50,000000000110010,3,0.7220982257,0.1589593589
51,000000000110011,4,0.7713647876,0.2356697479
52,000000000110100,3,0.7244898025,0.04804926811
53,000000000110101,4,0.7747130003,0.1317131661
54,000000000110110,4,0.7358099539,0.1415381301
55,000000000110111,5,0.7759885117,0.3396381927
56,000000000111000,3,0.7195472009,0.02857963589
57,000000000111001,4,0.7613201477,0.1094370332
58,000000000111010,4,0.7267219462,0.1367739088
59,000000000111011,5,0.7664221898,0.2069206554
60,000000000111100,4,0.7197066415,0.05395198113
61,000000000111101,5,0.7661033086,0.1220652536
62,000000000111110,5,0.7276785821,0.1329622297
63,000000000111111,6,0.7635522913,0.2675554443
64,000000001000000,1,0.8627232201,0.1400898285
65,000000001000001,2,0.862882657,0.08004063612
66,000000001000010,2,0.8662308715,0.09138961672
67,000000001000011,3,0.864477044,0.2937341365
68,000000001000100,2,0.8630420957,0.0349591194
69,000000001000101,3,0.8542729672,0.1253976047
70,000000001000110,3,0.8708545938,0.1398549215
71,000000001000111,4,0.8724489789,0.2006783364
72,000000001001000,2,0.865433678,0.01148478602
73,000000001001001,3,0.8518813848,0.1056826683
74,000000001001010,3,0.8520408273,0.1232839532
75,000000001001011,4,0.8667091876,0.2110315366
76,000000001001100,3,0.8552295994,0.0436157909
77,000000001001101,4,0.8568239864,0.1112651019
78,000000001001110,4,0.8576211818,0.1477227815
79,000000001001111,5,0.8665497452,0.1886374038
80,000000001010000,2,0.8624043409,0.01978679741
81,000000001010001,3,0.8507653121,0.1935732034
82,000000001010010,3,0.8553890381,0.1605154732
83,000000001010011,4,0.8689413294,0.2164989971
84,000000001010100,3,0.8585778102,0.04865317349
