generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,4.33905,112,6.54505,0.969512,0.889482,0.954062,56,10,0.969512
1,3.87583,79,5.71749,0.969665,0.889482,0.954702,39,21,0.969665
2,3.25975,61,5.00209,0.968293,0.889482,0.956693,25,55,0.968293
3,2.41121,45,4.0315,0.968293,0.865396,0.955661,20,101,0.968293
4,1.97111,32,3.32211,0.966311,0.865396,0.957303,13,81,0.966311
5,2.12568,33,3.29659,0.968445,0.865396,0.959636,18,57,0.968445
6,1.79417,27,2.6271,0.968293,0.865396,0.957607,13,112,0.968293
7,0.824271,25,2.03899,0.968293,0.90122,0.954059,11,148,0.968293
8,0.515025,17,1.54129,0.965396,0.90122,0.95396,11,162,0.965396
9,0.514724,19,1.57545,0.966311,0.90122,0.954704,10,160,0.966311
10,0.352663,14,1.16739,0.966311,0.90122,0.955007,7,171,0.966311
11,0.401055,14,1.26972,0.965396,0.90122,0.953951,7,171,0.965396
12,0.410352,14,1.27777,0.968293,0.90122,0.954931,8,169,0.968293
13,0.410955,15,1.31374,0.965396,0.88003,0.953598,10,166,0.965396
14,0.44804,17,1.29474,0.965396,0.90122,0.95422,7,172,0.965396
15,0.478543,18,1.39954,0.968293,0.90122,0.954695,10,172,0.968293
16,0.324673,12,1.1065,0.965396,0.90122,0.954951,9,176,0.965396
17,0.6,20,1.74725,0.968293,0.90122,0.953686,11,171,0.968293
18,0.525327,17,1.59346,0.965396,0.90122,0.954784,10,161,0.965396
19,0.487035,16,1.49492,0.968293,0.90122,0.955037,6,178,0.968293
20,0.540905,19,1.58823,0.965396,0.90122,0.954283,10,166,0.965396
21,0.372864,15,1.20676,0.965396,0.875762,0.954,8,173,0.965396
22,0.477337,17,1.4638,0.965396,0.90122,0.954411,8,168,0.965396
23,0.429045,17,1.34079,0.965396,0.90122,0.954809,8,171,0.965396
24,0.353266,14,1.18494,0.965396,0.90122,0.954596,8,172,0.965396
25,0.505729,17,1.49697,0.965396,0.90122,0.954678,10,164,0.965396
26,0.486834,18,1.47217,0.965396,0.865396,0.954309,11,165,0.965396
27,0.352663,14,1.168,0.965396,0.90122,0.955367,8,176,0.965396
28,0.457337,20,1.39179,0.966311,0.90122,0.954292,11,169,0.966311
29,0.514824,18,1.56382,0.965396,0.90122,0.955197,10,164,0.965396
30,0.39005,13,1.25897,0.965396,0.90122,0.95419,8,167,0.965396
31,0.370553,13,1.22453,0.965396,0.90122,0.955268,9,169,0.965396
32,0.371759,15,1.19921,0.966311,0.90122,0.95469,7,171,0.966311
33,0.560905,20,1.64416,0.965396,0.90122,0.954295,9,158,0.965396
34,0.411256,15,1.28495,0.965396,0.90122,0.954162,9,170,0.965396
35,0.381457,16,1.19319,0.966311,0.90122,0.954681,10,170,0.966311
36,0.314673,12,1.08824,0.965396,0.90122,0.954606,9,173,0.965396
37,0.548693,17,1.6108,0.966311,0.90122,0.95564,10,160,0.966311
38,0.409849,13,1.30295,0.965396,0.90122,0.955129,9,170,0.965396
39,0.430452,19,1.31893,0.966311,0.90122,0.954745,8,172,0.966311
40,0.457638,16,1.45515,0.966311,0.90122,0.954607,8,162,0.966311
41,0.325075,13,1.12028,0.965396,0.90122,0.954307,8,175,0.965396
42,0.532513,19,1.52624,0.965396,0.90122,0.953441,10,159,0.965396
43,0.389347,13,1.21893,0.965396,0.90122,0.954671,9,174,0.965396
44,0.477337,20,1.38934,0.966311,0.90122,0.954647,11,168,0.966311
45,0.487437,17,1.51692,0.968293,0.90122,0.954964,8,162,0.968293
46,0.381156,14,1.20859,0.96128,0.875762,0.953758,6,172,0.96128
47,0.46603,17,1.36527,0.968293,0.90122,0.954842,8,173,0.968293
48,0.383166,14,1.25565,0.968293,0.90122,0.954567,9,169,0.968293
49,0.362462,13,1.17888,0.965396,0.90122,0.955133,8,172,0.965396
