generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,7.19447,138,6.89511,0.878508,0.629305,0.844613,116,6,0.878508
1,6.67653,111,6.42777,0.878508,0.568878,0.857214,77,9,0.878508
2,6.11663,106,6.19726,0.879145,0.601244,0.859404,75,14,0.879145
3,5.42196,88,5.69151,0.881378,0.618782,0.86372,57,24,0.881378
4,4.69698,80,5.47311,0.879145,0.702328,0.865464,52,41,0.879145
5,3.4405,74,4.94716,0.879145,0.547194,0.861333,43,59,0.879145
6,2.90935,66,4.87307,0.883769,0.53396,0.863451,34,53,0.883769
7,2.46508,53,4.50248,0.878189,0.547194,0.859951,29,48,0.878189
8,2.05548,52,4.12907,0.878189,0.547194,0.858952,35,84,0.878189
9,1.27543,37,2.96227,0.878189,0.529018,0.857447,21,107,0.878189
10,0.889246,32,2.33876,0.878029,0.532366,0.859041,19,140,0.878029
11,0.836181,32,2.20991,0.872927,0.530931,0.86119,21,149,0.872927
12,0.821156,32,2.3042,0.871173,0.581633,0.859753,18,149,0.871173
13,1.12889,39,2.78235,0.871173,0.547194,0.85809,22,143,0.871173
14,1.00251,29,2.72263,0.871173,0.531728,0.86016,16,150,0.871173
15,1.20467,38,2.91461,0.871173,0.600287,0.862042,21,162,0.871173
16,0.970603,31,2.28029,0.871333,0.581633,0.863552,18,179,0.871333
17,0.736382,28,2.04131,0.875319,0.598055,0.864705,14,187,0.875319
18,0.806583,30,2.25172,0.871333,0.598055,0.861521,17,184,0.871333
19,0.939548,36,2.41478,0.871173,0.598055,0.857199,20,176,0.871173
20,0.874472,33,2.27488,0.871173,0.598055,0.859146,18,176,0.871173
21,0.965628,39,2.46611,0.871173,0.598055,0.860902,23,174,0.871173
22,0.750905,31,2.077,0.871173,0.598055,0.863011,16,183,0.871173
23,0.684422,29,1.79599,0.871173,0.589764,0.861925,15,183,0.871173
24,0.682312,28,1.94293,0.871173,0.580517,0.86313,15,186,0.871173
25,0.834774,34,2.28071,0.871173,0.598055,0.862238,20,179,0.871173
26,0.954925,37,2.59751,0.871173,0.598055,0.85969,22,175,0.871173
27,0.862161,37,2.38437,0.871173,0.586575,0.86311,20,177,0.871173
28,0.730503,29,1.84719,0.871173,0.581633,0.860719,18,182,0.871173
29,0.587739,30,1.66122,0.871173,0.598055,0.863595,15,184,0.871173
30,0.569045,28,1.68877,0.873565,0.586575,0.863398,10,188,0.873565
31,0.882161,37,2.39977,0.871173,0.581633,0.860869,22,174,0.871173
32,0.615427,24,1.88389,0.871173,0.592315,0.864036,10,190,0.871173
33,0.665327,26,2.01541,0.871173,0.592315,0.863261,13,188,0.871173
34,0.645729,31,1.86333,0.871173,0.633929,0.86678,18,182,0.871173
35,0.760402,30,2.11799,0.871173,0.581633,0.86315,16,184,0.871173
36,0.627638,25,1.88105,0.871173,0.598055,0.860861,11,189,0.871173
37,0.815377,33,2.11409,0.871173,0.601563,0.865181,19,180,0.871173
38,0.559246,24,1.54442,0.871173,0.598055,0.862771,12,188,0.871173
39,0.723216,30,2.08723,0.871173,0.598055,0.864587,14,185,0.871173
40,0.776583,30,2.09823,0.871173,0.598055,0.865615,17,182,0.871173
41,0.588543,25,1.78088,0.871173,0.598055,0.864351,12,188,0.871173
42,0.846583,32,2.40501,0.871173,0.598055,0.857958,18,180,0.871173
43,0.690603,29,2.027,0.871173,0.592315,0.860006,14,185,0.871173
44,0.799598,33,2.25244,0.871173,0.598055,0.863371,18,182,0.871173
45,0.751206,32,2.10164,0.871173,0.598055,0.863772,18,182,0.871173
46,0.673417,27,1.91948,0.871173,0.598055,0.856888,14,186,0.871173
47,0.607136,26,1.83606,0.871173,0.598055,0.863543,12,188,0.871173
48,0.789598,31,2.20418,0.871173,0.601244,0.865306,15,183,0.871173
49,0.815779,32,2.21322,0.871173,0.598055,0.857824,15,178,0.871173
