generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,7.51658,150,7.05498,0.946094,0.606589,0.86285,122,5,0.946094
1,6.74337,122,6.57861,0.946094,0.77337,0.901567,87,14,0.946094
2,5.81854,107,6.13937,0.949589,0.781802,0.918149,79,20,0.949589
3,5.02874,94,5.70839,0.949589,0.842536,0.928253,60,39,0.949589
4,4.43588,82,5.11035,0.95188,0.843776,0.931144,53,41,0.95188
5,3.83191,71,4.6909,0.95188,0.848578,0.932187,41,64,0.95188
6,2.91784,60,4.42141,0.95188,0.852984,0.934615,40,89,0.95188
7,2.57126,56,4.47028,0.956333,0.890099,0.937031,37,50,0.956333
8,2.33312,63,4.52265,0.95188,0.831156,0.938766,37,115,0.95188
9,1.70784,49,3.61162,0.956333,0.876333,0.943606,29,94,0.956333
10,1.3397,40,3.05901,0.956333,0.881458,0.944444,25,82,0.956333
11,1.18869,43,2.86791,0.956333,0.884099,0.944155,24,121,0.956333
12,0.941608,38,2.50437,0.952453,0.752859,0.941928,19,141,0.952453
13,0.778794,29,2.12518,0.952453,0.825062,0.942224,20,147,0.952453
14,0.810201,34,2.34927,0.952453,0.862125,0.941294,19,142,0.952453
15,0.693819,30,2.08459,0.952453,0.88151,0.943265,16,151,0.952453
16,0.733417,31,2.08541,0.952453,0.840073,0.942171,20,149,0.952453
17,0.770201,37,2.11571,0.952453,0.885984,0.941529,20,154,0.952453
18,1.05623,48,2.68958,0.95188,0.814776,0.938586,22,142,0.95188
19,0.865678,37,2.44283,0.952453,0.860427,0.941639,18,143,0.952453
20,0.826784,32,2.24928,0.952453,0.839016,0.941457,22,147,0.952453
21,0.742814,28,2.10704,0.952453,0.831078,0.942411,21,149,0.952453
22,0.521055,23,1.71794,0.95188,0.893094,0.943649,14,163,0.95188
23,0.745025,33,2.20713,0.952453,0.876333,0.942281,19,148,0.952453
24,0.838693,38,2.34355,0.952453,0.786344,0.941178,15,146,0.952453
25,0.979347,38,2.49511,0.956333,0.856875,0.940824,22,169,0.956333
26,0.884372,35,2.2114,0.956333,0.815797,0.94169,19,174,0.956333
27,0.999146,36,2.73433,0.956333,0.868229,0.940095,21,173,0.956333
28,0.829095,32,2.35451,0.956333,0.845323,0.942175,14,177,0.956333
29,0.949146,40,2.66925,0.952453,0.879885,0.940706,18,137,0.952453
30,0.864774,33,2.35155,0.952453,0.830609,0.942452,20,146,0.952453
31,0.733618,31,2.1315,0.956333,0.881458,0.942906,16,179,0.956333
32,0.740804,33,2.14723,0.952453,0.860443,0.943139,18,149,0.952453
33,0.84608,32,2.43511,0.952453,0.879594,0.94216,15,142,0.952453
34,0.903367,37,2.43661,0.952453,0.876333,0.940483,21,142,0.952453
35,0.838392,36,2.26518,0.952453,0.814776,0.941205,19,150,0.952453
36,0.71392,31,2.0267,0.956333,0.884094,0.943215,14,178,0.956333
37,0.792111,37,2.27568,0.952453,0.829307,0.941427,18,148,0.952453
38,0.781608,35,2.27439,0.952453,0.814776,0.941979,18,147,0.952453
39,0.550553,27,1.62254,0.952453,0.828443,0.943672,16,165,0.952453
40,0.705025,30,2.04468,0.95188,0.841141,0.941166,19,149,0.95188
41,0.866181,37,2.41583,0.952453,0.855859,0.940845,22,144,0.952453
42,0.703719,30,2.07214,0.952453,0.868229,0.94275,20,151,0.952453
43,0.800503,36,2.10509,0.952453,0.874547,0.941144,24,153,0.952453
44,0.856382,34,2.35732,0.952453,0.881474,0.941484,20,143,0.952453
45,0.696332,31,2.14955,0.952453,0.884099,0.942524,18,148,0.952453
46,0.872362,33,2.45867,0.956333,0.876333,0.941996,17,163,0.956333
47,0.777688,33,2.17786,0.952453,0.837719,0.94203,17,153,0.952453
48,0.703116,30,2.0869,0.952453,0.88837,0.942879,15,156,0.952453
49,0.89407,38,2.35755,0.956333,0.868229,0.94191,23,168,0.956333
