generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,7.95528,142,6.95134,4,0,2.49,119,5,4
1,7.69809,109,6.34874,4,1,3.15,80,13,4
2,7.60146,97,6.04996,4,1,3.415,61,29,4
3,7.48603,89,5.66824,4,1,3.66,51,37,4
4,6.77543,76,5.06106,4,1,3.725,52,60,4
5,5.01518,64,4.17979,4,1,3.74,40,90,4
6,4.32724,47,3.66354,4,2,3.84,27,96,4
7,4.52618,56,4.03706,4,2,3.785,27,92,4
8,4.40106,61,4.156,4,2,3.755,36,88,4
9,4.21085,57,4.07144,4,2,3.83,36,89,4
10,3.95558,60,4.01611,4,1,3.76,36,99,4
11,3.57347,58,3.93696,4,1,3.77,37,102,4
12,3.46568,58,3.68886,4,1,3.785,36,111,4
13,3.26839,52,3.72602,4,2,3.805,30,113,4
14,3.25095,63,3.92523,4,2,3.73,35,114,4
15,2.96894,58,3.62612,4,1,3.77,35,115,4
16,3.03116,53,3.57616,4,1,3.77,31,120,4
17,2.99995,58,3.66985,4,2,3.775,34,121,4
18,3.12503,70,3.94596,4,2,3.75,43,116,4
19,3.48397,64,4.18944,4,1,3.765,40,104,4
20,3.71392,61,4.33524,4,2,3.775,40,83,4
21,3.74769,65,4.37298,4,1,3.735,37,83,4
22,3.42216,50,3.75899,4,2,3.805,28,94,4
23,3.87191,63,4.24828,4,2,3.755,33,79,4
24,3.69719,61,4.15697,4,2,3.76,39,86,4
25,4.00302,65,4.36082,4,1,3.73,38,74,4
26,3.96317,60,4.14865,4,1,3.745,34,76,4
27,4.06281,67,4.65859,4,2,3.71,37,74,4
28,3.99251,65,4.51418,4,2,3.735,31,75,4
29,3.86256,71,4.5945,4,1,3.735,37,78,4
30,4.04698,55,4.38623,4,1,3.755,31,71,4
31,4.18307,61,4.61452,4,2,3.755,31,62,4
32,4.04417,56,4.51832,4,2,3.795,32,66,4
33,4.32106,66,4.91557,4,1,3.705,34,59,4
34,4.34839,66,4.75148,4,1,3.785,39,57,4
35,4.64568,70,4.86917,4,2,3.755,46,53,4
36,4.34025,62,4.53584,4,2,3.795,33,69,4
37,3.96819,60,4.49293,4,2,3.765,36,80,4
38,3.98588,58,4.29803,4,1,3.815,34,82,4
39,3.74201,59,4.48452,4,2,3.81,37,76,4
40,4.0995,64,4.56513,4,2,3.78,37,73,4
41,4.02402,67,4.48594,4,1,3.73,37,85,4
42,3.64075,53,4.10584,4,2,3.775,25,88,4
43,3.59995,58,4.00124,4,1,3.755,33,98,4
44,3.9908,61,4.33986,4,2,3.715,32,82,4
45,4.17226,61,4.406,4,2,3.73,29,76,4
46,4.07849,57,4.16803,4,1,3.72,31,77,4
47,3.96573,44,3.8836,4,2,3.79,22,75,4
48,3.88523,53,4.12474,4,1,3.78,26,79,4
49,4.09472,58,4.31604,4,2,3.755,29,70,4
