index,accuracy,penalty
0,0,0
1,1,0.00625
2,1,0.00625
3,2,0.0125
4,1,0.00625
5,2,0.0125
6,2,0.0125
7,3,0.01875
8,1,0.00625
9,2,0.0125
10,2,0.0125
11,3,0.01875
12,2,0.0125
13,3,0.01875
14,3,0.01875
15,4,0.025
16,1,0.00625
17,2,0.0125
18,2,0.0125
19,3,0.01875
20,2,0.0125
21,3,0.01875
22,3,0.01875
23,4,0.025
24,2,0.0125
25,3,0.01875
26,3,0.01875
27,4,0.025
28,3,0.01875
29,4,0.025
30,4,0.025
31,3,0.03125
32,1,0.00625
33,2,0.0125
34,2,0.0125
35,3,0.01875
36,2,0.0125
37,3,0.01875
38,3,0.01875
39,4,0.025
40,2,0.0125
41,3,0.01875
42,3,0.01875
43,4,0.025
44,3,0.01875
45,4,0.025
46,4,0.025
47,3,0.03125
48,2,0.0125
49,3,0.01875
50,3,0.01875
51,4,0.025
52,3,0.01875
53,4,0.025
54,4,0.025
55,3,0.03125
56,3,0.01875
57,4,0.025
58,4,0.025
59,3,0.03125
60,4,0.025
61,3,0.03125
62,3,0.03125
63,2,0.0375
64,1,0.00625
65,2,0.0125
66,2,0.0125
67,3,0.01875
68,2,0.0125
69,3,0.01875
70,3,0.01875
71,4,0.025
72,2,0.0125
73,3,0.01875
74,3,0.01875
75,4,0.025
76,3,0.01875
77,4,0.025
78,4,0.025
79,3,0.03125
80,2,0.0125
81,3,0.01875
82,3,0.01875
83,4,0.025
84,3,0.01875
85,4,0.025
86,4,0.025
87,3,0.03125
88,3,0.01875
89,4,0.025
90,4,0.025
91,3,0.03125
92,4,0.025
93,3,0.03125
94,3,0.03125
95,2,0.0375
96,2,0.0125
97,3,0.01875
98,3,0.01875
99,4,0.025
100,3,0.01875
101,4,0.025
102,4,0.025
103,3,0.03125
104,3,0.01875
105,4,0.025
106,4,0.025
107,3,0.03125
108,4,0.025
109,3,0.03125
110,3,0.03125
111,2,0.0375
112,3,0.01875
113,4,0.025
114,4,0.025
115,3,0.03125
116,4,0.025
117,3,0.03125
118,3,0.03125
119,2,0.0375
120,4,0.025
121,3,0.03125
122,3,0.03125
123,2,0.0375
124,3,0.03125
125,2,0.0375
126,2,0.0375
127,1,0.04375
128,1,0.00625
129,2,0.0125
130,2,0.0125
131,3,0.01875
132,2,0.0125
133,3,0.01875
134,3,0.01875
135,4,0.025
136,2,0.0125
137,3,0.01875
138,3,0.01875
139,4,0.025
140,3,0.01875
141,4,0.025
142,4,0.025
143,3,0.03125
144,2,0.0125
145,3,0.01875
146,3,0.01875
147,4,0.025
148,3,0.01875
149,4,0.025
150,4,0.025
151,3,0.03125
152,3,0.01875
153,4,0.025
154,4,0.025
155,3,0.03125
156,4,0.025
157,3,0.03125
158,3,0.03125
159,2,0.0375
160,2,0.0125
161,3,0.01875
162,3,0.01875
163,4,0.025
164,3,0.01875
165,4,0.025
166,4,0.025
167,3,0.03125
168,3,0.01875
169,4,0.025
170,4,0.025
171,3,0.03125
172,4,0.025
173,3,0.03125
174,3,0.03125
175,2,0.0375
176,3,0.01875
177,4,0.025
178,4,0.025
179,3,0.03125
180,4,0.025
181,3,0.03125
182,3,0.03125
183,2,0.0375
184,4,0.025
185,3,0.03125
186,3,0.03125
187,2,0.0375
188,3,0.03125
189,2,0.0375
190,2,0.0375
191,1,0.04375
192,2,0.0125
193,3,0.01875
194,3,0.01875
195,4,0.025
196,3,0.01875
197,4,0.025
198,4,0.025
199,3,0.03125
200,3,0.01875
201,4,0.025
202,4,0.025
203,3,0.03125
204,4,0.025
205,3,0.03125
206,3,0.03125
207,2,0.0375
208,3,0.01875
209,4,0.025
210,4,0.025
211,3,0.03125
212,4,0.025
213,3,0.03125
214,3,0.03125
215,2,0.0375
216,4,0.025
217,3,0.03125
218,3,0.03125
219,2,0.0375
220,3,0.03125
221,2,0.0375
222,2,0.0375
223,1,0.04375
224,3,0.01875
225,4,0.025
226,4,0.025
227,3,0.03125
228,4,0.025
229,3,0.03125
230,3,0.03125
231,2,0.0375
232,4,0.025
233,3,0.03125
234,3,0.03125
235,2,0.0375
236,3,0.03125
237,2,0.0375
238,2,0.0375
239,1,0.04375
240,4,0.025
241,3,0.03125
242,3,0.03125
243,2,0.0375
244,3,0.03125
245,2,0.0375
246,2,0.0375
247,1,0.04375
248,3,0.03125
249,2,0.0375
250,2,0.0375
251,1,0.04375
252,2,0.0375
253,1,0.04375
254,1,0.04375
255,0,0.05
256,1,0.00625
257,2,0.0125
258,2,0.0125
259,3,0.01875
260,2,0.0125
261,3,0.01875
262,3,0.01875
263,4,0.025
264,2,0.0125
265,3,0.01875
266,3,0.01875
267,4,0.025
268,3,0.01875
269,4,0.025
270,4,0.025
271,3,0.03125
272,2,0.0125
273,3,0.01875
274,3,0.01875
275,4,0.025
276,3,0.01875
277,4,0.025
278,4,0.025
279,3,0.03125
280,3,0.01875
281,4,0.025
282,4,0.025
283,3,0.03125
284,4,0.025
