run_index,seed,algorithm,case,bitstring,n_features,accuracy,second_objective,scalar_fitness
0,1000000,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
0,1000000,pso,breast,010001000,2,0.95564,0.0887217,0.933418
0,1000000,sga,breast,100001010,3,0.966311,0.0333333,0.932978
0,1000000,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
0,1000000,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
0,1000000,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
0,1000000,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
0,1000000,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
0,1000000,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
0,1000000,nsga2,triangle,1010000000010100,4,4,4,3.975
0,1000000,pso,triangle,0001010000011000,4,4,4,3.975
0,1000000,sga,triangle,0001001100010000,4,4,0.025,3.975
1,1000001,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
1,1000001,pso,breast,010001000,2,0.95564,0.0887217,0.933418
1,1000001,sga,breast,010001000,2,0.95564,0.0222222,0.933418
1,1000001,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
1,1000001,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
1,1000001,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
1,1000001,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
1,1000001,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
1,1000001,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
1,1000001,nsga2,triangle,0100010100000001,4,4,4,3.975
1,1000001,pso,triangle,1000100011000000,4,4,4,3.975
1,1000001,sga,triangle,0010000010010001,4,4,0.025,3.975
2,1000002,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
2,1000002,pso,breast,010001000,2,0.95564,0.0887217,0.933418
2,1000002,sga,breast,100001010,3,0.966311,0.0333333,0.932978
2,1000002,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
2,1000002,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
2,1000002,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
2,1000002,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
2,1000002,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
2,1000002,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
2,1000002,nsga2,triangle,0010010010100000,4,4,4,3.975
2,1000002,pso,triangle,0100100000010001,4,4,4,3.975
2,1000002,sga,triangle,0000010100000101,4,4,0.025,3.975
3,1000003,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
3,1000003,pso,breast,010001000,2,0.95564,0.0887217,0.933418
3,1000003,sga,breast,010001000,2,0.95564,0.0222222,0.933418
3,1000003,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
3,1000003,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
3,1000003,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
3,1000003,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
3,1000003,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
3,1000003,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
3,1000003,nsga2,triangle,0011010100000000,4,4,4,3.975
3,1000003,pso,triangle,1000000000010011,4,4,4,3.975
3,1000003,sga,triangle,0011000010010000,4,4,0.025,3.975
4,1000004,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
4,1000004,pso,breast,010001000,2,0.95564,0.0887217,0.933418
4,1000004,sga,breast,010001000,2,0.95564,0.0222222,0.933418
4,1000004,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
4,1000004,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
4,1000004,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
4,1000004,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
4,1000004,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
4,1000004,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
4,1000004,nsga2,triangle,0000001110000010,4,4,4,3.975
4,1000004,pso,triangle,0000000001000111,4,4,4,3.975
4,1000004,sga,triangle,1000001001000001,4,4,0.025,3.975
5,1000005,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
5,1000005,pso,breast,010001000,2,0.95564,0.0887217,0.933418
5,1000005,sga,breast,010001000,2,0.95564,0.0222222,0.933418
5,1000005,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
5,1000005,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
5,1000005,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
5,1000005,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
5,1000005,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
5,1000005,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
5,1000005,nsga2,triangle,0000001010001100,4,4,4,3.975
5,1000005,pso,triangle,0001000010011000,4,4,4,3.975
5,1000005,sga,triangle,0000011000010100,4,4,0.025,3.975
6,1000006,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
6,1000006,pso,breast,010001000,2,0.95564,0.0887217,0.933418
6,1000006,sga,breast,010001000,2,0.95564,0.0222222,0.933418
6,1000006,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
6,1000006,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
6,1000006,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
6,1000006,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
6,1000006,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
6,1000006,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
6,1000006,nsga2,triangle,0010001100000010,4,4,4,3.975
6,1000006,pso,triangle,0000100010011000,4,4,4,3.975
6,1000006,sga,triangle,0110000010001000,4,4,0.025,3.975
7,1000007,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
7,1000007,pso,breast,010001000,2,0.95564,0.0887217,0.933418
7,1000007,sga,breast,100001010,3,0.966311,0.0333333,0.932978
7,1000007,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
