algorithm,case,n_runs,mean_scalar_fitness,std_scalar_fitness,mean_accuracy
nsga2,breast,100,0.892344,0.0,0.970122
pso,breast,100,0.933418,0.0,0.95564
sga,breast,100,0.9333872,0.00011283025598952243,0.9563869700000001
nsga2,credit,100,0.83065343,0.003483623627906581,0.89125343
pso,credit,100,0.85784,0.0,0.871173
sga,credit,100,0.85755608,0.0010400898143036444,0.87228908
nsga2,letter,100,0.887583,0.0,0.9563330000000001
pso,letter,100,0.891094,0.0,0.947344
sga,letter,100,0.891094,0.0,0.947344
nsga2,triangle,100,3.975,0.0,4.0
pso,triangle,100,3.975,0.0,4.0
sga,triangle,100,3.975,0.0,4.0
