generation,num_fronts,pareto_size,best_accuracy,min_time,mean_accuracy,mean_time,hypervolume,mutation_rate,diversity
0,7,40,4,3,2.326171875,7.490234375,41.2,0.0625,0.9765625
1,5,103,4,2,2.912109375,6.419921875,39.8,0.0625,0.93359375
2,5,227,4,1,3.333984375,4.978515625,41.8,0.0625,0.890625
3,5,476,4,1,3.478515625,3.994140625,42.8,0.0625,0.8359375
4,5,512,4,1,3.416015625,3.416015625,7.6,0.0625,0.8125
5,5,512,4,1,3.404296875,3.404296875,7.6,0.0625,0.8125
6,5,512,4,1,3.400390625,3.400390625,7.6,0.0625,0.810546875
7,5,512,4,1,3.396484375,3.396484375,7.6,0.0625,0.806640625
8,5,512,4,1,3.396484375,3.396484375,7.6,0.0625,0.806640625
9,5,512,4,1,3.3984375,3.3984375,7.6,0.0625,0.80859375
10,5,512,4,1,3.400390625,3.400390625,7.6,0.0625,0.810546875
11,5,512,4,1,3.400390625,3.400390625,7.6,0.0625,0.810546875
12,5,512,4,1,3.39453125,3.39453125,7.6,0.0625,0.8046875
13,5,512,4,1,3.400390625,3.400390625,7.6,0.0625,0.806640625
14,5,512,4,1,3.390625,3.390625,7.6,0.0625,0.80078125
15,5,512,4,1,3.384765625,3.384765625,7.6,0.0625,0.798828125
16,5,512,4,1,3.37890625,3.37890625,7.6,0.0625,0.798828125
17,5,512,4,1,3.380859375,3.380859375,7.6,0.0625,0.794921875
18,5,512,4,1,3.384765625,3.384765625,7.6,0.0625,0.796875
19,5,512,4,1,3.37109375,3.37109375,7.6,0.0625,0.79296875
20,5,512,4,1,3.365234375,3.365234375,7.6,0.0625,0.796875
21,5,512,4,1,3.357421875,3.357421875,7.6,0.0625,0.796875
22,5,512,4,1,3.36328125,3.36328125,7.6,0.0625,0.80078125
23,5,512,4,1,3.35546875,3.35546875,7.6,0.0625,0.796875
24,5,512,4,1,3.34765625,3.34765625,7.6,0.0625,0.794921875
25,5,512,4,1,3.3515625,3.3515625,7.6,0.0625,0.796875
26,5,512,4,1,3.33984375,3.33984375,7.6,0.0625,0.794921875
27,5,512,4,1,3.3359375,3.3359375,7.6,0.0625,0.787109375
28,5,512,4,1,3.330078125,3.330078125,7.6,0.0625,0.7890625
29,5,512,4,1,3.33203125,3.33203125,7.6,0.0625,0.783203125
30,5,512,4,1,3.328125,3.328125,7.6,0.0625,0.787109375
31,4,512,4,1,3.330078125,3.330078125,7.6,0.0625,0.787109375
32,5,512,4,1,3.322265625,3.322265625,7.6,0.0625,0.787109375
33,5,512,4,1,3.3203125,3.3203125,7.6,0.0625,0.78125
34,5,512,4,1,3.32421875,3.32421875,7.6,0.0625,0.783203125
35,5,512,4,1,3.328125,3.328125,7.6,0.0625,0.78125
36,5,512,4,1,3.318359375,3.318359375,7.6,0.0625,0.783203125
37,5,512,4,1,3.322265625,3.322265625,7.6,0.0625,0.78515625
38,5,512,4,1,3.322265625,3.322265625,7.6,0.0625,0.783203125
39,5,512,4,1,3.322265625,3.322265625,7.6,0.0625,0.78515625
40,5,512,4,1,3.310546875,3.310546875,7.6,0.0625,0.78515625
41,5,512,4,1,3.302734375,3.302734375,7.6,0.0625,0.78515625
42,5,512,4,1,3.302734375,3.302734375,7.6,0.0625,0.787109375
43,5,512,4,1,3.30078125,3.30078125,7.6,0.0625,0.787109375
44,5,512,4,1,3.29296875,3.29296875,7.6,0.0625,0.783203125
45,5,512,4,1,3.29296875,3.29296875,7.6,0.0625,0.78125
46,5,512,4,1,3.294921875,3.294921875,7.6,0.0625,0.783203125
47,5,512,4,1,3.298828125,3.298828125,7.6,0.0625,0.78125
48,5,512,4,1,3.294921875,3.294921875,7.6,0.0625,0.783203125
49,5,512,4,1,3.28515625,3.28515625,7.6,0.0625,0.779296875
50,5,512,4,1,3.287109375,3.287109375,7.6,0.0625,0.779296875
51,5,512,4,1,3.29296875,3.29296875,7.6,0.0625,0.77734375
52,5,512,4,1,3.291015625,3.291015625,7.6,0.0625,0.775390625
53,5,512,4,1,3.29296875,3.29296875,7.6,0.0625,0.779296875
54,5,512,4,1,3.294921875,3.294921875,7.6,0.0625,0.77734375
55,5,512,4,1,3.2890625,3.2890625,7.6,0.0625,0.779296875
56,5,512,4,1,3.296875,3.296875,7.6,0.0625,0.78125
57,5,512,4,1,3.3046875,3.3046875,7.6,0.0625,0.779296875
58,5,512,4,1,3.310546875,3.310546875,7.6,0.0625,0.77734375
59,5,512,4,1,3.3046875,3.3046875,7.6,0.0625,0.77734375
60,5,512,4,1,3.294921875,3.294921875,7.6,0.0625,0.77734375
61,5,512,4,1,3.3046875,3.3046875,7.6,0.0625,0.775390625
62,5,512,4,1,3.298828125,3.298828125,7.6,0.0625,0.77734375
63,5,512,4,1,3.294921875,3.294921875,7.6,0.0625,0.779296875
64,5,512,4,1,3.296875,3.296875,7.6,0.0625,0.77734375
65,5,512,4,1,3.29296875,3.29296875,7.6,0.0625,0.779296875
66,5,512,4,1,3.2890625,3.2890625,7.6,0.0625,0.779296875
67,5,512,4,1,3.28125,3.28125,7.6,0.0625,0.77734375
68,5,512,4,1,3.2734375,3.2734375,7.6,0.0625,0.77734375
69,5,512,4,1,3.263671875,3.263671875,7.6,0.0625,0.77734375
70,4,512,4,1,3.26171875,3.26171875,7.6,0.0625,0.78125
71,5,512,4,1,3.259765625,3.259765625,7.6,0.0625,0.779296875
72,5,512,4,1,3.2578125,3.2578125,7.6,0.0625,0.779296875
73,5,512,4,1,3.25,3.25,7.6,0.0625,0.779296875
74,5,512,4,1,3.244140625,3.244140625,7.6,0.0625,0.775390625
75,5,512,4,1,3.232421875,3.232421875,7.6,0.0625,0.7734375
76,5,512,4,1,3.232421875,3.232421875,7.6,0.0625,0.771484375
77,5,512,4,1,3.220703125,3.220703125,7.6,0.0625,0.771484375
78,5,512,4,1,3.220703125,3.220703125,7.6,0.0625,0.7734375
79,5,512,4,1,3.21875,3.21875,7.6,0.0625,0.7734375
80,5,512,4,1,3.2109375,3.2109375,7.6,0.0625,0.76953125
81,5,512,4,1,3.21875,3.21875,7.6,0.0625,0.7734375
82,5,512,4,1,3.203125,3.203125,7.6,0.0625,0.767578125
83,5,512,4,1,3.19921875,3.19921875,7.6,0.0625,0.76953125
84,5,512,4,1,3.197265625,3.197265625,7.6,0.0625,0.771484375
85,5,512,4,1,3.1875,3.1875,7.6,0.0625,0.765625
86,5,512,4,1,3.1953125,3.1953125,7.6,0.0625,0.7734375
87,5,512,4,1,3.197265625,3.197265625,7.6,0.0625,0.767578125
88,5,512,4,1,3.203125,3.203125,7.6,0.0625,0.771484375
89,5,512,4,1,3.197265625,3.197265625,7.6,0.0625,0.771484375
90,5,512,4,1,3.19140625,3.19140625,7.6,0.0625,0.767578125
91,5,512,4,1,3.18359375,3.18359375,7.6,0.0625,0.765625
92,5,512,4,1,3.1875,3.1875,7.6,0.0625,0.767578125
93,5,512,4,1,3.173828125,3.173828125,7.6,0.0625,0.767578125
94,5,512,4,1,3.1796875,3.1796875,7.6,0.0625,0.763671875
95,5,512,4,1,3.16796875,3.16796875,7.6,0.0625,0.763671875
96,5,512,4,1,3.16015625,3.16015625,7.6,0.0625,0.763671875
97,5,512,4,1,3.15625,3.15625,7.6,0.0625,0.7578125
