index,bitmask,num_features,accuracy,time,rank,crowding_distance
16,0000000000010000,1,1,1,0,0
7172,0001110000000100,4,4,4,0,0
32,0000000000100000,1,1,1,0,0
10,0000000000001010,2,2,2,0,0
35072,1000100100000000,3,3,3,0,0
49680,1100001000010000,4,4,4,0,0
8320,0010000010000000,2,2,2,0,0
8324,0010000010000100,3,3,3,0,0
4,0000000000000100,1,1,1,0,0
128,0000000010000000,1,1,1,0,0
9729,0010011000000001,4,4,4,0,0
33313,1000001000100001,4,4,4,0,0
41224,1010000100001000,4,4,4,0,0
2314,0000100100001010,4,4,4,0,0
24706,0110000010000010,4,4,4,0,0
105,0000000001101001,4,4,4,0,0
2316,0000100100001100,4,4,4,0,0
49666,1100001000000010,4,4,4,0,0
34817,1000100000000001,3,3,3,0,0
225,0000000011100001,4,4,4,0,0
34840,1000100000011000,4,4,4,0,0
9228,0010010000001100,4,4,4,0,0
6216,0001100001001000,4,4,4,0,0
4632,0001001000011000,4,4,4,0,0
24706,0110000010000010,4,4,4,0,0
2061,0000100000001101,4,4,4,0,0
12292,0011000000000100,3,3,3,0,0
41224,1010000100001000,4,4,4,0,0
37376,1001001000000000,3,3,3,0,0
49155,1100000000000011,4,4,4,0,0
8388,0010000011000100,4,4,4,0,0
256,0000000100000000,1,1,1,0,0
512,0000001000000000,1,1,1,0,0
9233,0010010000010001,4,4,4,0,0
8832,0010001010000000,3,3,3,0,0
2060,0000100000001100,3,3,3,0,0
16536,0100000010011000,4,4,4,0,0
38016,1001010010000000,4,4,4,0,0
1092,0000010001000100,3,3,3,0,0
19460,0100110000000100,4,4,4,0,0
49168,1100000000010000,3,3,3,0,0
12294,0011000000000110,4,4,4,0,0
1030,0000010000000110,3,3,3,0,0
18816,0100100110000000,4,4,4,0,0
40968,1010000000001000,3,3,3,0,0
8992,0010001100100000,4,4,4,0,0
8256,0010000001000000,2,2,2,0,0.6666666667
154,0000000010011010,4,4,4,0,0
49408,1100000100000000,3,3,3,0,0
49152,1100000000000000,2,2,2,0,0
3089,0000110000010001,4,4,4,0,0
33184,1000000110100000,4,4,4,0,0
9280,0010010001000000,3,3,3,0,0
3090,0000110000010010,4,4,4,0,0
4620,0001001000001100,4,4,4,0,0
515,0000001000000011,3,3,3,0,0
16640,0100000100000000,2,2,2,0,0
17028,0100001010000100,4,4,4,0,0
8961,0010001100000001,4,4,4,0,0
28688,0111000000010000,4,4,4,0,0
8457,0010000100001001,4,4,4,0,0
1313,0000010100100001,4,4,4,0,0
3137,0000110001000001,4,4,4,0,0
8,0000000000001000,1,1,1,0,0
4736,0001001010000000,3,3,3,0,0
524,0000001000001100,3,3,3,0,0
8737,0010001000100001,4,4,4,0,0
32772,1000000000000100,2,2,2,0,0
17441,0100010000100001,4,4,4,0,0
32920,1000000010011000,4,4,4,0,0
9352,0010010010001000,4,4,4,0,0
32768,1000000000000000,1,1,1,0,0
8206,0010000000001110,4,4,4,0,0
9473,0010010100000001,4,4,4,0,0
49666,1100001000000010,4,4,4,0,0
37889,1001010000000001,4,4,4,0,0
8460,0010000100001100,4,4,4,0,0
35074,1000100100000010,4,4,4,0,0
3108,0000110000100100,4,4,4,0,0
34848,1000100000100000,3,3,3,0,0
16449,0100000001000001,3,3,3,0,0
19520,0100110001000000,4,4,4,0,0
1040,0000010000010000,2,2,2,0,0
41224,1010000100001000,4,4,4,0,0
8225,0010000000100001,3,3,3,0,0
17417,0100010000001001,4,4,4,0,0
291,0000000100100011,4,4,4,0,0
1188,0000010010100100,4,4,4,0,0
19072,0100101010000000,4,4,4,0,0
35844,1000110000000100,4,4,4,0,0
