generation,index,bitmask,num_features,accuracy,time,rank,crowding_distance
0,16930,0100001000100010,4,4,4,0,2
0,9280,0010010001000000,3,3,3,0,0
0,1042,0000010000010010,3,3,3,0,0
0,263,0000000100000111,4,4,4,0,0
0,9344,0010010010000000,3,3,3,0,0
0,20520,0101000000101000,4,4,4,0,0
0,306,0000000100110010,4,4,4,0,0
0,265,0000000100001001,3,3,3,0,0
0,9228,0010010000001100,4,4,4,0,0
0,57600,1110000100000000,4,4,4,0,0
0,9729,0010011000000001,4,4,4,0,0
0,33313,1000001000100001,4,4,4,0,inf
0,41224,1010000100001000,4,4,4,0,0
0,2314,0000100100001010,4,4,4,0,0
0,24706,0110000010000010,4,4,4,0,0
0,105,0000000001101001,4,4,4,0,0
0,2316,0000100100001100,4,4,4,0,0
0,49666,1100001000000010,4,4,4,0,0
0,34817,1000100000000001,3,3,3,0,inf
0,225,0000000011100001,4,4,4,0,0
0,34840,1000100000011000,4,4,4,0,0
0,9228,0010010000001100,4,4,4,0,0
0,6216,0001100001001000,4,4,4,0,0
0,4632,0001001000011000,4,4,4,0,0
0,24706,0110000010000010,4,4,4,0,0
0,2061,0000100000001101,4,4,4,0,0
0,12292,0011000000000100,3,3,3,0,2
0,41224,1010000100001000,4,4,4,0,0
0,37376,1001001000000000,3,3,3,0,0
0,49155,1100000000000011,4,4,4,0,0
0,4102,0001000000000110,3,3,3,0,0
0,8211,0010000000010011,4,4,4,0,0
0,41473,1010001000000001,4,4,4,0,0
0,9233,0010010000010001,4,4,4,0,0
0,8832,0010001010000000,3,3,3,0,0
0,2352,0000100100110000,4,4,4,0,0
0,16536,0100000010011000,4,4,4,0,0
0,38016,1001010010000000,4,4,4,0,0
0,1092,0000010001000100,3,3,3,0,0
0,19460,0100110000000100,4,4,4,0,0
0,16343,0011111111010111,12,4,12,1,2
0,24551,0101111111100111,12,4,12,1,0
0,43041,1010100000100001,5,3,5,1,0
0,50433,1100010100000001,5,3,5,1,0
0,49099,1011111111001011,12,4,12,1,0
0,5157,0001010000100101,5,3,5,1,0
0,25093,0110001000000101,5,3,5,1,0
0,33037,1000000100001101,5,3,5,1,0
0,35201,1000100110000001,5,3,5,1,0
0,41057,1010000001100001,5,3,5,1,0
0,44797,1010111011111101,12,4,12,1,0
0,18476,0100100000101100,5,3,5,1,0
0,26720,0110100001100000,5,3,5,1,0
0,4300,0001000011001100,5,3,5,1,0
0,56062,1101101011111110,12,4,12,1,0
0,49163,1100000000001011,5,3,5,1,0
0,17674,0100010100001010,5,3,5,1,0
0,5698,0001011001000010,5,3,5,1,0
0,37921,1001010000100001,5,3,5,1,0
0,61456,1111000000010000,5,3,5,1,0
0,48861,1011111011011101,12,4,12,1,0
0,3100,0000110000011100,5,3,5,1,0
0,9260,0010010000101100,5,3,5,1,0
0,32693,0111111110110101,12,4,12,1,0
0,737,0000001011100001,5,3,5,1,0
0,64871,1111110101100111,12,4,12,1,0
0,21552,0101010000110000,5,3,5,1,0
0,65085,1111111000111101,12,4,12,1,0
0,4305,0001000011010001,5,3,5,1,0
0,46559,1011010111011111,12,4,12,1,0
0,33890,1000010001100010,5,3,5,1,0
0,34060,1000010100001100,5,3,5,1,0
0,28932,0111000100000100,5,3,5,1,0
0,9353,0010010010001001,5,3,5,1,0
0,56447,1101110001111111,12,4,12,1,0
0,11780,0010111000000100,5,3,5,1,0
0,48128,1011110000000000,5,3,5,1,0
0,55806,1101100111111110,12,4,12,1,0
0,9290,0010010001001010,5,3,5,1,0
0,21376,0101001110000000,5,3,5,1,0
0,17176,0100001100011000,5,3,5,1,0
0,53440,1101000011000000,5,3,5,1,0
0,33172,1000000110010100,5,3,5,1,0
0,4147,0001000000110011,5,3,5,1,0
0,45046,1010111111110110,12,4,12,1,0
0,65307,1111111100011011,12,4,12,1,0
0,18824,0100100110001000,5,3,5,1,0
0,4664,0001001000111000,5,3,5,1,0
0,56127,1101101100111111,12,4,12,1,0
0,33811,1000010000010011,5,3,5,1,0
0,9230,0010010000001110,5,3,5,1,0
0,41520,1010001000110000,5,3,5,1,0
0,11524,0010110100000100,5,3,5,1,0
0,4425,0001000101001001,5,3,5,1,0
0,436,0000000110110100,5,3,5,1,0
0,9227,0010010000001011,5,3,5,1,0
0,57022,1101111010111110,12,4,12,1,0
0,16534,0100000010010110,5,3,5,1,0
0,32381,0111111001111101,12,4,12,1,0
0,37256,1001000110001000,5,3,5,1,0
0,55259,1101011111011011,12,4,12,1,0
0,9544,0010010101001000,5,3,5,1,0
0,56822,1101110111110110,12,4,12,1,0
0,28944,0111000100010000,5,3,5,1,2
0,2377,0000100101001001,5,3,5,1,inf
0,38895,1001011111101111,12,4,12,1,inf
0,26720,0110100001100000,5,3,5,1,0
0,2101,0000100000110101,5,3,5,1,0
0,2597,0000101000100101,5,3,5,1,0
0,61358,1110111110101110,12,4,12,1,0
0,4546,0001000111000010,5,3,5,1,0
0,20549,0101000001000101,5,3,5,1,0
0,57063,1101111011100111,12,4,12,1,0
0,63387,1111011110011011,12,4,12,1,0
0,12032,0010111100000000,5,3,5,1,0
0,41027,1010000001000011,5,3,5,1,0
0,16993,0100001001100001,5,3,5,1,0
0,16366,0011111111101110,12,4,12,1,0
0,20580,0101000001100100,5,3,5,1,0
0,48878,1011111011101110,12,4,12,1,0
0,43200,1010100011000000,5,3,5,1,0
0,48109,1011101111101101,12,4,12,1,0
0,17044,0100001010010100,5,3,5,1,0
0,60406,1110101111110110,12,4,12,1,0
0,16612,0100000011100100,5,3,5,1,0
0,11300,0010110000100100,5,3,5,1,0
0,20447,0100111111011111,12,4,12,1,0
0,24535,0101111111010111,12,4,12,1,0
0,7233,0001110001000001,5,3,5,1,0
0,24664,0110000001011000,5,3,5,1,0
0,8753,0010001000110001,5,3,5,1,0
0,20784,0101000100110000,5,3,5,1,0
0,55159,1101011101110111,12,4,12,1,0
0,48855,1011111011010111,12,4,12,1,0
0,37381,1001001000000101,5,3,5,1,0
0,43967,1010101110111111,12,4,12,1,0
0,427,0000000110101011,6,2,6,2,0
0,47862,1011101011110110,11,3,11,2,0
0,65354,1111111101001010,11,3,11,2,0
0,53255,1101000000000111,6,2,6,2,0
0,27127,0110100111110111,11,3,11,2,0
0,46830,1011011011101110,11,3,11,2,0
0,61116,1110111010111100,11,3,11,2,0
0,729,0000001011011001,6,2,6,2,0
0,49738,1100001001001010,6,2,6,2,0
0,54282,1101010000001010,6,2,6,2,0
0,21144,0101001010011000,6,2,6,2,0
0,50564,1100010110000100,6,2,6,2,0
0,38993,1001100001010001,6,2,6,2,0
0,26583,0110011111010111,11,3,11,2,0
0,33051,1000000100011011,6,2,6,2,0
0,44503,1010110111010111,11,3,11,2,0
0,61956,1111001000000100,6,2,6,2,0
0,238,0000000011101110,6,2,6,2,0
0,25440,0110001101100000,6,2,6,2,0
0,46718,1011011001111110,11,3,11,2,0
0,8676,0010000111100100,6,2,6,2,0
0,14888,0011101000101000,6,2,6,2,0
0,7436,0001110100001100,6,2,6,2,0
0,36116,1000110100010100,6,2,6,2,0
0,36114,1000110100010010,6,2,6,2,0
0,4175,0001000001001111,6,2,6,2,0
0,23570,0101110000010010,6,2,6,2,0
0,33385,1000001001101001,6,2,6,2,0
0,18785,0100100101100001,6,2,6,2,0
0,2284,0000100011101100,6,2,6,2,0
0,53826,1101001001000010,6,2,6,2,0
0,57052,1101111011011100,11,3,11,2,0
0,49663,1100000111111111,11,3,11,2,0
0,60959,1110111000011111,11,3,11,2,0
0,20470,0100111111110110,11,3,11,2,0
0,38779,1001011101111011,11,3,11,2,0
0,41200,1010000011110000,6,2,6,2,0
0,8550,0010000101100110,6,2,6,2,0
0,5329,0001010011010001,6,2,6,2,0
0,46074,1011001111111010,11,3,11,2,0
0,54296,1101010000011000,6,2,6,2,0
0,34323,1000011000010011,6,2,6,2,0
0,17745,0100010101010001,6,2,6,2,0
0,33187,1000000110100011,6,2,6,2,0
0,40187,1001110011111011,11,3,11,2,0
0,60282,1110101101111010,11,3,11,2,0
0,32590,0111111101001110,11,3,11,2,0
0,60727,1110110100110111,11,3,11,2,0
0,59195,1110011100111011,11,3,11,2,0
0,53203,1100111111010011,11,3,11,2,0
0,1206,0000010010110110,6,2,6,2,0
0,17990,0100011001000110,6,2,6,2,0
0,32716,0111111111001100,11,3,11,2,0
0,10420,0010100010110100,6,2,6,2,0
0,30706,0111011111110010,11,3,11,2,0
0,28602,0110111110111010,11,3,11,2,0
0,60666,1110110011111010,11,3,11,2,0
0,10444,0010100011001100,6,2,6,2,0
0,18210,0100011100100010,6,2,6,2,0
0,56510,1101110010111110,11,3,11,2,0
0,24379,0101111100111011,11,3,11,2,0
0,64410,1111101110011010,11,3,11,2,0
0,17052,0100001010011100,6,2,6,2,0
0,35218,1000100110010010,6,2,6,2,0
0,47362,1011100100000010,6,2,6,2,0
0,3432,0000110101101000,6,2,6,2,0
0,60317,1110101110011101,11,3,11,2,0
0,7776,0001111001100000,6,2,6,2,0
0,39956,1001110000010100,6,2,6,2,inf
0,21076,0101001001010100,6,2,6,2,0
0,19553,0100110001100001,6,2,6,2,0
0,8604,0010000110011100,6,2,6,2,0
0,19481,0100110000011001,6,2,6,2,0
0,12048,0010111100010000,6,2,6,2,0
0,8888,0010001010111000,6,2,6,2,0
0,20912,0101000110110000,6,2,6,2,0
0,13055,0011001011111111,11,3,11,2,0
0,32925,1000000010011101,6,2,6,2,0
0,33760,1000001111100000,6,2,6,2,0
0,17236,0100001101010100,6,2,6,2,0
0,3426,0000110101100010,6,2,6,2,0
0,19973,0100111000000101,6,2,6,2,0
0,16362,0011111111101010,11,3,11,2,0
0,57052,1101111011011100,11,3,11,2,0
0,44560,1010111000010000,6,2,6,2,0
0,1179,0000010010011011,6,2,6,2,0
0,41872,1010001110010000,6,2,6,2,0
0,826,0000001100111010,6,2,6,2,0
0,12408,0011000001111000,6,2,6,2,0
0,65329,1111111100110001,11,3,11,2,0
0,23744,0101110011000000,6,2,6,2,0
0,5300,0001010010110100,6,2,6,2,0
0,49986,1100001101000010,6,2,6,2,0
0,35589,1000101100000101,6,2,6,2,0
0,4532,0001000110110100,6,2,6,2,0
0,29250,0111001001000010,6,2,6,2,0
0,43344,1010100101010000,6,2,6,2,0
0,12996,0011001011000100,6,2,6,2,0
0,55313,1101100000010001,6,2,6,2,0
0,9880,0010011010011000,6,2,6,2,0
0,45616,1011001000110000,6,2,6,2,0
0,55207,1101011110100111,11,3,11,2,0
0,32318,0111111000111110,11,3,11,2,0
0,56818,1101110111110010,11,3,11,2,2
0,40413,1001110111011101,11,3,11,2,0
0,15425,0011110001000001,6,2,6,2,0
0,59401,1110100000001001,6,2,6,2,0
0,63837,1111100101011101,11,3,11,2,0
0,29825,0111010010000001,6,2,6,2,0
0,59584,1110100011000000,6,2,6,2,0
0,8403,0010000011010011,6,2,6,2,0
0,8167,0001111111100111,11,3,11,2,0
0,13953,0011011010000001,6,2,6,2,0
0,52158,1100101110111110,11,3,11,2,0
0,19841,0100110110000001,6,2,6,2,0
0,61037,1110111001101101,11,3,11,2,0
0,33744,1000001111010000,6,2,6,2,0
0,13337,0011010000011001,6,2,6,2,0
