landscape,crossover_rate,mutation_rate,crossover_points,runs,mean_accuracy,std_accuracy,best_accuracy,worst_accuracy
triangle,0.05,0.01,1,5,4,0,4,4
triangle,0.05,0.05,1,5,4,0,4,4
triangle,0.05,0.15,1,5,4,0,4,4
triangle,0.3,0.01,1,5,4,0,4,4
triangle,0.3,0.05,1,5,4,0,4,4
triangle,0.3,0.15,1,5,4,0,4,4
triangle,0.7,0.01,1,5,4,0,4,4
triangle,0.7,0.05,1,5,4,0,4,4
triangle,0.7,0.15,1,5,4,0,4,4
triangle,0.05,0.01,2,5,4,0,4,4
triangle,0.05,0.05,2,5,4,0,4,4
triangle,0.05,0.15,2,5,4,0,4,4
triangle,0.3,0.01,2,5,4,0,4,4
triangle,0.3,0.05,2,5,4,0,4,4
triangle,0.3,0.15,2,5,4,0,4,4
triangle,0.7,0.01,2,5,4,0,4,4
triangle,0.7,0.05,2,5,4,0,4,4
triangle,0.7,0.15,2,5,4,0,4,4
breast,0.05,0.01,1,5,0.966311,0,0.966311,0.966311
breast,0.05,0.05,1,5,0.966311,0,0.966311,0.966311
breast,0.05,0.15,1,5,0.966311,0,0.966311,0.966311
breast,0.3,0.01,1,5,0.966311,0,0.966311,0.966311
breast,0.3,0.05,1,5,0.966311,0,0.966311,0.966311
breast,0.3,0.15,1,5,0.966311,0,0.966311,0.966311
breast,0.7,0.01,1,5,0.96625,8.34983e-05,0.966311,0.966159
breast,0.7,0.05,1,5,0.966311,0,0.966311,0.966311
breast,0.7,0.15,1,5,0.966311,0,0.966311,0.966311
breast,0.05,0.01,2,5,0.96628,6.81761e-05,0.966311,0.966159
breast,0.05,0.05,2,5,0.966311,0,0.966311,0.966311
breast,0.05,0.15,2,5,0.966311,0,0.966311,0.966311
breast,0.3,0.01,2,5,0.96628,6.81761e-05,0.966311,0.966159
breast,0.3,0.05,2,5,0.966311,0,0.966311,0.966311
breast,0.3,0.15,2,5,0.966311,0,0.966311,0.966311
breast,0.7,0.01,2,5,0.966311,0,0.966311,0.966311
breast,0.7,0.05,2,5,0.966311,0,0.966311,0.966311
breast,0.7,0.15,2,5,0.966311,0,0.966311,0.966311
credit,0.05,0.01,1,5,0.881282,0.00595989,0.886798,0.871173
credit,0.05,0.05,1,5,0.883929,0.00713032,0.887117,0.871173
credit,0.05,0.15,1,5,0.883929,0.00713032,0.887117,0.871173
credit,0.3,0.01,1,5,0.878858,0.00501713,0.88345,0.871173
credit,0.3,0.05,1,5,0.882462,0.00405457,0.887117,0.878189
credit,0.3,0.15,1,5,0.885332,0.00399298,0.887117,0.878189
credit,0.7,0.01,1,5,0.885491,0.00225029,0.887117,0.882015
credit,0.7,0.05,1,5,0.884056,0.00366258,0.887117,0.878189
credit,0.7,0.15,1,5,0.88479,0.0038721,0.887117,0.878189
credit,0.05,0.01,2,5,0.881409,0.00679104,0.887117,0.871173
credit,0.05,0.05,2,5,0.881601,0.00687586,0.887117,0.871173
credit,0.05,0.15,2,5,0.886575,0.00121215,0.887117,0.884407
credit,0.3,0.01,2,5,0.884534,0.00286857,0.887117,0.879943
credit,0.3,0.05,2,5,0.882302,0.00633094,0.887117,0.871173
credit,0.3,0.15,2,5,0.884247,0.00364798,0.887117,0.878189
credit,0.7,0.01,2,5,0.883163,0.00278082,0.884407,0.878189
credit,0.7,0.05,2,5,0.885491,0.00148458,0.887117,0.884407
credit,0.7,0.15,2,5,0.886575,0.00121215,0.887117,0.884407
letter,0.05,0.01,1,5,0.956333,0,0.956333,0.956333
letter,0.05,0.05,1,5,0.956333,0,0.956333,0.956333
letter,0.05,0.15,1,5,0.956333,0,0.956333,0.956333
letter,0.3,0.01,1,5,0.956333,0,0.956333,0.956333
letter,0.3,0.05,1,5,0.956333,0,0.956333,0.956333
letter,0.3,0.15,1,5,0.956333,0,0.956333,0.956333
letter,0.7,0.01,1,5,0.956333,0,0.956333,0.956333
letter,0.7,0.05,1,5,0.956333,0,0.956333,0.956333
letter,0.7,0.15,1,5,0.956333,0,0.956333,0.956333
letter,0.05,0.01,2,5,0.956333,0,0.956333,0.956333
letter,0.05,0.05,2,5,0.956333,0,0.956333,0.956333
letter,0.05,0.15,2,5,0.956333,0,0.956333,0.956333
letter,0.3,0.01,2,5,0.956333,0,0.956333,0.956333
letter,0.3,0.05,2,5,0.956333,0,0.956333,0.956333
letter,0.3,0.15,2,5,0.956333,0,0.956333,0.956333
letter,0.7,0.01,2,5,0.956333,0,0.956333,0.956333
letter,0.7,0.05,2,5,0.956333,0,0.956333,0.956333
letter,0.7,0.15,2,5,0.956333,0,0.956333,0.956333
