landscape,crossover_rate,mutation_rate,crossover_points,run,seed,best_accuracy,best_gene
triangle,0.05,0.01,1,0,2264550068,4,5153
triangle,0.05,0.01,1,1,3750584526,4,8392
triangle,0.05,0.01,1,2,909572053,4,564
triangle,0.05,0.01,1,3,3246845889,4,337
triangle,0.05,0.01,1,4,4246026621,4,18441
triangle,0.05,0.05,1,0,1392562794,4,4488
triangle,0.05,0.05,1,1,2242828188,4,16521
triangle,0.05,0.05,1,2,2586364885,4,24600
triangle,0.05,0.05,1,3,95282751,4,8528
triangle,0.05,0.05,1,4,2774724502,4,24585
triangle,0.05,0.15,1,0,1576263821,4,8840
triangle,0.05,0.15,1,1,2112192736,4,18497
triangle,0.05,0.15,1,2,338591837,4,50177
triangle,0.05,0.15,1,3,696946555,4,12353
triangle,0.05,0.15,1,4,2809358342,4,32809
triangle,0.3,0.01,1,0,837390438,4,120
triangle,0.3,0.01,1,1,3783094247,4,2248
triangle,0.3,0.01,1,2,4231028157,4,2352
triangle,0.3,0.01,1,3,2070542824,4,21008
triangle,0.3,0.01,1,4,111349357,4,18816
triangle,0.3,0.05,1,0,1787612872,4,1313
triangle,0.3,0.05,1,1,2410007805,4,8274
triangle,0.3,0.05,1,2,1808208716,4,1569
triangle,0.3,0.05,1,3,2343208540,4,36912
triangle,0.3,0.05,1,4,556940219,4,20520
triangle,0.3,0.15,1,0,2395103595,4,1539
triangle,0.3,0.15,1,1,1450505549,4,8344
triangle,0.3,0.15,1,2,3587706901,4,2344
triangle,0.3,0.15,1,3,3952612057,4,18952
triangle,0.3,0.15,1,4,1943616114,4,33600
triangle,0.7,0.01,1,0,4268365368,4,1128
triangle,0.7,0.01,1,1,3717795605,4,32812
triangle,0.7,0.01,1,2,2199730721,4,8496
triangle,0.7,0.01,1,3,1718019919,4,2241
triangle,0.7,0.01,1,4,989436381,4,6432
triangle,0.7,0.05,1,0,1537093137,4,34952
triangle,0.7,0.05,1,1,4087366583,4,4866
triangle,0.7,0.05,1,2,3354915223,4,36994
triangle,0.7,0.05,1,3,1270899577,4,1352
triangle,0.7,0.05,1,4,1775451669,4,10372
triangle,0.7,0.15,1,0,1636034531,4,36096
triangle,0.7,0.15,1,1,475045387,4,6180
triangle,0.7,0.15,1,2,1316155641,4,35074
triangle,0.7,0.15,1,3,2074313283,4,57346
triangle,0.7,0.15,1,4,3680263065,4,24588
triangle,0.05,0.01,2,0,835569267,4,1608
triangle,0.05,0.01,2,1,3875808442,4,3106
triangle,0.05,0.01,2,2,1565608380,4,2384
triangle,0.05,0.01,2,3,3147654506,4,554
triangle,0.05,0.01,2,4,3977883218,4,51
triangle,0.05,0.05,2,0,865924063,4,537
triangle,0.05,0.05,2,1,3973307380,4,16770
triangle,0.05,0.05,2,2,3477423278,4,1554
triangle,0.05,0.05,2,3,2945665398,4,4200
triangle,0.05,0.05,2,4,1687205378,4,49344
triangle,0.05,0.15,2,0,941269298,4,35848
triangle,0.05,0.15,2,1,1874573742,4,5664
triangle,0.05,0.15,2,2,3129736551,4,9281
triangle,0.05,0.15,2,3,2209723543,4,9296
triangle,0.05,0.15,2,4,2384260858,4,1542
triangle,0.3,0.01,2,0,903653820,4,4866
triangle,0.3,0.01,2,1,1425820572,4,36096
triangle,0.3,0.01,2,2,2158478465,4,16905
triangle,0.3,0.01,2,3,2790814014,4,2092
triangle,0.3,0.01,2,4,4075121931,4,8218
triangle,0.3,0.05,2,0,240072877,4,612
triangle,0.3,0.05,2,1,3905775177,4,1672
triangle,0.3,0.05,2,2,164332071,4,34064
triangle,0.3,0.05,2,3,3287817382,4,8468
triangle,0.3,0.05,2,4,1369618136,4,32913
triangle,0.3,0.15,2,0,2742910846,4,2594
triangle,0.3,0.15,2,1,2281729889,4,4800
triangle,0.3,0.15,2,2,2112715722,4,32794
triangle,0.3,0.15,2,3,1370528030,4,2067
triangle,0.3,0.15,2,4,976482420,4,33298
triangle,0.7,0.01,2,0,3409034424,4,36912
triangle,0.7,0.01,2,1,3230679704,4,1093
triangle,0.7,0.01,2,2,2660360700,4,5168
triangle,0.7,0.01,2,3,192102773,4,338
triangle,0.7,0.01,2,4,2459316850,4,21024
triangle,0.7,0.05,2,0,59516455,4,37408
triangle,0.7,0.05,2,1,1643256751,4,37392
triangle,0.7,0.05,2,2,1069670127,4,20996
triangle,0.7,0.05,2,3,3225036738,4,18468
triangle,0.7,0.05,2,4,656533420,4,23552
triangle,0.7,0.15,2,0,338810292,4,356
triangle,0.7,0.15,2,1,2699650310,4,4872
triangle,0.7,0.15,2,2,2401609200,4,24624
triangle,0.7,0.15,2,3,3634095566,4,9226
triangle,0.7,0.15,2,4,4281393691,4,3392
breast,0.05,0.01,1,0,3626680883,0.966311,266
breast,0.05,0.01,1,1,1899988751,0.966311,266
breast,0.05,0.01,1,2,3203860787,0.966311,266
breast,0.05,0.01,1,3,2837884245,0.966311,266
breast,0.05,0.01,1,4,2095951243,0.966311,266
breast,0.05,0.05,1,0,136710267,0.966311,266
breast,0.05,0.05,1,1,3554082510,0.966311,266
breast,0.05,0.05,1,2,1352405124,0.966311,266
breast,0.05,0.05,1,3,492984953,0.966311,266
breast,0.05,0.05,1,4,2197073034,0.966311,266
breast,0.05,0.15,1,0,613228801,0.966311,266
breast,0.05,0.15,1,1,2230037358,0.966311,266
breast,0.05,0.15,1,2,2487697508,0.966311,266
breast,0.05,0.15,1,3,1554187796,0.966311,266
breast,0.05,0.15,1,4,3412475306,0.966311,266
breast,0.3,0.01,1,0,1413847441,0.966311,266
breast,0.3,0.01,1,1,1406953481,0.966311,266
breast,0.3,0.01,1,2,3689506462,0.966311,266
breast,0.3,0.01,1,3,3828396425,0.966311,266
breast,0.3,0.01,1,4,3413030441,0.966311,266
breast,0.3,0.05,1,0,1939840887,0.966311,266
breast,0.3,0.05,1,1,1313778606,0.966311,266
breast,0.3,0.05,1,2,1793575079,0.966311,266
breast,0.3,0.05,1,3,1276769253,0.966311,266
breast,0.3,0.05,1,4,1768857386,0.966311,266
breast,0.3,0.15,1,0,314508290,0.966311,266
breast,0.3,0.15,1,1,3937511014,0.966311,266
breast,0.3,0.15,1,2,2891831575,0.966311,266
breast,0.3,0.15,1,3,3113698889,0.966311,266
breast,0.3,0.15,1,4,57024346,0.966311,266
breast,0.7,0.01,1,0,3867468687,0.966311,266
breast,0.7,0.01,1,1,529039758,0.966159,328
breast,0.7,0.01,1,2,1465419413,0.966311,266
breast,0.7,0.01,1,3,879222804,0.966159,328
breast,0.7,0.01,1,4,924477274,0.966311,266
breast,0.7,0.05,1,0,4062917975,0.966311,266
breast,0.7,0.05,1,1,335412132,0.966311,266
breast,0.7,0.05,1,2,3724486053,0.966311,266
breast,0.7,0.05,1,3,1262170037,0.966311,266
breast,0.7,0.05,1,4,600381478,0.966311,266
breast,0.7,0.15,1,0,653671447,0.966311,266
breast,0.7,0.15,1,1,1440616314,0.966311,266
breast,0.7,0.15,1,2,1119183888,0.966311,266
breast,0.7,0.15,1,3,1935561617,0.966311,266
breast,0.7,0.15,1,4,1955857853,0.966311,266
breast,0.05,0.01,2,0,3045060415,0.966311,266
breast,0.05,0.01,2,1,1517505445,0.966311,266
breast,0.05,0.01,2,2,979131013,0.966159,328
breast,0.05,0.01,2,3,595451292,0.966311,266
breast,0.05,0.01,2,4,1082468130,0.966311,266
breast,0.05,0.05,2,0,3143242693,0.966311,266
breast,0.05,0.05,2,1,2455018362,0.966311,266
breast,0.05,0.05,2,2,423286417,0.966311,266
breast,0.05,0.05,2,3,2213872227,0.966311,266
breast,0.05,0.05,2,4,3351913101,0.966311,266
breast,0.05,0.15,2,0,3012376117,0.966311,266
breast,0.05,0.15,2,1,3941820044,0.966311,266
breast,0.05,0.15,2,2,1482631253,0.966311,266
breast,0.05,0.15,2,3,1331529884,0.966311,266
breast,0.05,0.15,2,4,714311640,0.966311,266
breast,0.3,0.01,2,0,2734102475,0.966311,266
breast,0.3,0.01,2,1,1962698197,0.966311,266
breast,0.3,0.01,2,2,2118045166,0.966159,328
breast,0.3,0.01,2,3,2111862957,0.966311,266
breast,0.3,0.01,2,4,2861164560,0.966311,266
breast,0.3,0.05,2,0,1305484496,0.966311,266
breast,0.3,0.05,2,1,4286507389,0.966311,266
breast,0.3,0.05,2,2,4200495871,0.966311,266
breast,0.3,0.05,2,3,2491071254,0.966311,266
breast,0.3,0.05,2,4,1851190855,0.966311,266
breast,0.3,0.15,2,0,2481151541,0.966311,266
breast,0.3,0.15,2,1,1144503973,0.966311,266
breast,0.3,0.15,2,2,2161128791,0.966311,266
breast,0.3,0.15,2,3,3744721662,0.966311,266
breast,0.3,0.15,2,4,400598294,0.966311,266
breast,0.7,0.01,2,0,1934064641,0.966311,266
breast,0.7,0.01,2,1,4014721948,0.966311,266
breast,0.7,0.01,2,2,1711113423,0.966311,266
breast,0.7,0.01,2,3,3678432685,0.966311,266
breast,0.7,0.01,2,4,4269440273,0.966311,266
breast,0.7,0.05,2,0,2247035247,0.966311,266
breast,0.7,0.05,2,1,1707572543,0.966311,266
breast,0.7,0.05,2,2,3219991725,0.966311,266
breast,0.7,0.05,2,3,4022060214,0.966311,266
breast,0.7,0.05,2,4,257527668,0.966311,266
breast,0.7,0.15,2,0,793685173,0.966311,266
breast,0.7,0.15,2,1,2074259111,0.966311,266
breast,0.7,0.15,2,2,3514321305,0.966311,266
breast,0.7,0.15,2,3,697670712,0.966311,266
breast,0.7,0.15,2,4,2983214274,0.966311,266
credit,0.05,0.01,1,0,1814979410,0.886798,6247
credit,0.05,0.01,1,1,3841768722,0.881537,615
credit,0.05,0.01,1,2,1123432630,0.871173,320
