generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,4.14508,111,6.44239,0.949492,0.859841,0.93463,48,19,0.949492
1,3.60045,80,5.70314,0.949492,0.922764,0.939698,35,38,0.949492
2,2.73452,51,4.57156,0.949644,0.928608,0.94348,24,68,0.949644
3,2.06382,35,3.37634,0.949644,0.925119,0.945873,16,106,0.949644
4,1.19899,28,2.39527,0.949644,0.916175,0.947377,11,144,0.949644
5,1.03769,23,2.12085,0.949644,0.934722,0.947657,11,151,0.949644
6,1.35573,24,2.4637,0.949644,0.859841,0.94711,10,113,0.949644
7,1.30548,22,2.30748,0.949644,0.916175,0.947545,8,123,0.949644
8,0.970201,21,2.03694,0.949644,0.916175,0.947524,9,163,0.949644
9,0.46402,19,1.33972,0.949644,0.916175,0.947855,10,188,0.949644
10,0.400653,14,1.25922,0.949644,0.916175,0.947357,7,194,0.949644
11,0.43794,16,1.33374,0.949644,0.916175,0.947647,7,194,0.949644
12,0.430452,16,1.37227,0.949644,0.916175,0.947348,7,194,0.949644
13,0.323668,14,1.09172,0.949644,0.916175,0.948218,5,196,0.949644
14,0.362764,12,1.148,0.949644,0.870207,0.947254,3,196,0.949644
15,0.401457,13,1.33543,0.949644,0.859841,0.946877,4,197,0.949644
16,0.552412,20,1.68628,0.949644,0.916175,0.947058,11,190,0.949644
17,0.430854,19,1.29287,0.949644,0.916175,0.947631,9,191,0.949644
18,0.477739,17,1.39074,0.949644,0.870207,0.947238,8,192,0.949644
19,0.590402,24,1.67382,0.949644,0.895664,0.946848,14,186,0.949644
20,0.391457,14,1.26872,0.949644,0.916175,0.947528,6,195,0.949644
21,0.49593,20,1.439,0.949644,0.870207,0.947184,10,190,0.949644
22,0.47804,18,1.4526,0.949644,0.859841,0.946975,9,192,0.949644
23,0.411055,15,1.29083,0.949644,0.916175,0.947579,5,194,0.949644
24,0.43005,18,1.30615,0.949644,0.859841,0.947395,8,192,0.949644
25,0.352161,13,1.08027,0.949644,0.916175,0.947883,5,195,0.949644
26,0.382764,15,1.19544,0.949644,0.895664,0.947379,7,193,0.949644
27,0.420452,17,1.34129,0.949644,0.916175,0.947256,8,193,0.949644
28,0.430452,14,1.41612,0.949644,0.916175,0.947302,5,196,0.949644
29,0.449749,16,1.44612,0.949644,0.916175,0.947155,7,194,0.949644
30,0.553116,19,1.55561,0.949644,0.870207,0.94634,9,188,0.949644
31,0.363166,14,1.19116,0.949644,0.911297,0.947633,5,196,0.949644
32,0.382663,15,1.25943,0.949644,0.859841,0.947279,6,195,0.949644
33,0.459849,15,1.47207,0.949644,0.895664,0.946766,6,194,0.949644
34,0.525427,18,1.53218,0.949644,0.859841,0.946785,8,192,0.949644
35,0.458543,15,1.3965,0.949644,0.926558,0.947777,7,193,0.949644
36,0.372663,15,1.17319,0.949644,0.916175,0.947604,5,195,0.949644
37,0.391156,16,1.25088,0.949644,0.916175,0.947782,7,194,0.949644
38,0.392261,14,1.29324,0.949644,0.895664,0.947293,5,196,0.949644
39,0.37206,14,1.18739,0.949644,0.916175,0.947919,6,194,0.949644
40,0.410452,14,1.30954,0.949644,0.924187,0.947688,6,195,0.949644
41,0.532613,18,1.58102,0.949644,0.916175,0.947121,7,192,0.949644
42,0.504121,16,1.55724,0.949644,0.916175,0.947324,6,194,0.949644
43,0.627688,20,1.74817,0.949644,0.900017,0.946761,10,190,0.949644
44,0.401055,18,1.24626,0.949644,0.916175,0.947927,9,192,0.949644
45,0.46804,17,1.48003,0.949644,0.895664,0.946834,8,193,0.949644
46,0.439146,19,1.29154,0.949644,0.895664,0.947446,9,191,0.949644
47,0.474422,15,1.45957,0.949644,0.916175,0.947215,6,195,0.949644
48,0.497437,19,1.5445,0.949644,0.870207,0.946624,10,191,0.949644
49,0.446935,15,1.32557,0.949644,0.895664,0.947163,6,191,0.949644
