generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,7.15528,128,6.79479,0.854058,0.655672,0.82223,110,7,0.854058
1,6.55362,111,6.37918,0.860421,0.689836,0.83917,84,15,0.860421
2,6.15362,107,6.02484,0.863306,0.725521,0.846791,76,19,0.863306
3,5.65724,78,5.25857,0.863306,0.729841,0.850436,50,38,0.863306
4,5.02698,71,4.9119,0.863306,0.721724,0.851191,42,52,0.863306
5,4.29633,62,4.42395,0.863306,0.728391,0.855494,32,53,0.863306
6,3.76161,46,3.62303,0.863306,0.634118,0.855311,22,100,0.863306
7,2.21553,42,2.83193,0.863306,0.69746,0.858796,22,150,0.863306
8,1.36995,41,2.70187,0.863306,0.711998,0.854147,23,166,0.863306
9,0.75201,30,2.09823,0.863306,0.69746,0.858139,16,184,0.863306
10,0.835879,29,2.32164,0.863306,0.725217,0.856628,14,183,0.863306
11,0.823869,36,2.28041,0.863306,0.725217,0.857883,22,175,0.863306
12,0.673618,26,2.00786,0.863306,0.670036,0.855628,11,188,0.863306
13,0.760603,35,2.01754,0.863306,0.725217,0.857992,21,175,0.863306
14,0.788392,34,2.18836,0.863306,0.69746,0.856141,20,180,0.863306
15,0.837889,34,2.34122,0.863306,0.711998,0.856464,19,180,0.863306
16,0.865477,39,2.30518,0.863306,0.72155,0.856025,21,176,0.863306
17,0.767789,33,2.13262,0.863465,0.725202,0.855742,17,178,0.863465
18,0.712814,29,1.90376,0.863465,0.612783,0.856402,15,180,0.863465
19,0.895678,26,2.13358,0.863465,0.725217,0.859048,12,172,0.863465
20,1.26593,31,2.5463,0.863465,0.720912,0.857567,13,142,0.863465
21,1.81804,45,3.24781,0.863465,0.711998,0.856504,24,91,0.863465
22,1.59849,42,2.9759,0.863465,0.7171,0.854551,23,131,0.863465
23,1.08367,38,2.51001,0.863465,0.711998,0.854643,19,170,0.863465
24,0.653618,27,1.79201,0.863465,0.721694,0.858322,12,184,0.863465
25,0.815879,36,2.00081,0.863465,0.705432,0.856807,22,175,0.863465
26,0.770905,32,2.1515,0.863465,0.721246,0.85772,17,183,0.863465
27,0.807387,30,2.26878,0.863465,0.711186,0.856399,16,185,0.863465
28,0.626131,28,1.90621,0.863465,0.705432,0.856574,15,185,0.863465
29,0.929548,37,2.6486,0.863465,0.731116,0.85727,22,178,0.863465
30,0.807286,35,2.24684,0.863465,0.705432,0.85663,19,181,0.863465
31,0.720101,27,2.10273,0.863465,0.658875,0.857409,13,185,0.863465
32,0.675327,30,2.04008,0.863465,0.727304,0.857838,15,186,0.863465
33,0.787688,32,2.22307,0.863465,0.673399,0.85706,18,181,0.863465
34,0.993116,36,2.6968,0.863465,0.71855,0.854941,20,175,0.863465
35,0.731005,30,2.15763,0.863465,0.727304,0.859733,16,184,0.863465
36,0.655226,30,1.91326,0.863465,0.663644,0.859539,15,185,0.863465
37,0.846281,35,2.21836,0.863465,0.673399,0.855622,21,176,0.863465
38,0.771508,31,2.16377,0.863465,0.719651,0.857558,14,183,0.863465
39,0.626935,30,1.82599,0.863465,0.715361,0.859711,13,186,0.863465
40,0.695025,29,2.06969,0.863465,0.705432,0.857771,14,187,0.863465
41,0.712915,30,1.94615,0.870451,0.727304,0.856948,18,180,0.870451
42,0.655427,28,1.75992,0.870451,0.731116,0.860395,14,179,0.870451
43,0.985025,30,2.52591,0.870451,0.719651,0.858548,15,163,0.870451
44,1.12166,28,2.33482,0.870451,0.718535,0.859382,10,148,0.870451
45,1.45839,30,2.72896,0.870451,0.658875,0.860391,12,107,0.870451
46,1.5108,40,2.98817,0.870451,0.659324,0.860126,16,133,0.870451
47,0.904925,34,2.04112,0.870451,0.659324,0.861954,19,170,0.870451
48,0.779296,28,2.17929,0.870451,0.751176,0.863796,12,186,0.870451
49,0.684824,29,1.9591,0.870451,0.710852,0.862919,14,185,0.870451
