generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,7.61206,134,6.85184,0.902005,0.630198,0.830699,105,7,0.902005
1,6.91161,112,6.3405,0.90326,0.782427,0.864172,82,16,0.90326
2,5.96503,84,5.58435,0.91525,0.809021,0.882975,64,23,0.91525
3,4.3693,76,5.03097,0.91525,0.833875,0.893257,51,47,0.91525
4,3.62176,74,4.73395,0.921958,0.828719,0.897368,49,70,0.921958
5,3.2102,65,4.64422,0.921958,0.84151,0.901905,39,59,0.921958
6,2.87362,71,5.00596,0.921958,0.808927,0.906025,37,58,0.921958
7,2.2305,61,4.42648,0.921958,0.869229,0.910059,37,93,0.921958
8,1.88116,55,4.23669,0.921958,0.861594,0.912897,33,115,0.921958
9,1.73874,53,3.90353,0.921958,0.851437,0.914966,30,141,0.921958
10,1.47121,55,3.4039,0.921958,0.832359,0.915233,32,154,0.921958
11,1.0005,35,2.75079,0.921958,0.877505,0.917548,19,174,0.921958
12,1.04312,39,2.76639,0.921958,0.85226,0.916713,22,178,0.921958
13,0.751508,32,2.19335,0.921958,0.865714,0.918521,16,184,0.921958
14,0.770302,34,2.1671,0.921958,0.86524,0.917609,18,181,0.921958
15,0.89397,38,2.53009,0.921958,0.882406,0.917849,22,176,0.921958
16,0.724824,30,2.18663,0.921958,0.886151,0.918458,15,186,0.921958
17,0.761508,34,2.29028,0.921958,0.869469,0.918235,18,182,0.921958
18,0.892663,37,2.38305,0.921958,0.845609,0.917455,19,179,0.921958
19,1.03291,40,2.87261,0.921958,0.873385,0.916597,23,176,0.921958
20,0.791106,34,2.23518,0.921958,0.869292,0.917935,19,181,0.921958
21,0.790804,33,2.31449,0.921958,0.877542,0.91799,15,183,0.921958
22,0.694925,29,1.91704,0.921958,0.871552,0.91867,14,183,0.921958
23,0.976131,40,2.53154,0.921958,0.862755,0.917286,24,176,0.921958
24,0.790603,32,2.16314,0.921958,0.864828,0.918383,20,181,0.921958
25,0.786784,35,2.25571,0.921958,0.879328,0.918236,19,180,0.921958
26,0.71402,27,1.92612,0.921958,0.792307,0.917707,15,184,0.921958
27,0.695628,29,1.99194,0.921958,0.874484,0.918413,15,184,0.921958
28,0.684724,28,1.9762,0.921958,0.874005,0.919154,13,185,0.921958
29,0.770101,35,2.23713,0.921958,0.873771,0.918266,18,181,0.921958
30,0.722412,32,2.066,0.921958,0.871135,0.918289,15,183,0.921958
31,0.893266,31,2.51059,0.921958,0.84325,0.916987,16,182,0.921958
32,0.75,30,1.94376,0.921958,0.868922,0.918192,16,185,0.921958
33,0.712915,32,2.07497,0.921958,0.889583,0.918869,17,184,0.921958
34,0.705126,33,1.98999,0.921958,0.832359,0.917959,16,183,0.921958
35,0.970854,41,2.49478,0.921958,0.799797,0.916726,25,174,0.921958
36,0.817789,33,2.34646,0.921958,0.879177,0.918056,19,181,0.921958
37,0.88608,38,2.39927,0.921958,0.85949,0.917259,20,177,0.921958
38,0.818995,36,2.20332,0.921958,0.826547,0.917984,21,178,0.921958
39,0.772714,32,2.17641,0.921958,0.843682,0.917984,17,182,0.921958
40,0.857186,34,2.4192,0.921958,0.882385,0.917449,17,181,0.921958
41,0.723518,28,2.21757,0.921958,0.879005,0.918668,11,188,0.921958
42,0.88397,35,2.38401,0.921958,0.874172,0.917147,19,179,0.921958
43,0.85809,35,2.30783,0.921958,0.851542,0.917392,20,178,0.921958
44,0.866482,38,2.38071,0.921958,0.842818,0.917416,20,179,0.921958
45,0.921759,34,2.57303,0.921958,0.874339,0.917342,16,183,0.921958
46,0.854874,34,2.23518,0.921958,0.838453,0.917631,20,177,0.921958
47,0.686332,31,1.91229,0.921958,0.855969,0.918387,16,184,0.921958
48,0.776382,29,2.21245,0.921958,0.833151,0.917502,14,184,0.921958
49,0.809296,32,2.42635,0.921958,0.885156,0.918048,16,185,0.921958
