generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,7.95397,135,6.86358,3.9875,0.971875,2.70678,115,8,3.9875
1,7.45593,111,6.23508,3.9875,0.978125,3.40558,86,22,3.9875
2,6.17593,77,5.32232,3.9875,0.996875,3.73036,52,37,3.9875
3,5.77347,74,5.17355,3.9875,1.98125,3.73691,39,31,3.9875
4,5.5795,65,4.90154,3.9875,0.978125,3.72694,35,33,3.9875
5,5.55422,71,4.99088,3.9875,0.978125,3.73205,40,30,3.9875
6,5.50824,74,5.08036,3.9875,0.978125,3.69694,45,36,3.9875
7,5.75161,79,5.32035,3.9875,0.978125,3.71189,54,36,3.9875
8,5.72693,76,5.3042,3.9875,1.98125,3.72716,51,41,3.9875
9,5.74538,79,5.27531,3.9875,0.978125,3.71195,47,40,3.9875
10,5.66548,68,5.07543,3.9875,0.978125,3.77208,44,37,3.9875
11,5.61397,75,5.18399,3.9875,1.98125,3.75712,45,43,3.9875
12,5.6791,67,5.11585,3.9875,1.98125,3.78716,45,33,3.9875
13,5.67497,70,5.22607,3.9875,1.98125,3.74706,43,31,3.9875
14,5.65784,67,5.19239,3.9875,1.98125,3.81214,41,30,3.9875
15,5.65342,69,5.1476,3.9875,1.98125,3.75198,45,27,3.9875
16,5.65492,78,5.37949,3.9875,0.978125,3.70183,41,34,3.9875
17,5.68859,75,5.33302,3.9875,1.98125,3.71205,42,24,3.9875
18,5.73055,70,5.27162,3.9875,1.98125,3.72687,39,20,3.9875
19,5.76497,65,5.13177,3.9875,0.978125,3.75208,36,18,3.9875
20,5.67854,80,5.38162,3.9875,0.978125,3.72205,41,27,3.9875
21,5.6798,77,5.39952,3.9875,1.98125,3.73722,42,24,3.9875
22,5.69246,81,5.50634,3.9875,0.978125,3.72703,48,28,3.9875
23,5.76673,81,5.5631,3.9875,0.978125,3.697,53,23,3.9875
24,5.63367,75,5.5135,3.9875,1.98125,3.77722,47,20,3.9875
25,5.69523,80,5.58387,3.9875,1.98125,3.76205,49,24,3.9875
26,5.68643,80,5.58847,3.9875,0.996875,3.71728,45,24,3.9875
27,5.73447,73,5.37725,3.9875,1.98125,3.74712,48,26,3.9875
28,5.64111,72,5.37637,3.9875,0.978125,3.77737,44,25,3.9875
29,5.76407,73,5.29661,3.9875,1.98125,3.79214,52,28,3.9875
30,5.87221,82,5.66836,3.9875,1.98125,3.75202,54,20,3.9875
31,5.73246,76,5.5577,3.9875,1.98125,3.77722,48,20,3.9875
32,5.73181,64,5.26558,3.9875,0.978125,3.81211,46,22,3.9875
33,5.81905,88,5.74123,3.9875,0.978125,3.66177,59,25,3.9875
34,5.74633,77,5.51367,3.9875,0.978125,3.707,51,21,3.9875
35,5.69327,77,5.48377,3.9875,0.978125,3.76703,49,26,3.9875
36,5.7001,83,5.59827,3.9875,0.978125,3.69703,43,23,3.9875
37,5.57673,75,5.35376,3.9875,1.98125,3.74217,41,25,3.9875
38,5.63648,83,5.54871,3.9875,1.98125,3.71706,45,35,3.9875
39,5.43146,63,4.97193,3.9875,1.98125,3.82722,42,43,3.9875
40,5.40824,70,5.2388,3.9875,0.978125,3.75719,43,42,3.9875
41,5.51322,75,5.27273,3.9875,1.98125,3.77214,46,34,3.9875
42,5.54563,66,5.16912,3.9875,0.978125,3.78709,48,24,3.9875
43,5.59111,83,5.48513,3.9875,0.978125,3.66208,47,31,3.9875
44,5.47246,69,5.17121,3.9875,1.98125,3.73684,42,35,3.9875
45,5.45392,77,5.40542,3.9875,1.98125,3.71205,46,33,3.9875
46,5.36477,79,5.429,3.9875,1.98125,3.66211,49,38,3.9875
47,5.3992,74,5.25217,3.9875,0.978125,3.73716,48,44,3.9875
48,5.50241,76,5.27352,3.9875,0.978125,3.77722,46,40,3.9875
49,5.60121,85,5.45479,3.9875,1.98125,3.72703,52,40,3.9875
