generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,9.26673,139,6.93051,0.890625,0.80599,0.857552,117,6,0.890625
1,8.81151,136,6.71787,0.891927,0.78776,0.865618,96,14,0.891927
2,8.1008,95,5.77945,0.894531,0.796875,0.875911,66,32,0.894531
3,7.33412,92,5.49053,0.89974,0.799479,0.877487,60,50,0.89974
4,7.01623,82,5.10486,0.901042,0.803385,0.879154,46,68,0.901042
5,6.36382,64,4.49326,0.901042,0.808594,0.881315,39,76,0.901042
6,6.57618,69,4.66025,0.901042,0.811198,0.884245,37,47,0.901042
7,6.52266,68,4.76173,0.901042,0.800781,0.885345,35,47,0.901042
8,6.05874,66,4.54976,0.907552,0.798177,0.886504,45,54,0.907552
9,5.58955,57,3.98842,0.907552,0.813802,0.890013,33,76,0.907552
10,4.36181,48,3.3347,0.907552,0.845052,0.891686,28,118,0.907552
11,3.52789,62,3.63219,0.907552,0.800781,0.890208,40,124,0.907552
12,3.56266,50,3.35311,0.907552,0.809896,0.891243,29,129,0.907552
13,4.18583,58,3.54995,0.907552,0.835938,0.892845,29,86,0.907552
14,3.68457,49,3.26715,0.907552,0.835937,0.895007,24,122,0.907552
15,2.21101,48,3.22012,0.907552,0.841146,0.896621,25,158,0.907552
16,1.35181,43,2.57813,0.907552,0.813802,0.898281,24,169,0.907552
17,1.00276,37,2.48614,0.907552,0.835937,0.897148,22,178,0.907552
18,1.21638,43,3.02995,0.907552,0.817708,0.895625,24,174,0.907552
19,0.900201,39,2.27641,0.907552,0.828125,0.898548,21,178,0.907552
20,0.801709,40,2.2571,0.907552,0.835937,0.898861,23,177,0.907552
21,0.813216,39,2.17455,0.907552,0.803385,0.899219,22,177,0.907552
22,1.03256,46,2.67251,0.907552,0.832031,0.895911,26,173,0.907552
23,1.11829,45,2.8727,0.907552,0.8125,0.896732,26,170,0.907552
24,1.04925,48,2.60038,0.907552,0.825521,0.897552,30,169,0.907552
25,1.05126,44,2.63266,0.907552,0.825521,0.897428,27,172,0.907552
26,0.88608,39,2.21332,0.907552,0.803385,0.898906,24,174,0.907552
27,0.95608,38,2.57762,0.907552,0.802083,0.896751,20,179,0.907552
28,1.05166,44,2.53283,0.907552,0.817708,0.897161,28,171,0.907552
29,1.03226,42,2.57377,0.907552,0.803385,0.896764,27,172,0.907552
30,0.984975,41,2.72237,0.907552,0.847656,0.897598,24,176,0.907552
31,1.28618,57,3.26352,0.907552,0.838542,0.895326,34,161,0.907552
32,1.03643,41,2.587,0.907552,0.802083,0.897194,23,175,0.907552
33,1.01724,43,2.72274,0.907552,0.83724,0.897155,24,174,0.907552
34,0.765025,39,2.18077,0.907552,0.825521,0.899316,22,178,0.907552
35,0.915075,40,2.39644,0.907552,0.841146,0.898431,24,175,0.907552
36,0.794221,38,2.27151,0.907552,0.833333,0.89929,19,181,0.907552
37,1.04085,46,2.78287,0.907552,0.803385,0.895176,27,173,0.907552
38,0.974372,45,2.46776,0.907552,0.835938,0.897507,27,170,0.907552
39,0.899397,41,2.50478,0.907552,0.841146,0.897988,24,176,0.907552
40,1.06663,45,2.60763,0.907552,0.809896,0.896849,27,170,0.907552
41,1.17181,47,3.01064,0.907552,0.832031,0.895586,29,167,0.907552
42,1.10673,52,2.85749,0.907552,0.832031,0.89709,29,165,0.907552
43,0.849698,40,2.39399,0.907552,0.803385,0.898574,24,176,0.907552
44,1.04156,51,2.60765,0.907552,0.832031,0.897109,30,167,0.907552
45,1.1609,49,2.90472,0.907552,0.84375,0.895697,30,166,0.907552
46,0.907186,42,2.44977,0.907552,0.838542,0.897812,24,176,0.907552
47,1.10784,44,2.89828,0.907552,0.832031,0.895716,26,173,0.907552
48,0.821809,37,2.26518,0.907552,0.835937,0.899134,21,179,0.907552
49,1.09633,46,2.80224,0.907552,0.838542,0.896335,25,172,0.907552
