generation,avg_hamming,unique_genotypes,entropy,max_fitness,min_fitness,avg_fitness,num_niches,largest_niche,best_niche_fitness
0,7.61397,143,6.9649,0.945833,0.803125,0.908687,122,8,0.945833
1,6.99563,112,6.30053,0.955208,0.755208,0.924167,86,14,0.955208
2,6.65643,91,5.77175,0.955208,0.789583,0.930984,69,26,0.955208
3,6.19859,83,5.54441,0.959375,0.85,0.936339,65,34,0.959375
4,5.22382,71,4.71283,0.964583,0.884375,0.943271,46,51,0.964583
5,4.54618,65,4.36443,0.966667,0.76875,0.944536,43,54,0.966667
6,4.02095,64,4.39594,0.966667,0.858333,0.948615,34,75,0.966667
7,3.47578,60,4.48972,0.966667,0.782292,0.948182,38,76,0.966667
8,3.89116,62,4.78479,0.96875,0.8375,0.949625,38,41,0.96875
9,3.30824,59,4.44187,0.96875,0.79375,0.954885,32,58,0.96875
10,2.39251,48,3.67023,0.976042,0.809375,0.95813,27,89,0.976042
11,1.59246,43,3.20527,0.976042,0.851042,0.957766,26,119,0.976042
12,1.58543,37,3.01538,0.976042,0.851042,0.960349,23,119,0.976042
13,2.00824,44,3.53375,0.976042,0.773958,0.958578,28,104,0.976042
14,1.96231,47,3.51116,0.976042,0.846875,0.962641,26,128,0.976042
15,1.5501,44,3.12962,0.976042,0.779167,0.963786,23,155,0.976042
16,0.990452,35,2.60987,0.976042,0.878125,0.967302,17,177,0.976042
17,0.936131,36,2.42614,0.976042,0.822917,0.965859,18,177,0.976042
18,0.846281,35,2.37624,0.976042,0.813542,0.966708,20,180,0.976042
19,0.799598,28,2.03919,0.976042,0.86875,0.967,15,186,0.976042
20,0.92397,35,2.58004,0.976042,0.808333,0.962724,17,179,0.976042
21,0.819296,36,2.43151,0.976042,0.866667,0.966932,19,181,0.976042
22,0.837286,33,2.34073,0.976042,0.878125,0.966156,18,183,0.976042
23,0.760603,32,2.23073,0.976042,0.878125,0.966479,16,184,0.976042
24,0.922462,38,2.48136,0.976042,0.851042,0.964297,24,176,0.976042
25,0.830201,38,2.28945,0.976042,0.808333,0.964089,22,178,0.976042
26,0.863668,35,2.4108,0.976042,0.848958,0.965078,17,180,0.976042
27,0.884975,36,2.29978,0.976042,0.808333,0.962927,21,178,0.976042
28,0.712312,30,2.091,0.976042,0.866667,0.968693,16,185,0.976042
29,0.724824,33,2.09945,0.976042,0.808333,0.967583,15,182,0.976042
30,0.799196,34,2.26405,0.976042,0.8375,0.965135,21,180,0.976042
31,0.759598,33,2.09737,0.976042,0.858333,0.967281,20,180,0.976042
32,0.609749,28,1.61114,0.976042,0.854167,0.967547,15,185,0.976042
33,0.969347,39,2.52518,0.976042,0.873958,0.964646,22,171,0.976042
34,0.740201,32,2.03048,0.976042,0.86875,0.967698,15,179,0.976042
35,0.819095,36,2.32839,0.976042,0.871875,0.965849,19,181,0.976042
36,0.771709,32,2.24062,0.976042,0.851042,0.96563,16,183,0.976042
37,0.751307,31,2.19684,0.976042,0.828125,0.965854,18,183,0.976042
38,0.877085,35,2.46154,0.976042,0.871875,0.966031,17,182,0.976042
39,0.763417,34,1.88661,0.976042,0.826042,0.966578,20,179,0.976042
40,0.864372,35,2.3016,0.976042,0.663542,0.965875,19,177,0.976042
41,0.817186,33,2.26796,0.976042,0.878125,0.966667,17,182,0.976042
42,0.848492,40,2.12375,0.976042,0.803125,0.967172,23,175,0.976042
43,0.866181,32,2.52946,0.976042,0.821875,0.963323,15,184,0.976042
44,0.865678,32,2.33575,0.976042,0.813542,0.965807,17,179,0.976042
45,0.818492,35,2.2955,0.976042,0.844792,0.967604,19,179,0.976042
46,0.904874,40,2.49528,0.976042,0.870833,0.966359,24,175,0.976042
47,0.846884,35,2.31971,0.976042,0.792708,0.965646,21,178,0.976042
48,0.846683,35,2.25766,0.976042,0.828125,0.964969,21,178,0.976042
49,0.950955,40,2.60496,0.976042,0.796875,0.96212,23,174,0.976042
